"","GCAM_region_ID","Non.CO2","EDGAR_agg_sector","year","value"
"1",1,"CO","ag_waste_burning",1971,1674.35
"2",1,"CO","ag_waste_burning",1972,1652.56
"3",1,"CO","ag_waste_burning",1973,1805.76
"4",1,"CO","ag_waste_burning",1974,1655.57
"5",1,"CO","ag_waste_burning",1975,1935.18
"6",1,"CO","ag_waste_burning",1976,1886.14
"7",1,"CO","ag_waste_burning",1977,1991.99
"8",1,"CO","ag_waste_burning",1978,2078.95
"9",1,"CO","ag_waste_burning",1979,2274.11
"10",1,"CO","ag_waste_burning",1980,2123.66
"11",1,"CO","ag_waste_burning",1981,2391.92
"12",1,"CO","ag_waste_burning",1982,2337.78
"13",1,"CO","ag_waste_burning",1983,1646.43
"14",1,"CO","ag_waste_burning",1984,2054.49
"15",1,"CO","ag_waste_burning",1985,2085.25
"16",1,"CO","ag_waste_burning",1986,1864.15
"17",1,"CO","ag_waste_burning",1987,1694.46
"18",1,"CO","ag_waste_burning",1988,1406.07
"19",1,"CO","ag_waste_burning",1989,1644.47
"20",1,"CO","ag_waste_burning",1990,1701.23
"21",1,"CO","ag_waste_burning",1991,1531.8
"22",1,"CO","ag_waste_burning",1992,1730.68
"23",1,"CO","ag_waste_burning",1993,1391.74
"24",1,"CO","ag_waste_burning",1994,1669.03
"25",1,"CO","ag_waste_burning",1995,1378.36
"26",1,"CO","ag_waste_burning",1996,1497.36
"27",1,"CO","ag_waste_burning",1997,1576.43
"28",1,"CO","ag_waste_burning",1998,1595.86
"29",1,"CO","ag_waste_burning",1999,1564.015
"30",1,"CO","ag_waste_burning",2000,1543.985
"31",1,"CO","ag_waste_burning",2001,1513.513
"32",1,"CO","ag_waste_burning",2002,1423.751
"33",1,"CO","ag_waste_burning",2003,1533.781
"34",1,"CO","ag_waste_burning",2004,1693.801
"35",1,"CO","ag_waste_burning",2005,1623.799
"36",1,"CO","ag_waste_burning",2006,1543.801
"37",1,"CO","ag_waste_burning",2007,1653.804
"38",1,"CO","ag_waste_burning",2008,1653.804
"39",1,"CO","bld",1971,4150
"40",1,"CO","bld",1972,3860
"41",1,"CO","bld",1973,3650
"42",1,"CO","bld",1974,3890
"43",1,"CO","bld",1975,4080
"44",1,"CO","bld",1976,4280
"45",1,"CO","bld",1977,4330
"46",1,"CO","bld",1978,4710
"47",1,"CO","bld",1979,5380
"48",1,"CO","bld",1980,5220
"49",1,"CO","bld",1981,5370
"50",1,"CO","bld",1982,5550
"51",1,"CO","bld",1983,5760
"52",1,"CO","bld",1984,5880
"53",1,"CO","bld",1985,5780
"54",1,"CO","bld",1986,5610
"55",1,"CO","bld",1987,5610
"56",1,"CO","bld",1988,5640
"57",1,"CO","bld",1989,6350
"58",1,"CO","bld",1990,3940
"59",1,"CO","bld",1991,4570
"60",1,"CO","bld",1992,4630
"61",1,"CO","bld",1993,3580
"62",1,"CO","bld",1994,3510
"63",1,"CO","bld",1995,3780
"64",1,"CO","bld",1996,3830
"65",1,"CO","bld",1997,3200
"66",1,"CO","bld",1998,3250
"67",1,"CO","bld",1999,3140
"68",1,"CO","bld",2000,3190
"69",1,"CO","bld",2001,2700
"70",1,"CO","bld",2002,2290
"71",1,"CO","bld",2003,2890
"72",1,"CO","bld",2004,2930
"73",1,"CO","bld",2005,2940
"74",1,"CO","bld",2006,2890
"75",1,"CO","bld",2007,2950
"76",1,"CO","bld",2008,3010
"77",1,"CO","chemicals",1971,16.7
"78",1,"CO","chemicals",1972,20
"79",1,"CO","chemicals",1973,22.6
"80",1,"CO","chemicals",1974,20.6
"81",1,"CO","chemicals",1975,16.6
"82",1,"CO","chemicals",1976,19.3
"83",1,"CO","chemicals",1977,21.6
"84",1,"CO","chemicals",1978,22.5
"85",1,"CO","chemicals",1979,20.9
"86",1,"CO","chemicals",1980,19.7
"87",1,"CO","chemicals",1981,19.6
"88",1,"CO","chemicals",1982,16.6
"89",1,"CO","chemicals",1983,18.6
"90",1,"CO","chemicals",1984,19.9
"91",1,"CO","chemicals",1985,19.1
"92",1,"CO","chemicals",1986,19
