"iso","GLU","GTAP_crop","HA","Irr_Rfd","CROSIT_ctry","CROSIT_crop"
"afg","GLU052","Barley",773.770488029467,"RFD","AFGH","BARL"
"afg","GLU052","BeansDry",14.2338983050848,"RFD","AFGH","PULS"
"afg","GLU052","ChickPeas",52.924745762712,"RFD","AFGH","PULS"
"afg","GLU052","Lentils",3.07728813559323,"RFD","AFGH","PULS"
"afg","GLU052","Maize",0,"RFD","AFGH","MAIZ"
"afg","GLU052","Millet",6018,"RFD","AFGH","MILL"
"afg","GLU052","PaddyRice",1495.27052499816,"RFD","AFGH","RICE"
"afg","GLU052","PeasDry",7.33016949152545,"RFD","AFGH","PULS"
"afg","GLU052","Potatoes",49989.3152767697,"RFD","AFGH","POTA"
"afg","GLU052","Pulsesnes",7.41084745762714,"RFD","AFGH","PULS"
"afg","GLU052","Wheat",349040.158232422,"RFD","AFGH","WHEA"
"afg","GLU058","Barley",0,"RFD","AFGH","BARL"
"afg","GLU058","BeansDry",0,"RFD","AFGH","PULS"
"afg","GLU058","ChickPeas",0,"RFD","AFGH","PULS"
"afg","GLU058","Lentils",0,"RFD","AFGH","PULS"
"afg","GLU058","Maize",0,"RFD","AFGH","MAIZ"
"afg","GLU058","Millet",8581,"RFD","AFGH","MILL"
"afg","GLU058","PaddyRice",902.84680710268,"RFD","AFGH","RICE"
"afg","GLU058","PeasDry",0,"RFD","AFGH","PULS"
"afg","GLU058","Potatoes",67745.3516564253,"RFD","AFGH","POTA"
"afg","GLU058","Pulsesnes",0,"RFD","AFGH","PULS"
"afg","GLU058","Wheat",405646.434274394,"RFD","AFGH","WHEA"
"afg","GLU089","Barley",0,"RFD","AFGH","BARL"
"afg","GLU089","BeansDry",0,"RFD","AFGH","PULS"
"afg","GLU089","ChickPeas",0,"RFD","AFGH","PULS"
"afg","GLU089","Lentils",0,"RFD","AFGH","PULS"
"afg","GLU089","Maize",0,"RFD","AFGH","MAIZ"
"afg","GLU089","Millet",3260,"RFD","AFGH","MILL"
"afg","GLU089","PaddyRice",112.700918484501,"RFD","AFGH","RICE"
"afg","GLU089","PeasDry",0,"RFD","AFGH","PULS"
"afg","GLU089","Potatoes",25062.8015070953,"RFD","AFGH","POTA"
"afg","GLU089","Pulsesnes",0,"RFD","AFGH","PULS"
"afg","GLU089","Wheat",85641.1265197441,"RFD","AFGH","WHEA"
"afg","GLU090","Barley",0,"RFD","AFGH","BARL"
"afg","GLU090","BeansDry",0,"RFD","AFGH","PULS"
"afg","GLU090","ChickPeas",0,"RFD","AFGH","PULS"
"afg","GLU090","Lentils",0,"RFD","AFGH","PULS"
"afg","GLU090","Maize",0,"RFD","AFGH","MAIZ"
"afg","GLU090","Millet",2088,"RFD","AFGH","MILL"
"afg","GLU090","PaddyRice",142.272412177986,"RFD","AFGH","RICE"
"afg","GLU090","PeasDry",0,"RFD","AFGH","PULS"
"afg","GLU090","Potatoes",17330.463095369,"RFD","AFGH","POTA"
"afg","GLU090","Pulsesnes",0,"RFD","AFGH","PULS"
"afg","GLU090","Wheat",103758.268717405,"RFD","AFGH","WHEA"
"afg","GLU097","Alff4FrgSlg",0.0277138385047399,"RFD","AFGH",NA
"afg","GLU097","Almonds",0,"RFD","AFGH",NA
"afg","GLU097","Ans_bdn_fnnl",0,"RFD","AFGH",NA
"afg","GLU097","Apples",0,"RFD","AFGH","FRUI"
"afg","GLU097","Apricots",0,"RFD","AFGH","FRUI"
"afg","GLU097","Barley",0,"RFD","AFGH","BARL"
"afg","GLU097","BeansDry",0,"RFD","AFGH","PULS"
"afg","GLU097","Berriesnes",0,"RFD","AFGH","FRUI"
"afg","GLU097","Cabbages",0,"RFD","AFGH","VEGE"
"afg","GLU097","Ccmbr_Ghrkn",0,"RFD","AFGH","VEGE"
"afg","GLU097","Cherries",0,"RFD","AFGH","FRUI"
"afg","GLU097","ChickPeas",0,"RFD","AFGH","PULS"
"afg","GLU097","Cntlp_othMln",0,"RFD","AFGH","FRUI"
"afg","GLU097","Dates",0,"RFD","AFGH","FRUI"
"afg","GLU097","Figs",0,"RFD","AFGH","FRUI"
"afg","GLU097","FrgProdNES",0.0126691833164525,"RFD","AFGH",NA
"afg","GLU097","FrtFrshNES",0,"RFD","AFGH","FRUI"
"afg","GLU097","Grapes",17,"RFD","AFGH","FRUI"
"afg","GLU097","HzlntFlbrt",0,"RFD","AFGH",NA
"afg","GLU097","Lentils",0,"RFD","AFGH","PULS"
"afg","GLU097","Lmn_Lme",0,"RFD","AFGH","CITR"
"afg","GLU097","Maize",0,"RFD","AFGH","MAIZ"
"afg","GLU097","Millet",7160,"RFD","AFGH","MILL"
"afg","GLU097","Olives",0,"RFD","AFGH","OILC"
"afg","GLU097","Oranges",0,"RFD","AFGH","CITR"
"afg","GLU097","PaddyRice",196.060498579229,"RFD","AFGH","RICE"
"afg","GLU097","Peach_Nctrn",0,"RFD","AFGH","FRUI"
"afg","GLU097","Pears",0,"RFD","AFGH","FRUI"
"afg","GLU097","PeasDry",0,"RFD","AFGH","PULS"
"afg","GLU097","Plums",0,"RFD","AFGH","FRUI"
"afg","GLU097","PmpknSqshGrd",0,"RFD","AFGH","VEGE"
