"iso","GTAP_crop","GLU","HA","Irr_Rfd","CROSIT_ctry","CROSIT_crop"
"phl","Abaca_M_H","GLU119",10891.7016078348,"IRR","PHIL",NA
"cri","Abaca_M_H","GLU135",131.617882769546,"IRR","COST",NA
"ecu","Abaca_M_H","GLU156",2154.6892971246,"IRR","ECUA",NA
"ecu","Abaca_M_H","GLU157",5775.19975566835,"IRR","ECUA",NA
"idn","Abaca_M_H","GLU158",0.44511513525598,"IRR","INDO",NA
"idn","Abaca_M_H","GLU159",0.00516462233699161,"IRR","INDO",NA
"gnq","Abaca_M_H","GLU162",0,"IRR",NA,NA
"idn","Abaca_M_H","GLU163",26.944312526221,"IRR","INDO",NA
"idn","Abaca_M_H","GLU164",8.35766447477117,"IRR","INDO",NA
"idn","Abaca_M_H","GLU165",4.68014601185699,"IRR","INDO",NA
"idn","Abaca_M_H","GLU167",0.144761097573896,"IRR","INDO",NA
"idn","Abaca_M_H","GLU175",36.8904631000212,"IRR","INDO",NA
"idn","Abaca_M_H","GLU178",0,"IRR","INDO",NA
"ecu","Abaca_M_H","GLU180",555.877176658248,"IRR","ECUA",NA
"mex","AgaveFibrNES","GLU091",40.365366417832,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU096",877.428305165857,"IRR","MEXI",NA
"cub","AgaveFibrNES","GLU101",4957.47778431994,"IRR","CUBA",NA
"mex","AgaveFibrNES","GLU105",239.224591485308,"IRR","MEXI",NA
"gtm","AgaveFibrNES","GLU111",2.25923053832299,"IRR","GUAT",NA
"mex","AgaveFibrNES","GLU111",287.988381001021,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU114",308.915882112157,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU115",189.358204803264,"IRR","MEXI",NA
"phl","AgaveFibrNES","GLU119",367.237892424566,"IRR","PHIL",NA
"mex","AgaveFibrNES","GLU130",102.212945838838,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU131",420.008861525321,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU132",416.647232085686,"IRR","MEXI",NA
"gtm","AgaveFibrNES","GLU133",0.0802973977695167,"IRR","GUAT",NA
"mex","AgaveFibrNES","GLU133",128.508702531646,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU134",311.943375775384,"IRR","MEXI",NA
"gtm","AgaveFibrNES","GLU135",8.99378936319104,"IRR","GUAT",NA
"mex","AgaveFibrNES","GLU135",7.21117223867964,"IRR","MEXI",NA
"nic","AgaveFibrNES","GLU135",987.965123447729,"IRR","NICA",NA
"slv","AgaveFibrNES","GLU135",3786.17454465817,"IRR","ELSA",NA
"mex","AgaveFibrNES","GLU136",48.0895767703054,"IRR","MEXI",NA
"col","AgaveFibrNES","GLU143",850.931755382931,"IRR","COLO",NA
"col","AgaveFibrNES","GLU156",619.872571872572,"IRR","COLO",NA
"ecu","AgaveFibrNES","GLU156",267.191693290735,"IRR","ECUA",NA
"col","AgaveFibrNES","GLU157",710.399710747537,"IRR","COLO",NA
"ecu","AgaveFibrNES","GLU157",716.260125947149,"IRR","ECUA",NA
"col","AgaveFibrNES","GLU166",3772.06667077997,"IRR","COLO",NA
"ecu","AgaveFibrNES","GLU180",69.2654526119899,"IRR","ECUA",NA
"mex","AgaveFibrNES","GLU217",6.24077669902913,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU221",51.0864478268843,"IRR","MEXI",NA
"mex","AgaveFibrNES","GLU231",535.316936282602,"IRR","MEXI",NA
"can","Alff4FrgSlg","GLU002",369.488973063973,"IRR","CANA",NA
"can","Alff4FrgSlg","GLU007",254.217894134841,"IRR","CANA",NA
"can","Alff4FrgSlg","GLU010",515.422393405521,"IRR","CANA",NA
"dnk","Alff4FrgSlg","GLU012",0.0103134479271992,"IRR","EU15",NA
"can","Alff4FrgSlg","GLU015",4.69417583354652,"IRR","CANA",NA
"can","Alff4FrgSlg","GLU019",511.157888383393,"IRR","CANA",NA
"deu","Alff4FrgSlg","GLU021",0,"IRR","EU15",NA
"dnk","Alff4FrgSlg","GLU021",99.0979863309023,"IRR","EU15",NA
"can","Alff4FrgSlg","GLU023",135795.002589218,"IRR","CANA",NA
"usa","Alff4FrgSlg","GLU023",4129.7776248806,"IRR","USA",NA
"can","Alff4FrgSlg","GLU027",9207.59395850379,"IRR","CANA",NA
"usa","Alff4FrgSlg","GLU027",49.3394327538884,"IRR","USA",NA
"deu","Alff4FrgSlg","GLU028",0,"IRR","EU15",NA
"nld","Alff4FrgSlg","GLU028",292.359940134697,"IRR","EU15",NA
"cze","Alff4FrgSlg","GLU029",0,"IRR","EUN9",NA
"deu","Alff4FrgSlg","GLU029",0.94336569579288,"IRR","EU15",NA
"svk","Alff4FrgSlg","GLU030",7.20338983050847,"IRR","EUN9",NA
"aut","Alff4FrgSlg","GLU031",0,"IRR","EU15",NA
"cze","Alff4FrgSlg","GLU031",0,"IRR","EUN9",NA
"deu","Alff4FrgSlg","GLU031",0,"IRR","EU15",NA
"aut","Alff4FrgSlg","GLU032",0,"IRR","EU15",NA
"deu","Alff4FrgSlg","GLU032",12.4380586417175,"IRR","EU15",NA
"fra","Alff4FrgSlg","GLU032",156.273270979836,"IRR","EU15",NA
"lux","Alff4FrgSlg","GLU032",0,"IRR","EU15",NA
"nld","Alff4FrgSlg","GLU032",4908.10515372048,"IRR","EU15",NA
"fra","Alff4FrgSlg","GLU036",150.740544191432,"IRR","EU15",NA
"nld","Alff4FrgSlg","GLU036",875,"IRR","EU15",NA
"can","Alff4FrgSlg","GLU040",273.29410456196,"IRR","CANA",NA
"esp","Alff4FrgSlg","GLU041",0,"IRR","EU15",NA
"fra","Alff4FrgSlg","GLU041",2127.20873369362,"IRR","EU15",NA
"fra","Alff4FrgSlg","GLU044",2754.33540737837,"IRR","EU15",NA
"fra","Alff4FrgSlg","GLU046",1409.09762357627,"IRR","EU15",NA
"ita","Alff4FrgSlg","GLU050",13750.1114694106,"IRR","EU15",NA
"smr","Alff4FrgSlg","GLU050",0,"IRR",NA,NA
"irn","Alff4FrgSlg","GLU052",0,"IRR","IRAN",NA
"alb","Alff4FrgSlg","GLU054",0,"IRR","OEEU",NA
"aut","Alff4FrgSlg","GLU054",0.254156236822509,"IRR","EU15",NA
"bgr","Alff4FrgSlg","GLU054",145.79316013474,"IRR","EUN9",NA
"bih","Alff4FrgSlg","GLU054",3.51760868667685,"IRR","OEEU",NA
"cze","Alff4FrgSlg","GLU054",0,"IRR","EUN9",NA
"deu","Alff4FrgSlg","GLU054",0,"IRR","EU15",NA
"hrv","Alff4FrgSlg","GLU054",0,"IRR","OEEU",NA
"hun","Alff4FrgSlg","GLU054",1471.75222175611,"IRR","EUN9",NA
"ita","Alff4FrgSlg","GLU054",0,"IRR","EU15",NA
"rom","Alff4FrgSlg","GLU054",587.564768162576,"IRR","EUN9",NA
"scg","Alff4FrgSlg","GLU054",3616.57977961143,"IRR","OEEU",NA
"svk","Alff4FrgSlg","GLU054",2004.727857924,"IRR","EUN9",NA
"svn","Alff4FrgSlg","GLU054",104.799142321094,"IRR","EUN9",NA
"alb","Alff4FrgSlg","GLU055",0,"IRR","OEEU",NA
"bgr","Alff4FrgSlg","GLU055",156.059218091223,"IRR","EUN9",NA
"bih","Alff4FrgSlg","GLU055",0,"IRR","OEEU",NA
"hrv","Alff4FrgSlg","GLU055",0,"IRR","OEEU",NA
"ita","Alff4FrgSlg","GLU055",254.925209777453,"IRR","EU15",NA
