# File: NEI_2011_GCAM_sectors.csv
# Title: mapping file for NEI 2011 and GCAM-USA sectors by sector and fuel
# Units: Units-in-table
state,pollutant,GCAM_sector,CEDS_Fuel,unit,emissions
AK,Ammonia,Road-LDV,diesel_oil,TON,4.756984769
AK,Ammonia,Road-LDV,light_oil,TON,171.9665555
AK,Ammonia,Road-bus,diesel_oil,TON,0.3933365
AK,Ammonia,Road-bus,light_oil,TON,1.970034611
AK,Ammonia,Road-bus,natural_gas,TON,0.002592696
AK,Ammonia,Road-truck-Light-Commertial,diesel_oil,TON,0.990531397
AK,Ammonia,Road-truck-Light-Commertial,light_oil,TON,9.6585584
AK,Ammonia,Road-truck-Long-haul,diesel_oil,TON,5.576746885
AK,Ammonia,Road-truck-Long-haul,light_oil,TON,0.055325135
AK,Ammonia,Road-truck-Short-haul,diesel_oil,TON,4.455298289
AK,Ammonia,Road-truck-Short-haul,light_oil,TON,0.349135178
AK,Ammonia,building_comm,biomass,TON,0.377499786
AK,Ammonia,building_comm,diesel_oil,TON,2.12
AK,Ammonia,building_comm,heavy_oil,TON,0
AK,Ammonia,building_comm,light_oil,TON,0.197739154
AK,Ammonia,building_resid,biomass,TON,43.55476799
AK,Ammonia,building_resid,diesel_oil,TON,32.303718
AK,Ammonia,building_resid,hard_coal,TON,61.00930005
AK,Ammonia,building_resid,light_oil,TON,0.273003255
AK,Ammonia,building_resid,natural_gas,TON,199.9589606
AK,Ammonia,elec_heat,diesel_oil,TON,12.97
AK,Ammonia,elec_heat,natural_gas,TON,0.89
AK,Ammonia,industry_energy,diesel_oil,TON,1.862105482
AK,Ammonia,industry_energy,light_oil,TON,4.479518914
AK,Ammonia,industry_processes,Process,TON,0.42
AK,Ammonia,landfills,Process,TON,0.52
AK,Ammonia,oil_gas,Process,TON,0.25
AK,Ammonia,trn_domestic ship,diesel_oil,TON,14.73102731
AK,Ammonia,trn_rail,diesel_oil,TON,0.133438817
AK,Ammonia,trn_rail,light_oil,TON,0.000378022
AK,Carbon Dioxide,Road-LDV,diesel_oil,TON,175415.1732
AK,Carbon Dioxide,Road-LDV,light_oil,TON,2028782.505
AK,Carbon Dioxide,Road-bus,diesel_oil,TON,23000.77135
AK,Carbon Dioxide,Road-bus,light_oil,TON,54495.32448
AK,Carbon Dioxide,Road-bus,natural_gas,TON,100.005686
AK,Carbon Dioxide,Road-truck-Light-Commertial,diesel_oil,TON,35228.1315
AK,Carbon Dioxide,Road-truck-Light-Commertial,light_oil,TON,153039.8
AK,Carbon Dioxide,Road-truck-Long-haul,diesel_oil,TON,330643.1816
AK,Carbon Dioxide,Road-truck-Long-haul,light_oil,TON,1577.797512
AK,Carbon Dioxide,Road-truck-Short-haul,diesel_oil,TON,258315.2215
AK,Carbon Dioxide,Road-truck-Short-haul,light_oil,TON,9163.329875
AK,Carbon Dioxide,industry_energy,diesel_oil,TON,229160.0405
AK,Carbon Dioxide,industry_energy,light_oil,TON,299602.046
AK,Carbon Dioxide,industry_energy,natural_gas,TON,11726.6733
AK,Carbon Dioxide,trn_rail,diesel_oil,TON,623.015215
AK,Carbon Dioxide,trn_rail,light_oil,TON,28.3571243
AK,Carbon Dioxide,trn_rail,natural_gas,TON,0.96966303
AK,Carbon Monoxide,Road-LDV,diesel_oil,TON,3925.866759
AK,Carbon Monoxide,Road-LDV,light_oil,TON,76616.61321
AK,Carbon Monoxide,Road-bus,diesel_oil,TON,112.8826927
AK,Carbon Monoxide,Road-bus,light_oil,TON,3447.768829
AK,Carbon Monoxide,Road-bus,natural_gas,TON,1.04496385
AK,Carbon Monoxide,Road-truck-Light-Commertial,diesel_oil,TON,329.515869
AK,Carbon Monoxide,Road-truck-Light-Commertial,light_oil,TON,4418.9606
AK,Carbon Monoxide,Road-truck-Long-haul,diesel_oil,TON,890.8994974
AK,Carbon Monoxide,Road-truck-Long-haul,light_oil,TON,70.453395
AK,Carbon Monoxide,Road-truck-Short-haul,diesel_oil,TON,654.123225
AK,Carbon Monoxide,Road-truck-Short-haul,light_oil,TON,442.7403032
AK,Carbon Monoxide,building_comm,biomass,TON,45.94473059
AK,Carbon Monoxide,building_comm,diesel_oil,TON,79.9215482
AK,Carbon Monoxide,building_comm,hard_coal,TON,176.2229569
AK,Carbon Monoxide,building_comm,heavy_oil,TON,0
AK,Carbon Monoxide,building_comm,light_oil,TON,380.8509588
AK,Carbon Monoxide,building_comm,natural_gas,TON,56.02622237
AK,Carbon Monoxide,building_resid,biomass,TON,5580.541846
AK,Carbon Monoxide,building_resid,diesel_oil,TON,161.518471
AK,Carbon Monoxide,building_resid,hard_coal,TON,8388.787695
AK,Carbon Monoxide,building_resid,light_oil,TON,1.365016455
AK,Carbon Monoxide,building_resid,natural_gas,TON,430.2161284
AK,Carbon Monoxide,elec_heat,diesel_oil,TON,1576.78
AK,Carbon Monoxide,elec_heat,hard_coal,TON,1281.74
AK,Carbon Monoxide,elec_heat,light_oil,TON,1.76
AK,Carbon Monoxide,elec_heat,natural_gas,TON,2134.78
AK,Carbon Monoxide,industry_energy,diesel_oil,TON,1920.594794
AK,Carbon Monoxide,industry_energy,light_oil,TON,44016.821
AK,Carbon Monoxide,industry_energy,natural_gas,TON,445.5732677
AK,Carbon Monoxide,industry_processes,Process,TON,128.0452043
AK,Carbon Monoxide,landfills,Process,TON,1127.03365
AK,Carbon Monoxide,oil_gas,Process,TON,3214.952124
AK,Carbon Monoxide,trn_domestic air,diesel_oil,TON,15992.5184
AK,Carbon Monoxide,trn_domestic ship,diesel_oil,TON,4700.116999
AK,Carbon Monoxide,trn_rail,diesel_oil,TON,267.6068945
AK,Carbon Monoxide,trn_rail,light_oil,TON,8.0855408
AK,Carbon Monoxide,trn_rail,natural_gas,TON,0.051652381
AK,Methane,Road-LDV,diesel_oil,TON,8.82081535
AK,Methane,Road-LDV,light_oil,TON,270.8537843
AK,Methane,Road-bus,diesel_oil,TON,0.631815156
AK,Methane,Road-bus,light_oil,TON,9.411173985
AK,Methane,Road-bus,natural_gas,TON,1.07800144
