# File: FAO_For_Exp_USD_FORESTAT.csv
# Title: FAO historical forests export value
# PriceUnits: Export Value in Thousand Nominal US$
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-14
# Column types: cicicippppppppppppppppppppppppppppppppppppppppppppppppppppppppppp
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,72,72,72,72,76,80,75,75,1601,4513,8124,8124,1733,6834,2825,2840,2681,3644,3644,3454,450,653,1479,113,17,67
Albania,3,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,84,162,138,138,138,365,129,151,578,3342,1906,1194,1194,1194,1194,1194,1194,1194,1194,5064,3830,3830,3830,3830,3830,1677,1203,1203
Algeria,4,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,4,,0,0,0,0,0,0,0,0,0,4,43,43,43,41,85,48,44,44,26,26,26,0,12,11,0,0
American Samoa,5,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,0,3
Andorra,6,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,20,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51,12,19,38,113
Angola,7,Roundwood,1861,Export Value (1000 US$),5922,2075,2556,2556,2878,2840,3236,3418,5837,6928,5898,5071,5305,8534,8532,,,,,,,,,,,19,171,43,65,262,73,,550,550,670,670,61,1149,395,1335,2437,646,352,698,2356,2356,2400,2289,2582,2084,2221,2547,6630,3184,6698,15206,29406,43600,40072,24849
Anguilla,258,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Antigua and Barbuda,8,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,0,0
Argentina,9,Roundwood,1861,Export Value (1000 US$),5922,90,40,37,77,29,23,19,12,34,28,19,12,20,54,,,43,176,346,410,302,234,440,625,625,1149,1354,28486,41110,40538,23937,39512,8352,27429,51050,24833,21752,20752,9840,5355,914,816,1588,2058,2071,1618,7106,3693,1737,3746,3535,2924,2396,3510,3475,1135,1702,1491,39187
Armenia,1,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,16,16,0,62,91,291,69,222,298,378,0,90,15,9,0,0,0,0,0,0,0,0
Aruba,22,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,0,0,0,0
Australia,10,Roundwood,1861,Export Value (1000 US$),5922,785,610,381,502,446,414,747,779,325,541,627,360,558,1688,2315,1677,128,280,662,1720,1120,1855,2646,1770,1064,1233,1323,2887,3274,2798,8535,10995,14956,29729,21665,26728,36451,21992,33143,37306,35914,65319,72787,91168,47960,72355,72397,80431,87628,141908,219356,141123,202791,294207,294817,411769,624029,640402,601431
Austria,11,Roundwood,1861,Export Value (1000 US$),5922,10122,12818,8894,7855,6799,7784,8822,7475,9221,11281,13760,12771,22048,36532,36390,45725,60757,67052,65567,89235,72484,57250,37958,40670,43450,48647,64603,49080,66989,121482,84240,72948,52363,63003,61263,69595,75953,70650,88796,69432,68336,68975,77199,100127,84249,80886,109175,120180,87215,111999,129446,95536,104912,96712,86407,91596,87726,104828,87011
