# File: FAO_For_Exp_USD_FORESTAT.csv
# Title: FAO historical forests export value
# PriceUnits: Export Value in Thousand Nominal US$
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-14
# Column types: cicicippppppppppppppppppppppppppppppppppppppppppppppppppppppppppp
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,52,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,132,111,20,40,40,111,276,171,67,0,0,0,0,0,1,1,1,1,1,0,0,0,0,244,0,0,0
Bahamas,12,Roundwood,1861,Export Value (1000 US$),5922,2789,3603,2500,4284,3639,4040,3680,4030,5510,6044,6234,6346,4196,2715,1563,1990,1207,,,,,,,,,,0,,,3,,28,435,214,100,65,0,0,0,0,0,187,328,190,190,5,70,0,0,7,75,75,86,86,0,3,0,0,0
Bahrain,13,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,24,9,9,198,0,0,0,0,0,7,160,179,179,298,73,87,34,487,216,113,142,177,158,23,60,35,0
Bangladesh,16,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,4,57,19,56,13888,13888,13888,0,0,53,49,49,53,99,104,104,104,60,37,40,34,4,3,0,6,37
Barbados,14,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,34,55,0,0,4,2,2,2,14,14,14,14,14,12,12,0,0,0
Belarus,57,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6321,5823,7185,20046,30012,10262,22636,19783,21079,22935,27687,35677,35677,35677,35677,35677,35677,46160,101487,129493,84627,110602,121061,98071,91924,76278,185,6358
Belgium,255,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93977,68494,66184,81935,94698,93650,136226,113352,183868,92444,119808,153295,140964,184017,214866,190085,163537,268885,301002,477045
Belgium-Luxembourg,15,Roundwood,1861,Export Value (1000 US$),5922,9370,9560,8763,10670,11825,13517,8216,7873,11181,12063,13108,14524,16858,16171,19937,20845,32390,45170,51257,64682,64934,64997,45047,49331,44952,69466,96780,106085,112835,105558,125524,110625,105202,119545,133767,99920,95956,84954,139116,,,,,,,,,,,,,,,,,,,,
Belize,23,Roundwood,1861,Export Value (1000 US$),5922,130,31,50,84,38,39,14,38,41,53,25,17,78,71,63,160,170,109,521,562,194,73,67,73,101,485,332,400,1114,,,14,,0,0,0,0,0,0,0,0,0,7,33,33,18,10,76,100,642,2937,926,301,700,1855,708,368,112,129
Benin,53,Roundwood,1861,Export Value (1000 US$),5922,,,2,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,30,16,4,4,0,0,103,100,194,420,4483,7320,15544,16080,16704,15956,18958,12625,32067,86203,114885,110983,166738,72578,43161,23067,29885,8285
Bermuda,17,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bhutan,18,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,217,217,217,217,217,217,217,217,20,63,63,217,,0,41,,0,0,0,0,0,0,0,0,0,657,184,184,184,184,184,184,186,186,197,197,197,11,11,0,0,0
Bolivia (Plurinational State of),19,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,925,,,,,,,,,,0,,,178,300,41,7972,7381,954,1325,0,0,66,47,21,263,492,682,1103,2536,3371,6328,2711,6467,5451,1664,1565,1068,574,1767,2815,2298,1730
Bosnia and Herzegovina,80,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,216,,,,2493,5355,6809,6809,1455,3662,8839,22505,20638,20639,20442,36533,37822,43772,57072,49889,59859,60663,48989,58185,65729,72079,58696
Botswana,20,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,1,9,5,4,1,9,11
Brazil,21,Roundwood,1861,Export Value (1000 US$),5922,2694,2503,2927,4013,6192,7179,7195,6265,5612,3136,3595,4351,13320,6850,1236,1708,895,1602,1951,1490,1360,1370,908,2039,2231,1107,1085,3824,4316,6128,5177,15223,11951,20671,59112,25682,35985,45039,22286,34543,17746,23152,3814,5062,1782,789,3870,6458,1144,6143,17755,17675,17347,30229,32195,39901,65568,93713,139022
British Virgin Islands,239,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Brunei Darussalam,26,Roundwood,1861,Export Value (1000 US$),5922,195,82,8,18,15,,,,,,,,,,,,,,,,,,,,,,0,,,,,11,,124,138,0,0,0,130,130,130,130,107,107,107,107,107,126,126,126,126,59,58,118,0,0,0,0,0
Bulgaria,27,Roundwood,1861,Export Value (1000 US$),5922,,310,485,311,196,427,1640,1246,1080,1015,320,245,275,1437,1332,848,1195,1763,806,246,96,120,132,260,2005,2640,3200,10000,10200,7108,4094,6737,14644,3021,2875,6289,5004,2694,10599,9692,8054,5658,5682,19385,23669,28618,37719,26118,18975,40476,56759,65325,47532,79620,33042,34749,33817,35273,24207
Burkina Faso,233,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,326,326,329,329,329,329,688,128,46,28,554,598,431,3,2,48,99,0
Burundi,29,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,0,0,0,114,392,541,541,541,538,503,514,425,425,633,633,634,406,261,6,0,0
Cote dIvoire,107,Roundwood,1861,Export Value (1000 US$),5922,30605,33575,55722,64689,60765,60093,72436,86735,116457,84716,93327,127096,239639,216442,162798,265064,281359,257269,317890,490188,287124,222295,200458,184580,130717,121087,81070,72100,72100,100968,102922,62034,57186,47690,47622,40796,9736,10381,11202,21336,25089,19866,21500,36240,38000,29176,41104,69401,52433,57676,49826,57090,149806,103682,59105,34227,10660,2530,431
Cabo Verde,35,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,71,71,71,71,71,71,71,71,71,217,217,217,217,217,217,5,0,0,0,0
Cambodia,115,Roundwood,1861,Export Value (1000 US$),5922,1465,1160,1127,1010,969,1046,1503,1706,3641,1853,94,94,94,94,94,94,94,94,94,94,94,15,,,,180,180,999,2650,5448,14356,87234,61944,113000,131000,62000,21000,1800,800,22,0,142,685,347,323,127,20343,5197,5907,6172,26094,19171,80814,143044,51384,59857,51432,17888,21922
Cameroon,32,Roundwood,1861,Export Value (1000 US$),5922,4780,4931,6204,7454,7733,9274,10528,13850,14220,15437,16839,17628,45526,49043,30756,48554,32500,78516,101208,113873,55518,45811,34431,33347,64300,37000,47663,74611,71733,180492,156748,205029,137534,161426,303844,266627,237136,118326,164250,101182,28424,17612,9106,5005,90408,179868,193299,163504,168662,249342,291092,269312,272161,308024,384982,331094,323324,393595,278671
Canada,33,Roundwood,1861,Export Value (1000 US$),5922,38515,38111,36106,37861,43062,44815,47011,45639,41133,60033,42810,29896,27233,44727,40937,45043,60660,53556,68769,89390,74918,88731,142150,193556,137506,203151,273494,265691,165649,120516,121313,170089,161321,129931,127983,106865,91165,170959,253317,313203,314834,410135,405554,391069,521858,497020,414693,306616,254753,401140,630082,615140,814679,753021,567188,634214,725654,687381,615721
Cayman Islands,36,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,712
Central African Republic,37,Roundwood,1861,Export Value (1000 US$),5922,115,262,123,95,103,112,136,472,939,2600,3500,4400,10618,11266,9677,10086,7942,12200,29159,27449,25947,14141,12355,13610,11664,13696,9000,8032,14173,11679,4748,9168,7475,25135,17425,9957,12121,21321,28302,39559,78250,27264,40614,44909,42106,44469,44960,53301,69305,51252,67442,51104,42129,44800,49546,65691,74784,66824,41386
Chad,39,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,3,59,5,0,0
Chile,40,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,603,726,4302,20595,31235,56835,17672,36891,34587,29880,40371,42854,69038,108421,74557,95525,82495,75140,130024,113897,135400,74668,106859,23223,50083,35847,26349,24649,13027,18104,11225,8146,7762,5495,1799,3646,4792,900,1100,6131,3248,3949,20572,39824,34251
"China, Hong Kong SAR",96,Roundwood,1861,Export Value (1000 US$),5922,504,644,806,1155,1159,884,701,594,575,751,1292,1814,4221,3590,2572,1179,1358,1358,1358,17054,,,,,,,13702,14323,22132,1917,4282,6388,5420,61993,75105,99895,39512,17500,644,565,741,74855,570,3449,2960,52667,71733,41298,1054,485,401,812,827,816,1513,212,8095,2742,2912
"China, Macao SAR",128,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,984,29,83,27,27,31,32,43,22,43,3,3,0,18,12,35,34,2,0,0,0,0,0,0,0,0,0,0,0
"China, mainland",41,Roundwood,1861,Export Value (1000 US$),5922,85,105,75,360,135,420,466,276,161,260,7839,11300,8500,8500,8500,7681,14081,7800,8000,9900,6500,9200,6800,2450,2450,11268,22802,64205,5324,35102,48514,58036,74650,59377,66688,31607,30944,13300,12817,7944,6507,3648,3360,1496,2307,1735,1390,2604,4656,10583,6834,1777,6700,8430,5374,30894,32581,26637,19453
"China, Taiwan Province of",214,Roundwood,1861,Export Value (1000 US$),5922,1052,1418,1916,4310,3437,6754,6103,4052,6147,6512,8112,13996,15300,6941,9916,7958,8458,8658,14505,8215,9125,5639,10088,12809,6496,4265,3718,1429,15928,,12896,7851,9955,11123,10129,9738,6642,8728,5983,6041,7167,7046,6185,11927,8599,16776,27792,21994,19344,17299,22644,29081,27836,34422,16481,20094,20770,9481,4075
Christmas Island,42,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cocos (Keeling) Islands,43,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Colombia,44,Roundwood,1861,Export Value (1000 US$),5922,675,776,846,741,901,751,535,480,518,1140,590,807,1931,751,234,234,234,234,,,,,,,,,0,,,21,28,17,13,479,746,391,1535,1500,1360,1636,1590,2978,6130,6748,2242,1223,3079,7448,9261,11603,8477,10826,19628,27569,19785,14708,10207,23926,20317
Comoros,45,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,46,Roundwood,1861,Export Value (1000 US$),5922,11110,11866,13765,18857,17816,17322,16538,20091,21896,21300,21700,17000,17500,25760,12160,18780,18900,20201,21066,44591,28501,21200,19553,26032,28716,39460,64422,91656,110779,153433,124665,123153,75024,80009,79831,65136,107444,76358,55667,73456,234942,113850,149640,166932,218114,204290,212363,243180,166052,267490,352219,325771,269027,316227,268235,229290,312558,298387,300791
Cook Islands,47,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,477,717,726,726,726,726,726,726,726,130,130,130,130,130,130,130,130,130,130,130,130,130,130,0,0,0,0,0
Costa Rica,48,Roundwood,1861,Export Value (1000 US$),5922,91,75,28,36,9,53,90,123,79,78,67,,,,,,,200,37,17,17,46,26,146,146,146,723,1175,,7,21,52,13,37,342,417,929,929,993,52,52,352,3624,5704,5704,7847,9741,12865,26063,39054,40356,41319,29222,30206,71817,58214,76727,61530,52295
Croatia,98,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25261,10747,19137,118422,125071,150772,111611,114552,25606,28926,29323,31622,45251,47367,51551,66969,67299,68140,77381,97833,75750,99867,104676,82022,99630,90685,91275,91275
Cuba,49,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,19,18,18,18,18,18,0,0,0,0,3,3,3,1192,1530,1530,1530,1530,1530,1633,1601,16,59,0,0,0
Curacao,279,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cyprus,50,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,365,56,0,0,0,0,166,166,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,167,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89391,98272,122291,141046,146559,135718,148717,94054,101224,111035,183820,181099,191615,194114,266057,243610,162366,140495,391267,373522,460977,456290,373591,442661,408802,565049,737669
Czechoslovakia,51,Roundwood,1861,Export Value (1000 US$),5922,11154,11397,14596,14348,15182,19065,20473,22224,26438,25760,27676,31700,41360,65100,75600,73100,89250,106687,126902,128702,107809,114800,89000,73300,74160,60900,42150,47350,32850,37597,47846,64969,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,220,14,10663,1151,4614,6125,7736,6377,5279,17565,27155,12979,12979,12979,2163,2163,2163,11787,6267,14099,11321,6135,8103,2725,1662,1650,3239,12215,16393,12885,6300,1635,0
Democratic Republic of the Congo,250,Roundwood,1861,Export Value (1000 US$),5922,2640,2500,3135,2415,2203,2330,1974,1081,960,800,500,1484,3200,3250,3250,6131,4961,4100,5600,8300,7300,6800,8997,6947,9524,9139,9845,12672,12832,35037,36621,30830,26627,29020,36161,36283,20318,16067,17744,19273,6806,6647,24254,46729,58281,80738,117199,103621,57630,77635,110469,102594,87730,94378,67897,45338,42965,40998,34256
Denmark,54,Roundwood,1861,Export Value (1000 US$),5922,1698,2706,2563,2387,3037,2621,2451,4391,4672,3567,2747,2407,3018,3464,9980,10829,10328,11668,14031,13441,13957,36032,27372,20995,17176,20667,23139,26956,27238,23994,26055,23612,13896,18073,25106,22065,27633,38502,53181,69265,47112,21965,26495,27488,47134,44877,77481,78436,46426,62269,71588,55810,64357,64357,64245,66625,64931,62316,66909
Djibouti,72,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,0,0,0,14,1141,577,231,0,0,0
Dominica,55,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,2,26,26,7,7,7,7,11,11,11,11,11,1,1,59,0,0
Dominican Republic,56,Roundwood,1861,Export Value (1000 US$),5922,350,231,250,251,85,109,96,101,44,44,8,15,31,31,31,31,,,,,17,,,,,,0,,,,,,,,,,,,,,,,,,,657,413,344,98,1330,505,152,286,1157,1932,213,50,49,47
Ecuador,58,Roundwood,1861,Export Value (1000 US$),5922,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,126,1760,35,4104,3097,2283,13005,20173,3099,7146,4738,6926,5180,5314,4594,10663,17461,30140,31724,17708,15471,33368,20553,63090,75714,68127,86435,75535,93195,88046
Egypt,59,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3,,,0,16,16,0,0,0,0,0,0,0,0,0,0,169,11,71,1411,324,1081,401,290,668,778,852,690,200
El Salvador,60,Roundwood,1861,Export Value (1000 US$),5922,,2,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,0,0,0,0,0,0,666,702,987,278,2593,3982,3277,3314,3314,4925,4912,4969,5355,3257,4912,3565,2483
Equatorial Guinea,61,Roundwood,1861,Export Value (1000 US$),5922,5460,6900,7450,8500,8000,9700,8300,9400,8600,8700,,140,550,1000,1500,2000,1700,120,700,2200,5800,9900,7300,7100,6619,17208,17208,10763,15199,24005,23826,26328,14795,21803,32616,58475,101615,46154,81324,89966,89531,74106,114564,88821,93396,112049,154878,86132,8639,87529,129474,133768,158182,161839,184574,264719,292776,345393,190682
Eritrea,178,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,65,65,65,65,65,87,87,1,0,0,0,0
Estonia,63,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26151,31144,50915,102890,76871,106771,152448,146450,136189,109379,105923,131645,116987,102088,84802,136735,148017,74621,158530,215698,162677,207097,202009,142248,151731,165270,267389,195884
Ethiopia,238,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,279,150,0,0,0,0,0,0,0,0,0,0,0,2,2,2,28,24,634,636,636,636,2,0,11
Falkland Islands (Malvinas),65,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Faroe Islands,64,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1
Fiji,66,Roundwood,1861,Export Value (1000 US$),5922,,,146,123,108,177,100,110,109,38,4,,,,,,,,,1534,184,184,91,972,211,211,693,693,554,1281,371,587,19,926,1218,224,224,269,236,236,236,159,531,749,874,2521,2837,2734,2085,2147,5172,4925,17866,17378,2795,1824,1420,472,315
Finland,67,Roundwood,1861,Export Value (1000 US$),5922,91570,58460,34481,27135,17916,17426,14431,11925,15709,19697,19604,14788,17120,28624,47966,41203,68736,50933,76757,134929,169149,85858,68355,75794,81646,103070,116862,53058,36457,45066,27054,40044,80895,132683,101246,76770,78517,76998,80874,43326,33983,35038,42778,48889,64778,67581,85980,100266,70144,58115,84532,74428,85014,82571,69923,68780,74435,117736,102188
France,68,Roundwood,1861,Export Value (1000 US$),5922,37422,38503,35303,35926,35821,36634,33150,30747,37586,45417,49084,55732,78062,112923,96006,97051,127008,153930,186395,221277,170944,143757,143315,152665,191802,261274,297156,352683,380386,426904,379037,382269,234215,271519,307919,283797,263004,303685,294760,399799,279184,226549,255821,278896,278834,313720,395690,372469,321941,426673,490324,349445,370258,398737,342612,318054,363072,410126,362202
French Polynesia,70,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,,0,0,0,0,50,50,66,66,66,66,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
Gabon,74,Roundwood,1861,Export Value (1000 US$),5922,28400,27609,29900,35433,31876,31047,29467,32360,40644,38782,32200,55300,87840,125000,52844,57600,81917,85909,111494,129525,115430,97733,105359,110897,91683,114427,66913,77633,101050,250413,71309,243525,330482,349179,112338,109932,152337,240112,273166,285751,275550,198887,126519,109251,522484,528286,703070,702397,552534,399144,24815,24513,13443,6488,12467,5394,15485,19119,16856
Gambia,75,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15,,0,0,0,1,1,0,3,3,3,5,179,179,43,703,16,50,7169,38330,78180,67338,33250,56869,92834,97400,15486,52172
Georgia,73,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,88,63,0,0,5615,7739,7890,7852,7676,7630,7630,7630,7631,257,152,152,152,152,3,15,0,0,207,333,382,371,371
Germany,79,Roundwood,1861,Export Value (1000 US$),5922,8837,9568,11394,11488,10765,14574,22529,24966,22193,23701,25247,26548,87053,156627,140927,144718,127863,111429,130098,195367,157201,128785,104667,135184,188475,204279,230885,242716,263110,336288,507767,384519,263627,286131,332349,211923,254244,312532,255897,405875,344775,316568,341079,423666,507188,615347,799643,665435,380978,388372,439414,364643,366052,409142,366863,386244,428193,553428,756940
Ghana,81,Roundwood,1861,Export Value (1000 US$),5922,25381,16247,20372,22709,18629,15298,14751,16930,23636,19480,23300,32141,77039,49002,42719,41265,49680,38386,18573,12398,4391,3469,4311,5140,9550,18440,39505,45420,23809,34015,42023,40947,56718,143758,24204,6000,0,0,0,0,0,0,29,11255,25217,25378,69040,93154,54698,56107,65763,118155,122943,223811,124734,186268,164618,169122,166222
Gibraltar,82,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,84,Roundwood,1861,Export Value (1000 US$),5922,16,27,6,19,10,7,4,,,,,,,150,13,38,21,94,94,14,42,60,108,145,36,445,1300,1300,5799,5028,10239,16947,10467,936,673,673,1728,1935,1949,728,355,953,1353,1286,1100,2519,3269,2523,1170,1350,1304,2480,2983,2759,2759,2759,889,1526,1526
Greenland,85,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,86,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Guadeloupe,87,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,,5,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Guam,88,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Guatemala,89,Roundwood,1861,Export Value (1000 US$),5922,145,274,181,35,161,178,135,7,113,,,,73,123,123,,,11,11,11,78,16,32,53,362,290,290,5643,3848,477,1409,205,233,0,0,0,0,0,0,0,0,693,1103,2629,4203,2946,2189,2147,4054,4060,7293,6171,3397,6217,8934,6232,9014,8068,11283
Guinea,90,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,1200,1400,1400,1400,800,800,800,800,800,3006,2817,4084,1955,6105,3975,5378,11069,8422,5991,5991,5991,5991,5991,1907,1907,1907,1907,12728,7216,58413,19301,5441,1586,3886,2813,25491,16137,417,34
