# File: A44.sector.csv
# Title: Building sector default supplysector information (units and logit exponents)
# Units: NA
# Source: None (GCAM assumptions)
# Column types: ccccicc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type,final.energy
resid heating,EJ,EJ,$/GJ,-3,,building
resid cooling,EJ,EJ,$/GJ,-3,,building
resid hot water,EJ,EJ,$/GJ,-3,,building
resid lighting,petalumen-hours,EJ,$/megalumen-hours,-3,,building
resid refrigerators,EJ,EJ,$/GJ,-3,,building
resid freezers,EJ,EJ,$/GJ,-3,,building
resid dishwashers,billion cycles,EJ,$/cycle,-3,,building
resid cooking,EJ,EJ,$/GJ,-3,,building
resid clothes dryers,Mt,EJ,$/kg,-3,,building
resid clothes washers,billion cycles,EJ,$/cycle,-3,,building
resid televisions,EJ,EJ,$/GJ,-3,,building
resid computers,EJ,EJ,$/GJ,-3,,building
resid furnace fans,EJ,EJ,$/GJ,-3,,building
resid other,EJ,EJ,$/GJ,-3,,building
comm heating,EJ,EJ,$/GJ,-3,,building
comm cooling,EJ,EJ,$/GJ,-3,,building
comm hot water,EJ,EJ,$/GJ,-3,,building
comm ventilation,million km3,EJ,$/million m3,-3,,building
comm cooking,EJ,EJ,$/GJ,-3,,building
comm lighting,petalumen-hours,EJ,$/megalumen-hours,-3,,building
comm refrigeration,EJ,EJ,$/GJ,-3,,building
comm office,EJ,EJ,$/GJ,-3,,building
comm other,EJ,EJ,$/GJ,-3,,building
comm non-building,EJ,EJ,$/GJ,-3,,building
