# File: A_demand_supplysector.csv
# Title: Supply sectors of agricultural production
# Unit: Various
# Description: Generic information for supply sectors of agricultural production
# Source: GCAM assumptions
# Column types: cccccninnc 
# ----------
supplysector,energy.final.demand,output.unit,input.unit,price.unit,logit.exponent,perCapitaBased,price.elasticity,income.elasticity,logit.type
FoodDemand_Staples,,Pcal,Mt,$/Mcal,0,,,,
FoodDemand_NonStaples,,Pcal,Mt,$/Mcal,0,,,,
NonFoodDemand_Crops,NonFoodDemand_Crops,Mt,Mt,$/kg,0,1,0,0,
NonFoodDemand_Meat,NonFoodDemand_Meat,Mt,Mt,$/kg,0,1,0,0,
NonFoodDemand_Forest,NonFoodDemand_Forest,billion m3,billion m3,$/m3,0,1,-0.4,0.2,
