# Urban population fraction in China provinces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
province.name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Hubei,0.13832452,0.137171878,0.134910342,0.138169468,0.142059594,0.14803994,0.15034685,0.150872913,0.161440863,0.167893776,0.172054806,0.176791115,0.18073393,0.179942043,0.227237237,0.235196114,0.251668369,0.268082176,0.283593499,0.285241272,0.25997355,0.293498929,0.306299837,0.280500664,0.312000721,0.337400195,0.312399959,0.319000615,0.335156609,0.404731544,0.408006363,0.41399859,0.42,0.495974663,0.431996497,0.437994028,0.443007545,0.452004903,0.459965035,0.497
Hunan,0.102399381,0.104189714,0.105303974,0.106581294,0.106548115,0.107718107,0.109786515,0.114957481,0.122457185,0.12706994,0.129610731,0.142100687,0.144200035,0.154200801,0.162899356,0.169100361,0.17349951,0.176500419,0.174478933,0.175499804,0.186149622,0.196163524,0.193088552,0.215238839,0.242645494,0.249992222,0.251972158,0.258997232,0.263931415,0.297500019,0.307999727,0.32,0.3350003,0.354999477,0.370000446,0.387099777,0.404500639,0.421499737,0.431938807,0.467239953
Guangdong,0.157798426,0.157446528,0.157095269,0.156744647,0.156394663,0.158428445,0.160483642,0.162560351,0.168983562,0.174018253,0.177069597,0.179385521,0.18219958,0.196777959,0.211806372,0.21853917,0.224603277,0.230510888,0.236141863,0.259303849,0.283893332,0.3098392,0.337040285,0.365365187,0.394653472,0.424718332,0.455350707,0.486324715,0.517404119,0.548349451,0.560201378,0.571985055,0.583687637,0.595296642,0.6068,0.63,0.631358874,0.633699707,0.603158934,0.6618
Guangxi,0.09489303,0.096535486,0.096826955,0.096166134,0.098406748,0.099785736,0.102132773,0.106114051,0.107492795,0.109666478,0.111818433,0.122421281,0.121885883,0.376773516,0.382907307,0.381652306,0.380727092,0.418297456,0.452289157,0.462046205,0.48043782,0.504702914,0.561025408,0.612345679,0.663927143,0.712934448,0.72951177,0.74058849,0.755045084,0.75677392,0.769020597,0.791484033,0.290508544,0.317038249,0.336243655,0.346301149,0.362416107,0.381644518,0.392092257,0.4
Hainan,0.078635864,0.082295117,0.086154039,0.076798491,0.077472727,0.07710581,0.079401968,0.082297285,0.085174903,0.089316417,0.091998502,0.076043964,0.096011435,0.101508544,0.118742783,0.121526344,0.165767055,0.169899122,0.176004634,0.181702317,0.184671202,0.188509206,0.203452727,0.203662188,0.208493494,0.226398712,0.235259206,0.238766688,0.239649628,0.243777433,0.248070175,0.256788507,0.258943372,0.441998948,0.452,0.460999186,0.471995077,0.480004215,0.490740741,0.498
Chongqing,0.12,0.124396112,0.128953271,0.133677379,0.138574552,0.143651128,0.148913682,0.154369025,0.16002422,0.165886589,0.171963722,0.178263487,0.184794038,0.191563831,0.198581631,0.205856523,0.213397925,0.221215601,0.229319671,0.237720628,0.246429348,0.255457106,0.264815589,0.274516912,0.284573637,0.294998783,0.309999443,0.325998432,0.34300108,0.355894721,0.373998395,0.399001005,0.419004777,0.435116635,0.452448177,0.466983618,0.483433949,0.499855583,0.515914655,0.530243152
Sichuan,0.093135316,0.09700373,0.10103282,0.105229259,0.1096,0.114152281,0.118893643,0.12383194,0.12897535,0.134332395,0.139911946,0.145723246,0.151775921,0.158079997,0.164645915,0.171484551,0.178607232,0.186025757,0.193752414,0.2018,0.207521885,0.213406009,0.219456973,0.225679508,0.232078478,0.238658886,0.245425876,0.252384739,0.259540916,0.2669,0.278472895,0.290547595,0.303145859,0.316290389,0.330004871,0.34300404,0.355973914,0.374047678,0.387049481,0.401799593
Guizhou,0.120309872,0.121164251,0.12196741,0.120231711,0.117864833,0.116606257,0.119679259,0.120596337,0.190707399,0.195622814,0.186930005,0.188553184,0.189890607,0.291331412,0.297148894,0.300592228,0.326412982,0.304172649,0.315439924,0.331648064,0.373640497,0.671251666,0.682056743,0.685592512,0.686637705,0.691152357,0.694365482,0.694378828,0.684571139,0.238699903,0.239599211,0.24290904,0.247701348,0.262799395,0.268699928,0.274599567,0.282399877,0.291099394,0.320893412,0.338100029
Yunnan,0.114714833,0.117232238,0.117933372,0.11566636,0.116461937,0.116286948,0.116263692,0.12154412,0.123871137,0.124601767,0.129249062,0.131887545,0.141707698,0.207200261,0.264649952,0.289511494,0.281890209,0.396800223,0.417900219,0.404787434,0.411200127,0.419694123,0.42829198,0.452401503,0.456511931,0.459581838,0.47320469,0.470992809,0.474978533,0.233588002,0.248635537,0.260090928,0.265997806,0.281006523,0.29500719,0.304996654,0.315994683,0.330002201,0.339969372,0.348066058
Tibet,0.078905198,0.085760924,0.098514608,0.102456056,0.104369937,0.110614849,0.111319895,0.113112553,0.120367836,0.128292314,0.09840826,0.094848085,0.09718339,0.101993085,0.102917586,0.101684034,0.126713152,0.131129009,0.16715298,0.159964134,0.163487984,0.164291739,0.165326809,0.165876369,0.168771186,0.168825742,0.171871138,0.17873589,0.26994187,0.316482904,0.320457233,0.327552459,0.37973072,0.379716086,0.376677257,0.375381637,0.382872181,0.387315117,0.229831081,0.237117036
Shaanxi,0.159602183,0.162109164,0.164655524,0.167241882,0.169868865,0.172537112,0.175247271,0.178,0.180795968,0.183635855,0.186520349,0.189450153,0.192425976,0.195448543,0.198518588,0.201636856,0.204804105,0.208021103,0.211288634,0.21460749,0.223536183,0.232836353,0.242523455,0.252613585,0.263123514,0.274070705,0.285473352,0.297350403,0.309721596,0.32260749,0.336162059,0.346258875,0.355392157,0.363488183,0.372357724,0.391186807,0.406148867,0.420925229,0.434934263,0.457028112
Gansu,0.138720256,0.151715539,0.151428703,0.149351489,0.146916331,0.149663739,0.148512011,0.144081709,0.147793578,0.151504094,0.156958896,0.154860042,0.162467997,0.170385215,0.178631101,0.186813977,0.195620424,0.204683099,0.213798596,0.220098728,0.222659874,0.225387717,0.228016015,0.229649178,0.230546156,0.231902094,0.233445594,0.235229442,0.237231474,0.240100278,0.245099486,0.259598547,0.273798275,0.28609887,0.300201206,0.310898801,0.315899678,0.321499779,0.336594912,0.360804688
Qinghai,0.184136648,0.187067425,0.189407512,0.186524715,0.186642567,0.186098849,0.187105816,0.185934331,0.191011236,0.19822234,0.201205451,0.203212913,0.196780192,0.320285849,0.338136384,0.334227774,0.334190231,0.33823123,0.342321672,0.342268686,0.341328697,0.341286712,0.338632955,0.339451477,0.33900665,0.341859513,0.34693301,0.346420048,0.345880738,0.347608906,0.36321927,0.376768823,0.381790933,0.385276643,0.392507364,0.392587183,0.400688905,0.408605448,0.419002333,0.447193284
Ningxia,0.166503872,0.168146952,0.168388564,0.167722616,0.167723835,0.169236232,0.168757751,0.171747567,0.177074751,0.18147276,0.185194846,0.185680847,0.189800777,0.192271766,0.200762144,0.214620696,0.223756779,0.230535622,0.236186539,0.239198591,0.240335106,0.24173181,0.243572505,0.266576696,0.269233772,0.270102262,0.277347147,0.283690851,0.286035083,0.325419876,0.333203132,0.342005809,0.369228383,0.406000059,0.422800023,0.429599962,0.440236801,0.449774557,0.460985668,0.479565877
Xinjiang,0.173827371,0.183625642,0.188957652,0.190003731,0.225043957,0.227458256,0.228657452,0.260662931,0.287586487,0.290467878,0.291776985,0.284831674,0.33279082,0.404760133,0.427759084,0.443280044,0.448244722,0.450498451,0.451862243,0.448586152,0.449506938,0.452756179,0.462878288,0.481062044,0.495097361,0.500902746,0.501001118,0.500998655,0.523380282,0.33750223,0.337497801,0.338401944,0.343912717,0.351539139,0.371502475,0.3794,0.391501487,0.396398553,0.398400838,0.4133
