# File: solar_csp_pv_capacityfactor.csv
# Title: Capacity factor for centralized PV and CSP by province
# Units: Unitless
# Description: Capacity factor for centralized PV and CSP by province
# Source: Energy Foudation Training: http://www.efchina.org/Attachments/Report/reports-efchina-20110128-en/Methodoloy%20for%20Supply%20Curve%20Development_BV_EN.pdf,,
province.name,Centralized.PV,CSP
Beijing,0.16,0.26
Tianjin,0.16,0.26
Hebei,0.16,0.26
Shanxi,0.17,0.26
Inner Mongolia,0.18,0.29
Liaoning,0.16,0.26
Jilin,0.16,0.26
Heilongjiang,0.16,0.26
Shanghai,0.16,0.26
Jiangsu,0.17,0.26
Zhejiang,0.17,0.26
Anhui,0.16,0.26
Fujian,0.17,0.26
Jiangxi,0.16,0.26
Shandong,0.16,0.26
Henan,0.16,0.26
Hubei,0.16,0.26
Hunan,0.16,0.26
Guangdong,0.17,0.26
Guangxi,0.17,0.26
Hainan,0.18,0.26
Chongqing,0.16,0.26
Sichuan,0.16,0.26
Guizhou,0.16,0.26
Yunnan,0.18,0.26
Tibet,0.19,0.29
Shaanxi,0.17,0.26
Gansu,0.18,0.29
Qinghai,0.19,0.29
Ningxia,0.18,0.26
Xinjiang,0.19,0.29
Average,0.168387097,0.26483871
