# File: A232.structure.csv
# Title: Electricity sector default structure information (units and logit exponents)
# Units: Unitless
# Column types: ccccccncncccc
# ----------
region,supplysector,subsector,technology,minicam.energy.input,market.name,subsector.logit,subsector.logit.type,technology.logit,technology.logit.type,output.unit,input.unit,price.unit
China,electricity trade,grid_region electricity trade,grid_region electricity trade,electricity_net_ownuse,grid_region,-6,,-6,,EJ,EJ,1975$/GJ
grid_region,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,grid_region,-3,,-6,,EJ,EJ,1975$/GJ
grid_region,electricity domestic supply,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,grid_region,-3,,-6,,EJ,EJ,1975$/GJ
grid_region,electricity domestic supply,electricity trade,electricity trade,electricity trade,China,-3,,-6,,EJ,EJ,1975$/GJ
