# File: CPSY_GWh_province_F_elec_out.csv
# Title: Electricity generation by fuel
# Units: 100 - GWh
# Source: China power statistical yearbook
# Column types: cinnnnnnnnnnni
# ----------
province.name,year,coal,hydro,nuclear,wind,solar,other,nuc.adj,wind.adj,solar.adj,geothermal,coal.adj,row
Beijing,1994,128.75,2.39,0,0,0,-1.38E-14,0,0,0,0,0,3
Beijing,1995,127.83,3.62,0,0,0,-9.77E-15,0,0,0,0,0,4
Beijing,1996,133.45,8.44,0,0,0,0,0,0,0,0,0,5
Beijing,1997,135.73,9,0,0,0,0,0,0,0,0,0,6
Beijing,1998,145.93,9.53,0,0,0,1.78E-15,0,0,1.78E-15,0,0,7
Beijing,1999,162.57,9.49,0,0,0,8.88E-15,0,0,8.88E-15,0,0,8
Beijing,2000,179.49,9.47,0,0,0,-1.78E-15,0,0,0,0,0,9
Beijing,2001,173.91,2.74,0,0,0,8.88E-15,0,0,8.88E-15,0,0,10
Beijing,2002,178.86,4.66,0,0,0,-3.55E-15,0,0,0,0,0,11
Beijing,2003,,,,0,0,,0,0,,0,0,12
Beijing,2004,185.79,3.47,0,0,0,-1.33E-15,0,0,0,0,0,13
Beijing,2005,208.8,4.52,0,0,0,1.49,0,1.4,0.09,0,0,14
Beijing,2006,,,,1.4,,,,,,,0,15
Beijing,2007,223,4,0,0,0,0,0,0,0,0,0,16
Beijing,2008,243,4,0,0,0,0,0,0,0,0,0,17
Beijing,2009,241,4,0,1.4,0,0.6,0,0,0,0,0,18
Beijing,2010,263,4,0,3,0,0,0,0,0,0.4,0,19
Beijing,2011,258,4.5,0,3.1,0,0.4,0,0,0,0.4,0,20
Beijing,2012,283,7,0,3,0,0,0,0,0,0,0,21
Tianjin,1994,134.37,0.22,0,0,0,-1.14E-15,0,0,0,0,0,3
Tianjin,1995,131.66,0.21,0,0,0,7.97E-15,0,7.97E-15,0,0,0,4
Tianjin,1996,145.82,0.22,0,0,0,-1.14E-15,0,0,0,0,0,5
Tianjin,1997,178.49,0.23,0,0,0,-1.02E-14,0,0,0,0,0,6
Tianjin,1998,181.46,0.15,0,0,0,5.69E-15,0,0,5.69E-15,0,0,7
Tianjin,1999,190.43,0.17,0,0,0,0.12,0,0,0.12,0,0,8
Tianjin,2000,216.29,0.14,0,0,0,0.08,0,0,0.08,0,0,9
Tianjin,2001,221.66,0.09,0,0,0,3.41E-15,0,0,3.41E-15,0,0,10
Tianjin,2002,272.63,0.12,0,0,0,4.55E-15,0,0,4.55E-15,0,0,11
Tianjin,2003,,,,0,0,,0,0,,0,0,12
Tianjin,2004,339.52,0,0,0,0,0,0,0,0,0,0,13
Tianjin,2005,369.93,0,0,0,0,0.07,0,0,0.07,0,0,14
Tianjin,2006,,,,0,-1.0928,,,,,,0,15
Tianjin,2007,399,0,0,0,0,0,0,0,0,0,0,16
Tianjin,2008,397,0,0,0,0,0,0,0,0,0,0,17
Tianjin,2009,413,0,0,0,0,0,0,0,0,0,0,18
Tianjin,2010,556,0,0,0,0,0,0,0,0,-3.64E-14,0,19
Tianjin,2011,611.46,0.14,0,1.4,0,-3.64E-14,0,0,0,-3.64E-14,0,20
Tianjin,2012,582,0.2,0,4.7,0,0.1,0,0,0,0.1,0,21
Hebei,1994,536.18,13.65,0,0,0,9.06E-14,0,9.06E-14,0,0,0,3
Hebei,1995,589.57,12.44,0,0,0,-5.86E-14,0,0,0,0,0,4
Hebei,1996,632.33,13.5,0,0,0,0,0,0,0,0,0,5
Hebei,1997,681,10.62,0,0,0,0,0,0,0,0,0,6
Hebei,1998,680.85,8.05,0,0,0,-4.62E-14,0,0,0,0,0,7
Hebei,1999,763.23,8.43,0,0,0,0.21,0,0,0.21,0,0,8
Hebei,2000,839.53,4.7,0,0,0,0.19,0,0,0.19,0,0,9
Hebei,2001,928.65,3.12,0,0,0,0.17,0,0,0.17,0,0,10
Hebei,2002,1009.7,4.1,0,0,0,0.36,0,0,0.36,0,0,11
Hebei,2003,,,,0,0,,0,0,,0,0,12
Hebei,2004,1249.7,5.25,0,0,0,0.4,0,0,0.4,0,0,13
Hebei,2005,1343.48,3.1,0,0,0,0.25,0,0,0.25,0,0,14
Hebei,2006,,,,0,0,,,,,,0,15
Hebei,2007,1633,6,0,7,0,0,0,0,0,0,0,16
Hebei,2008,1580,7,0,13.6,0,0.4,0,0,0,0,0,17
Hebei,2009,1733,7,0,23.8,0,0.2,0,0,0,0,0,18
Hebei,2010,1998,8,0,57,0,0,0,0,0,1,0,19
Hebei,2011,2151,9,0,89,0,1,0,0,0,1,0,20
Hebei,2012,2178,10,0,126,0,2,0,0,0,2,0,21
Shanxi,1994,449.65,7.28,0,0,0,2.93E-14,0,2.93E-14,0,0,0,3
Shanxi,1995,498.5,7.1,0,0,0,2.31E-14,0,2.31E-14,0,0,0,4
Shanxi,1996,519.52,7.37,0,0,0,0,0,0,0,0,0,5
Shanxi,1997,540.26,5.76,0,0,0,-8.88E-15,0,0,0,0,0,6
Shanxi,1998,545.24,6.52,0,0,0,-1.78E-14,0,0,0,0,0,7
Shanxi,1999,555.97,11.18,0,0,0,-4.97E-14,0,0,0,0,0,8
Shanxi,2000,604.75,16.12,0,0,0,3.55E-15,0,0,3.55E-15,0,0,9
Shanxi,2001,694.2,16.8,0,0,0,0,0,0,0,0,0,10
Shanxi,2002,822.56,18.78,0,0,0,8.53E-14,0,0,8.53E-14,0,0,11
Shanxi,2003,,,,0,0,,0,0,,0,0,12
Shanxi,2004,1049.26,20.32,0,0,0,-6.39E-14,0,0,0,0,0,13
Shanxi,2005,1287.85,21.5,0,0,0,0,0,0,0,0,0,14
Shanxi,2006,,,,0,0,,,,,,0,15
Shanxi,2007,1734,25,0,0,0,0,0,0,0,0,0,16
Shanxi,2008,1762,23,0,0,0,1,0,0,0,0,0,17
Shanxi,2009,1848.9,22,0,2.1,0,-9.10E-14,0,0,0,0,0,18
Shanxi,2010,2108,37,0,5.5,0,0.5,0,0,0.006,0.004,0,19
Shanxi,2011,2296,35,0,12.99,0.006,0.004,0,0,0,0.004,0,20
Shanxi,2012,2454,44,0,36,0.2,0.8,0,0,0,0.8,0,21
Inner Mongolia,1994,258.86,1.54,0,0,0,-3.64E-14,0,0,0,0,0,3
Inner Mongolia,1995,285.12,1.41,0,0,0,-3.18E-14,0,0,0,0,0,4
Inner Mongolia,1996,322.76,1.25,0,0,0,0,0,0,0,0,0,5
Inner Mongolia,1997,341.32,1.01,0,0,0,-9.10E-15,0,0,0,0,0,6
Inner Mongolia,1998,348.75,1.73,0,0,0,0.79,0,0,0.79,0,0,7
Inner Mongolia,1999,377.04,2.66,0,0,0,0.91,0,0,0.91,0,0,8
Inner Mongolia,2000,432.75,5.6,0,0,0,0.87,0,0,0.87,0,0,9
Inner Mongolia,2001,458.21,6.2,0,0,0,1.09,0,0,1.09,0,0,10
Inner Mongolia,2002,513.82,6.74,0,0,0,1.35,0,0,1.35,0,0,11
Inner Mongolia,2003,,,,0,0,,0,0,,0,0,12
Inner Mongolia,2004,804.27,8.13,0,0,0,2.18,0,0,2.18,0,0,13
Inner Mongolia,2005,923.45,11.81,0,0,0,1.57,0,0,1.57,0,0,14
Inner Mongolia,2006,,,,0,0,,,,,,0,15
Inner Mongolia,2007,1801,14,0,14.4,0,0.6,0,0,0,0,0,16
Inner Mongolia,2008,2008,11,0,37.4,0,0.6,0,0,0,0,0,17
Inner Mongolia,2009,2135,18,0,97,0,0,0,0,0,0,0,18
Inner Mongolia,2010,2407,20,0,173,0,0,0,0,0,0.9,0,19
Inner Mongolia,2011,2889,18,0,227,0.1,0.9,0,0,0,0.9,0,20
Inner Mongolia,2012,3029,29,0,284,1.7,0.3,0,0,0,0.3,0,21
Liaoning,1994,484.5,25.44,0,0,0,0,0,0,0,0,0,3
Liaoning,1995,500.53,43.04,0,0,0,7.82E-14,0,7.82E-14,0,0,0,4
Liaoning,1996,539.01,43.8,0,0,0,0,0,0,0,0,0,5
Liaoning,1997,586.24,28.76,0,0,0,-1.07E-14,0,0,0,0,0,6
Liaoning,1998,582.53,22.35,0,0,0,0.25,0,0.05,0.2,0,0,7
Liaoning,1999,586.63,27.47,0,0,0,0.36,0,0.05,0.31,0,0,8
Liaoning,2000,630.1,16.52,0,0,0,0.55,0,0.05,0.5,0,0,9
Liaoning,2001,639.82,23.99,0,0,0,0.8,0,0.05,0.75,0,0,10
Liaoning,2002,704.5,15.51,0,0,0,1.23,0,0.05,1.18,0,0,11
Liaoning,2003,,,,0,0,,0,0.05,,0,0,12
Liaoning,2004,845.43,39.47,0,0,0,2.64,0,0.05,2.59,0,0,13
Liaoning,2005,836.97,57.26,0,0,0,2.45,0,0.05,2.4,0,0,14
Liaoning,2006,,,,0.05,98.71,,,,,,0,15
Liaoning,2007,1065,44,0,3.3,0,0.7,0,0,0,0,0,16
Liaoning,2008,1085,42,0,10.8,0,1.2,0,0,0,0,0,17
Liaoning,2009,1135,32,0,26.8,0,0.2,0,0,0,0,0,18
Liaoning,2010,1236,57,0,47,0,0,0,0,0,0,0,19
Liaoning,2011,1316,41,0,66,0,0,0,0,0,0,0,20
Liaoning,2012,1345,64,0,79,0,0,0,0,0,0,0,21
Jilin,1994,198.53,61.44,0,0,0,0,0,0,0,0,0,3
Jilin,1995,201.76,83.12,0,0,0,0,0,0,0,0,0,4
Jilin,1996,233.07,60.91,0,0,0,0,0,0,0,0,0,5
Jilin,1997,239.37,40.66,0,0,0,-2.84E-14,0,0,0,0,0,6
Jilin,1998,231.45,43.11,0,0,0,1.42E-14,0,0,1.42E-14,0,0,7
Jilin,1999,245.35,49.04,0,0,0,-7.11E-15,0,0,0,0,0,8
Jilin,2000,243.63,50.17,0,0,0,1.42E-14,0,0,1.42E-14,0,0,9
Jilin,2001,244.99,61.65,0,0,0,-2.13E-14,0,0,0,0,0,10
Jilin,2002,260.34,49,0,0,0,0,0,0,0,0,0,11
Jilin,2003,,,,0,0,,0,0,,0,0,12
Jilin,2004,332.42,61.47,0,0,0,0.81,0,0,0.81,0,0,13
Jilin,2005,352.94,80.02,0,0,0,0.99,0,0,0.99,0,0,14
Jilin,2006,,,,0,0,,,,,,0,15
Jilin,2007,437,56,0,6.4,0,1.6,0,0,0,0,0,16
Jilin,2008,464,48,0,13.7,0,0.3,0,0,0,0,0,17
Jilin,2009,473,52,0,21.7,0,0.3,0,0,0,0,0,18
Jilin,2010,522,103,0,33,0,0,0,0,0,0,0,19
Jilin,2011,592,74,0,39,0,0,0,0,0,0,0,20
Jilin,2012,591,79,0,44,0,0,0,0,0,0,0,21
Heilongjiang,1994,373.68,7.97,0,0,0,-2.93E-14,0,0,0,0,0,3
Heilongjiang,1995,382.75,5.54,0,0,0,2.04E-14,0,2.04E-14,0,0,0,4
Heilongjiang,1996,405.14,5.11,0,0,0,1.33E-14,0,1.33E-14,0,0,0,5
Heilongjiang,1997,420.69,10.41,0,0,0,2.49E-14,0,0,2.49E-14,0,0,6
Heilongjiang,1998,411.96,13.28,0,0,0,3.02E-14,0,0,3.02E-14,0,0,7
Heilongjiang,1999,405.34,10.68,0,0,0,7.11E-15,0,0,7.11E-15,0,0,8
Heilongjiang,2000,418.63,13.65,0,0,0,-2.31E-14,0,0,0,0,0,9
Heilongjiang,2001,433.47,13.93,0,0,0,-4.97E-14,0,0,0,0,0,10
