# File: A44.demandFn_serv.csv
# Title: Building service demand function type
# Units: Unitless
# Column types: cccc
# ----------
gcam.consumer,nodeInput,building.node.input,prodDmdFnType
resid_urban,resid_urban,resid_urban_building,building-service-function
resid_rural,resid_rural,resid_rural_building,building-service-function
comm,comm,comm_building,building-service-function
