# File: A999.StubTechShrwt_ccs.csv
# Title: Apply new ccs shareweights to all provinces
# Units: Unitless
# Description: Assign shareweight assumptions of CCS to subtechnologies by China province. Remove N fertilizer sector from XZ province
# Source: from the former csv file
# Column types: ccccnn
# ----------
region,supplysector,subsector.name,stub.technology,year,share.weight
China,N fertilizer,coal,coal CCS,1975,0
China,N fertilizer,gas,gas CCS,1975,0
China,N fertilizer,coal,coal CCS,1990,0
China,N fertilizer,gas,gas CCS,1990,0
China,N fertilizer,coal,coal CCS,2005,0
China,N fertilizer,gas,gas CCS,2005,0
China,N fertilizer,coal,coal CCS,2010,0
China,N fertilizer,gas,gas CCS,2010,0
China,N fertilizer,coal,coal CCS,2015,0
China,N fertilizer,gas,gas CCS,2015,0
China,N fertilizer,coal,coal CCS,2020,0.2
China,N fertilizer,gas,gas CCS,2020,0.2
China,N fertilizer,coal,coal CCS,2025,0.4
China,N fertilizer,gas,gas CCS,2025,0.4
China,N fertilizer,coal,coal CCS,2030,0.6
China,N fertilizer,gas,gas CCS,2030,0.6
China,N fertilizer,coal,coal CCS,2035,0.8
China,N fertilizer,gas,gas CCS,2035,0.8
China,N fertilizer,coal,coal CCS,2040,1
China,N fertilizer,gas,gas CCS,2040,1
China,N fertilizer,coal,coal CCS,2045,1
China,N fertilizer,gas,gas CCS,2045,1
China,N fertilizer,coal,coal CCS,2050,1
China,N fertilizer,gas,gas CCS,2050,1
China,N fertilizer,coal,coal CCS,2055,1
China,N fertilizer,gas,gas CCS,2055,1
China,N fertilizer,coal,coal CCS,2060,1
China,N fertilizer,gas,gas CCS,2060,1
China,N fertilizer,coal,coal CCS,2065,1
China,N fertilizer,gas,gas CCS,2065,1
China,N fertilizer,coal,coal CCS,2070,1
China,N fertilizer,gas,gas CCS,2070,1
China,N fertilizer,coal,coal CCS,2075,1
China,N fertilizer,gas,gas CCS,2075,1
China,N fertilizer,coal,coal CCS,2080,1
China,N fertilizer,gas,gas CCS,2080,1
China,N fertilizer,coal,coal CCS,2085,1
China,N fertilizer,gas,gas CCS,2085,1
China,N fertilizer,coal,coal CCS,2090,1
China,N fertilizer,gas,gas CCS,2090,1
China,N fertilizer,coal,coal CCS,2095,1
China,N fertilizer,gas,gas CCS,2095,1
China,N fertilizer,coal,coal CCS,2100,1
China,N fertilizer,gas,gas CCS,2100,1
China,cement,cement,cement CCS,1975,0
China,cement,cement,cement CCS,1990,0
