# File: A44.subsector_logit.csv
# Title:  Building default subsector logit exponents
# Units: Unitless
# Column types: ccnc
# ----------
supplysector,subsector,logit.exponent,logit.type
resid_rural heating,trad biomass,-6,
resid_rural heating,biomass,-6,
resid_rural heating,coal,-6,
resid_rural heating,gas,-6,
resid_rural heating,electricity,-6,
resid_rural heating,refined liquids,-6,
resid_rural cooling,electricity,-6,
resid_rural hot water_cooking,gas,-6,
resid_rural hot water_cooking,electricity,-6,
resid_rural hot water_cooking,refined liquids,-6,
resid_rural hot water_cooking,coal,-6,
resid_rural hot water_cooking,trad biomass,-6,
resid_rural lighting,electricity,-2,
resid_rural appliances,electricity,-6,
resid_urban heating,biomass,-6,
resid_urban heating,coal,-6,
resid_urban heating,gas,-6,
resid_urban heating,electricity,-6,
resid_urban heating,refined liquids,-6,
resid_urban heating,heat,-6,
resid_urban cooling,electricity,-6,
resid_urban hot water_cooking,gas,-6,
resid_urban hot water_cooking,electricity,-6,
resid_urban hot water_cooking,refined liquids,-6,
resid_urban hot water_cooking,coal,-6,
resid_urban lighting,electricity,-2,
resid_urban appliances,electricity,-6,
comm heating,biomass,-6,
comm heating,coal,-6,
comm heating,gas,-6,
comm heating,electricity,-6,
comm heating,refined liquids,-6,
comm heating,heat,-6,
comm cooling,electricity,-6,
comm hot water_cooking,gas,-6,
comm hot water_cooking,electricity,-6,
comm hot water_cooking,refined liquids,-6,
comm hot water_cooking,coal,-6,
comm lighting,electricity,-2,
comm appliances,electricity,-6,
