# File: future_hydro_gen_EJ.csv
# Title: Planned hydro electricity generation
# Units: EJ
# Description: Planned hydro electricity generation
# Source:  Bo Liu
# Column types: nn
# ----------
year,value
2014,3.83796
2020,4.32
