# File: floorspace_m2_province_Yh.csv
# Title: Historical per capita floorspace for urban and rural households
# Units: m^2
# Description: floorspace_province_adjusted.
# Source: TODO
# Column types: cnnn
# ----------
province.name,Year,Urban ,Rural
Beijing,1970,6.46,6.18
Beijing,1971,6.49,6.49
Beijing,1972,6.52,6.82
Beijing,1973,6.55,7.17
Beijing,1974,6.58,7.54
Beijing,1975,6.61,7.92
Beijing,1976,6.64,8.33
Beijing,1977,6.67,8.75
Beijing,1978,6.7,9.2
Beijing,1979,6.73,9.67
Beijing,1980,7.06,10.09
Beijing,1981,7.48,12.35
Beijing,1982,7.92,13.01
Beijing,1983,8.37,14.24
Beijing,1984,8.72,14.22
Beijing,1985,9.09,16.48
Beijing,1986,9.2,17.41
Beijing,1987,9.75,18.38
Beijing,1988,10.3,19.23
Beijing,1989,10.74,20.09
Beijing,1990,11.17,20.62
Beijing,1991,11.64,21.92
Beijing,1992,12.09,22.67
Beijing,1993,12.45,23.7
Beijing,1994,12.85,24.42
Beijing,1995,13.34,24.74
Beijing,1996,13.82,25.74
Beijing,1997,14.36,27.39
Beijing,1998,14.96,27.64
Beijing,1999,15.88,28.65
Beijing,2000,16.75,28.91
Beijing,2001,17.62,31.01
Beijing,2002,18.2,32.58
Beijing,2003,18.67,33.95
Beijing,2004,18.88,34.21
Beijing,2005,20.13,36.94
Beijing,2006,20.96,39.1
Beijing,2007,21.5,39.54
Beijing,2008,21.56,39.4
Beijing,2009,21.62016744,39.2604957
Beijing,2010,21.68050279,39.12148535
Tianjin,1970,5.06496322,4.553800279
Tianjin,1971,5.147034383,4.958582527
Tianjin,1972,5.230435403,5.399345418
Tianjin,1973,5.315187829,5.879287233
Tianjin,1974,5.401313558,6.401890542
Tianjin,1975,5.488834842,6.970947479
Tianjin,1976,5.577774295,7.590587255
Tianjin,1977,5.668154897,8.265306122
Tianjin,1978,5.76,9
Tianjin,1979,5.853333333,9.8
Tianjin,1980,6.186666667,10.5
Tianjin,1981,7.346666667,11
Tianjin,1982,7.92,11.4
Tianjin,1983,8.413333333,12
Tianjin,1984,9.013333333,13.7
Tianjin,1985,9.466666667,14.5
Tianjin,1986,11.58666667,14.7
Tianjin,1987,11.81333333,16.2
Tianjin,1988,12.42666667,17.7
Tianjin,1989,12.84,17.6
Tianjin,1990,13.05333333,18
Tianjin,1991,13.32,17.2
Tianjin,1992,13.58666667,17.5
Tianjin,1993,13.76,18.68
Tianjin,1994,14.36,19.06
Tianjin,1995,15.18666667,19.5
Tianjin,1996,15.84,20.9
Tianjin,1997,16.36,21.7
Tianjin,1998,16.77333333,22.2
Tianjin,1999,17.46666667,22.9
Tianjin,2000,18.50666667,23.6
Tianjin,2001,21.21333333,23.9
Tianjin,2002,22.28,24.3
Tianjin,2003,23.1,24.4
Tianjin,2004,24.7,25.22
Tianjin,2005,24.97,26.06
Tianjin,2006,26.05,26.43
Tianjin,2007,27.09,26.6
Tianjin,2008,28.53,27.29
Tianjin,2009,30.04654485,27.9978985
Tianjin,2010,31.64370338,28.72415977
Hebei,1970,10.89275105,4.387066171
Hebei,1971,11.1258644,4.785890369
Hebei,1972,11.36396655,5.220971311
Hebei,1973,11.60716428,5.695605067
Hebei,1974,11.85556663,6.213387346
Hebei,1975,12.10928498,6.778240741
Hebei,1976,12.3684331,7.394444444
Hebei,1977,12.6331272,8.066666667
Hebei,1978,12.90348595,8.8
Hebei,1979,13.17963059,9.6
Hebei,1980,13.46168494,9.86
Hebei,1981,13.74977548,10.28
Hebei,1982,14.04403137,11.36
Hebei,1983,14.34458457,12.04
Hebei,1984,14.65156985,13.61
Hebei,1985,14.96512484,14.01
Hebei,1986,15.28539016,14.83
Hebei,1987,15.6125094,15.59
Hebei,1988,15.94662926,16.25
Hebei,1989,16.28789953,16.8
Hebei,1990,16.63647326,17.34
Hebei,1991,16.99250673,17.49
Hebei,1992,17.3561596,18.03
Hebei,1993,17.72759492,19.91
Hebei,1994,18.10697925,20.51
Hebei,1995,18.4944827,21.53
Hebei,1996,18.89027902,21.43
Hebei,1997,19.29454569,22.53
Hebei,1998,19.70746398,23.13
Hebei,1999,20.12921905,24.04
Hebei,2000,20.56,22.87
Hebei,2001,21,24.08
Hebei,2002,24.98666667,24.9
Hebei,2003,25.21333333,25.55
Hebei,2004,25.77333333,26.08
Hebei,2005,28.70666667,28.35
Hebei,2006,29.08,29.13
Hebei,2007,30.45,30.11
Hebei,2008,29.51,30.71
Hebei,2009,29.95,31.94
Hebei,2010,30.52,32.23
Hebei,2011,32.21,34.11
Hebei,2012,32.51,35.01
Shanxi,1957,0,0
Shanxi,1962,0,0
Shanxi,1965,0,0
Shanxi,1970,10.58328586,8.045546513
Shanxi,1971,10.84349382,8.203554882
Shanxi,1972,11.11009943,8.364666414
Shanxi,1973,11.38325999,8.528942054
Shanxi,1974,11.66313667,8.696443941
Shanxi,1975,11.94989459,8.867235437
Shanxi,1976,12.24370293,9.041381147
Shanxi,1977,12.54473505,9.218946945
