region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,is.ghost.share.relative
Africa_Southern,root,AgroForestLand_CongoR,AgroForest_NonPasture_CongoR,CropLand_CongoR,biomass_grass_CongoR,1
Africa_Southern,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,CropLand_GuineaGulf,biomass_grass_GuineaGulf,1
Africa_Southern,root,AgroForestLand_LimpopoR,AgroForest_NonPasture_LimpopoR,CropLand_LimpopoR,biomass_grass_LimpopoR,1
Africa_Southern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,1
Africa_Southern,root,AgroForestLand_OrangeR,AgroForest_NonPasture_OrangeR,CropLand_OrangeR,biomass_grass_OrangeR,1
Africa_Southern,root,AgroForestLand_RiftValley,AgroForest_NonPasture_RiftValley,CropLand_RiftValley,biomass_grass_RiftValley,1
Africa_Southern,root,AgroForestLand_ZambeziR,AgroForest_NonPasture_ZambeziR,CropLand_ZambeziR,biomass_grass_ZambeziR,1
Africa_Western,root,AgroForestLand_AfrCstNW,AgroForest_NonPasture_AfrCstNW,CropLand_AfrCstNW,biomass_grass_AfrCstNW,1
Africa_Western,root,AgroForestLand_AfrCstW,AgroForest_NonPasture_AfrCstW,CropLand_AfrCstW,biomass_grass_AfrCstW,1
Africa_Western,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,CropLand_AfrIntN,biomass_grass_AfrIntN,1
Africa_Western,root,AgroForestLand_CongoR,AgroForest_NonPasture_CongoR,CropLand_CongoR,biomass_grass_CongoR,1
Africa_Western,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,CropLand_GuineaGulf,biomass_grass_GuineaGulf,1
Africa_Western,root,AgroForestLand_LChad,AgroForest_NonPasture_LChad,CropLand_LChad,biomass_grass_LChad,1
Africa_Western,root,AgroForestLand_NigerR,AgroForest_NonPasture_NigerR,CropLand_NigerR,biomass_grass_NigerR,1
Africa_Western,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,1
Africa_Western,root,AgroForestLand_SenegalR,AgroForest_NonPasture_SenegalR,CropLand_SenegalR,biomass_grass_SenegalR,1
Africa_Western,root,AgroForestLand_VoltaR,AgroForest_NonPasture_VoltaR,CropLand_VoltaR,biomass_grass_VoltaR,1
Africa_Western,root,AgroForestLand_ZambeziR,AgroForest_NonPasture_ZambeziR,CropLand_ZambeziR,biomass_grass_ZambeziR,1
Australia_NZ,root,AgroForestLand_AusCstE,AgroForest_NonPasture_AusCstE,CropLand_AusCstE,biomass_grass_AusCstE,1
Australia_NZ,root,AgroForestLand_AusCstN,AgroForest_NonPasture_AusCstN,CropLand_AusCstN,biomass_grass_AusCstN,1
Australia_NZ,root,AgroForestLand_AusCstS,AgroForest_NonPasture_AusCstS,CropLand_AusCstS,biomass_grass_AusCstS,1
Australia_NZ,root,AgroForestLand_AusCstW,AgroForest_NonPasture_AusCstW,CropLand_AusCstW,biomass_grass_AusCstW,1
Australia_NZ,root,AgroForestLand_AusInt,AgroForest_NonPasture_AusInt,CropLand_AusInt,biomass_grass_AusInt,1
Australia_NZ,root,AgroForestLand_MurrayDrlg,AgroForest_NonPasture_MurrayDrlg,CropLand_MurrayDrlg,biomass_grass_MurrayDrlg,1
Australia_NZ,root,AgroForestLand_NewZealand,AgroForest_NonPasture_NewZealand,CropLand_NewZealand,biomass_grass_NewZealand,1
