#INPUT_TABLE
#Variable ID
#SubsectorLogit_relative-cost-logit
#
region,supplysector,subsector,logit.type
USA,electricity,coal,relative-cost-logit
USA,electricity,gas,relative-cost-logit
USA,electricity,refined liquids,relative-cost-logit
USA,electricity,biomass,relative-cost-logit
USA,electricity,nuclear,relative-cost-logit
USA,electricity,hydro,relative-cost-logit
USA,electricity,wind,relative-cost-logit
USA,electricity,solar,relative-cost-logit
USA,electricity,geothermal,relative-cost-logit
USA,elect_td_bld,rooftop_pv,relative-cost-logit
Africa_Eastern,electricity,coal,relative-cost-logit
Africa_Eastern,electricity,gas,relative-cost-logit
Africa_Eastern,electricity,refined liquids,relative-cost-logit
Africa_Eastern,electricity,biomass,relative-cost-logit
Africa_Eastern,electricity,nuclear,relative-cost-logit
Africa_Eastern,electricity,hydro,relative-cost-logit
Africa_Eastern,electricity,wind,relative-cost-logit
Africa_Eastern,electricity,solar,relative-cost-logit
Africa_Eastern,electricity,geothermal,relative-cost-logit
Africa_Eastern,elect_td_bld,rooftop_pv,relative-cost-logit
Africa_Northern,electricity,coal,relative-cost-logit
Africa_Northern,electricity,gas,relative-cost-logit
Africa_Northern,electricity,refined liquids,relative-cost-logit
Africa_Northern,electricity,biomass,relative-cost-logit
Africa_Northern,electricity,nuclear,relative-cost-logit
Africa_Northern,electricity,hydro,relative-cost-logit
Africa_Northern,electricity,wind,relative-cost-logit
Africa_Northern,electricity,solar,relative-cost-logit
Africa_Northern,electricity,geothermal,relative-cost-logit
Africa_Northern,elect_td_bld,rooftop_pv,relative-cost-logit
Africa_Southern,electricity,coal,relative-cost-logit
Africa_Southern,electricity,gas,relative-cost-logit
Africa_Southern,electricity,refined liquids,relative-cost-logit
Africa_Southern,electricity,biomass,relative-cost-logit
Africa_Southern,electricity,nuclear,relative-cost-logit
Africa_Southern,electricity,hydro,relative-cost-logit
Africa_Southern,electricity,wind,relative-cost-logit
Africa_Southern,electricity,solar,relative-cost-logit
Africa_Southern,electricity,geothermal,relative-cost-logit
Africa_Southern,elect_td_bld,rooftop_pv,relative-cost-logit
Africa_Western,electricity,coal,relative-cost-logit
Africa_Western,electricity,gas,relative-cost-logit
Africa_Western,electricity,refined liquids,relative-cost-logit
Africa_Western,electricity,biomass,relative-cost-logit
Africa_Western,electricity,nuclear,relative-cost-logit
Africa_Western,electricity,hydro,relative-cost-logit
Africa_Western,electricity,wind,relative-cost-logit
Africa_Western,electricity,solar,relative-cost-logit
Africa_Western,electricity,geothermal,relative-cost-logit
Africa_Western,elect_td_bld,rooftop_pv,relative-cost-logit
Australia_NZ,electricity,coal,relative-cost-logit
Australia_NZ,electricity,gas,relative-cost-logit
Australia_NZ,electricity,refined liquids,relative-cost-logit
Australia_NZ,electricity,biomass,relative-cost-logit
Australia_NZ,electricity,nuclear,relative-cost-logit
Australia_NZ,electricity,hydro,relative-cost-logit
Australia_NZ,electricity,wind,relative-cost-logit
Australia_NZ,electricity,solar,relative-cost-logit
Australia_NZ,electricity,geothermal,relative-cost-logit
Australia_NZ,elect_td_bld,rooftop_pv,relative-cost-logit
Brazil,electricity,coal,relative-cost-logit
Brazil,electricity,gas,relative-cost-logit
Brazil,electricity,refined liquids,relative-cost-logit
Brazil,electricity,biomass,relative-cost-logit
Brazil,electricity,nuclear,relative-cost-logit
Brazil,electricity,hydro,relative-cost-logit
Brazil,electricity,wind,relative-cost-logit
Brazil,electricity,solar,relative-cost-logit
Brazil,electricity,geothermal,relative-cost-logit
