# ../socioeconomics-data/level1//L102.gdp_mil90usd_GCAM3_ctry_Y.csv
# Written by L102.GDP.R
# Thu Apr 13 09:44:00 2017
# " Total GDP from GCAM 3.0 by country (including historical time series) "
# " Unit = 1990 USD "
"iso","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
"can",359777.947019868,379370.927152318,405791.125827815,420768.80794702,428439.271523179,450715.099337748,466301.854304636,484737.549668874,503181.523178808,514063.377483444,532071.655629139,516001.655629139,529242.582781457,558731.258278146,584875.695364238,597732.185430464,621894.17218543,651357.350993378,666830.463576159,667690.066225166,653533.642384106,659117.284768212,676302.649006622,707101.986754967,726465.562913907,738667.549668874,770085.430463576,801952.98013245,842029.139072848,885166.887417219,900111.920529801,925331.125827815,943147.01986755,972750.993377483,1003517.21854305,1029827.81456954,1050509.93377483,1062857.61589404,1034038.41059603,1068929.8013245,1194472.48479283,1309054.40485662,1419053.60528742,1524519.61226836,1633497.33517205,1750889.86612862,1874627.93929906,2018996.76313068,2160982.13939905,2322422.0194792,2484883.37708646,2670714.90235944,2865120.64808725,3071985.32425937,3295116.2562041,3550036.8069471,3852162.00098839,4151671.59348298
"usa",3269639.4013245,3441715.1013245,3635978.9807947,3617142.49006623,3610036.90993377,3804434.85695364,3979795.21192053,4201140.73642384,4334537.94834437,4323946.61192053,4436094.11721854,4351363.42582781,4552933.98675497,4883410.49668874,5090410.79337748,5269189.87086093,5451588.77218543,5680777.24834437,5889855.59205298,6002874.53642384,5998450.30728477,6211751.77880795,6382285.70198676,6639963.52980132,6820552.52317881,7079436.9602649,7397110.01986755,7726245.85430464,8088228.2384106,8419241.01986755,8501357.39072848,8653255.92715232,8896119.29139073,9232896.98013245,9541721.57615894,9796181.78807947,9970402.56953643,9941376.94039735,9665398.89403974,9910139.20529801,11121102.0164345,12320849.7954431,13626397.1313606,14955382.5326957,16374308.8488665,18067918.277116,19827125.7338263,21986904.2978079,24004353.1796492,26407070.401137,28848377.7003674,31746758.9913616,34767285.5047896,38042718.4627884,41386453.2395316,45394511.8797042,49866524.199225,54636409.9025963
"mex",186385.960264901,201723.311258278,217580.993377483,230150.264900662,243371.258278146,254121.986754967,262738.410596027,286271.78807947,314034.900662252,343030.529801324,373123.178807947,370780.397350993,355221.324503311,368045.430463576,377590.264900662,363415.827814569,370159.867549669,374769.933774834,390503.907284768,410295.894039735,427619.602649007,443136.42384106,461134.17218543,482933.57615894,455122.98013245,481860.397350993,515411.78807947,539645.629139073,554038.013245033,583382.516556291,579850.198675497,580615.099337748,588875.364238411,614171.78807947,632796.953642384,664445.695364238,685363.57615894,694960.927152318,662295.364238411,696139.735099338,932897.665925901,1050059.10333513,1184475.65899607,1343799.6905082,1508749.32545157,1710644.47666933,1926972.23267028,2207960.75118137,2500842.16287381,2876698.31342789,3323857.23562439,3914447.91592324,4615770.12447337,5460924.75061308,6418054.4393386,7466313.257056,8520749.20326561,9769492.54190136
"bhs",2256.37417218543,2177.46092715232,2342.24105960265,1949.81721854305,1661.18344370861,1747.3178807947,1907.28410596027,2177.72781456954,2746.97086092715,2925.3940397351,2655.48543046358,2833.37350993377,2935.29205298013,3351.25629139073,3513.0940397351,3576.22516556291,3682.9582781457,3768.02317880795,4021.51059602649,3957.3178807947,3791.83112582781,3646.77086092715,3657.99602649007,3773.18344370861,3938.40198675497,4104.7417218543,4189.39139072848,4386.9821192053,4700.3940397351,4895.42582781457,5023.96092715232,5159.84039735099,5094.58145695364,5139.56092715232,5314.0642384106,5447.81125827815,5526.61589403974,5398.18079470199,5172.79205298013,5223.89933774834,6074.52805895244,6644.33885577849,7168.10756955357,7713.15139604302,8219.68611385089,8888.28083148687,9578.3604267284,10451.1463258411,11275.9471991142,12399.2780118161,13728.362444346,15558.706626888,17614.2851612963,19999.0858353781,22543.2480349617,25120.3847600575,27435.5197994478,30122.8241951223
"brb",1615.67417218543,1636.25496688742,1658.19205298013,1581.07218543046,1644.39668874172,1643.03907284768,1714.95761589404,1820.12119205298,1959.66026490066,2052.38543046358,1986.57350993377,1887.06357615894,1890.45629139073,1954.00662251656,1963.9582781457,2149.18145695364,2171.11920529801,2306.81390728477,2423.05894039735,2306.58741721854,2239.41854304636,2127.92185430464,2148.95496688742,2234.37218543046,2267.66688741722,2309.25695364238,2456.92715231788,2557.96490066225,2624.28476821192,2684.64304635762,2616.17947019868,2633.77682119205,2685.74238410596,2724.2357615894,2833.1178807947,2994.79006622517,3044.83178807947,3055.27947019868,2928.80198675497,2936.22516556291,2830.32343581269,2991.63048296737,3144.17744694212,3335.56654887319,3514.62100632441,3760.72950315182,4011.77329398812,4339.52270792686,4637.62682948374,5041.09158699289,5511.48172344468,6177.7132072864,6927.70813584429,7805.44099537736,8737.9406591781,9688.95805880026,10548.8459429554,11553.6381106609
"blz",111.092251655629,122.443907284768,128.99701986755,146.489006622517,151.752052980132,151.700463576159,161.555761589404,174.352317880795,187.458410596026,215.889337748344,218.675695364238,218.05642384106,213.46417218543,217.643708609272,219.965695364238,230.027350993378,255.826821192053,279.459006622517,316.042582781457,349.633443708609,386.334569536424,432.832847682119,459.999867549669,460.72642384106,463.693377483444,470.318278145695,486.991920529801,505.21,549.569337748344,621.226357615894,652.384966887417,685.777483443709,749.755629139073,784.605298013245,807.917880794702,845.869536423841,855.978145695364,889.201986754967,891.815894039735,926.158940397351,1275.06599971959,1390.87378757618,1582.11512743105,1839.77421154066,2127.90650235581,2501.24455040734,2921.53743737732,3458.72107086119,4042.82604727797,4805.51679622159,5735.70710806592,6980.42095949304,8492.81316662412,10356.0802716446,12531.2058589293,14992.1503970346,17577.3135838853,20698.5641410094
"cri",4538.92450331126,4910.12052980132,5288.63774834437,5581.88741721854,5699.11059602649,6013.56225165563,6549.03907284768,6959.50993377484,7303.25165562914,7358.16556291391,7191.74834437086,6667.7880794702,6858.68874172185,7284.03973509934,7359.90066225166,7785.66225165563,8320.96026490066,8638.77483443708,9076.38410596027,9430.80794701987,9673.35761589404,10558.6688741722,11341.4569536424,11877.8609271523,12343.582781457,12453.0198675497,13147.6688741722,14251.7880794702,15423.6092715232,15701.3509933775,15870.3642384106,16330.9470198675,17376.8675496689,18117.0331125828,19183.4569536424,20867.701986755,22523.6291390728,23138.8874172185,22903.8609271523,24038.5894039735,33786.7423097388,40110.0086975625,46763.1480694181,53929.1055493494,61231.4342460049,70269.2159952626,79675.1239372431,91179.9656086359,102795.421844369,118085.650830284,135997.04966374,159459.463218201,186747.185858136,218715.297898247,253666.715159861,290161.047203552,324483.517092925,363779.918886565
"cub",14095.5099337748,14775.8543046358,15283.3311258278,15433.7880794702,16896.357615894,17813.4834437086,19364.9536423841,20642.2715231788,20866.8940397351,19854.9668874172,23764.0794701987,25883.4105960265,27284.0860927152,29447.6357615894,29917.821192053,29946.3311258278,29226.9735099338,30309.9867549669,30516.1258278146,29616.3311258278,26449.5496688742,23386.5298013245,19907.0397350993,20049.761589404,20542.4238410596,22152.6953642384,22769.642384106,22805.0993377483,24217.0132450331,25649.6622516556,26465.8874172185,26843.9867549669,27861.7350993377,29469.6026490066,32770.701986755,36724.7549668874,39391.7483443709,41013.4370860927,41607.7748344371,42601.4701986755,42481.589487381,45385.3143729233,48819.3321430602,52466.0494079518,55882.819199759,60931.4004640667,66783.8215786694,74091.8139846557,80600.812198069,88971.0094493496,98488.8232493941,111259.244103246,126460.735707556,144513.107400526,164195.749325882,184866.905821485,204530.948070107,228097.550290318
"dom",4929.16026490066,5441.50463576159,6143.22847682119,6511.93907284768,6850.11920529801,7311.00662251656,7675.22516556291,7839.52317880795,8194.76821192053,8847.7880794702,9226.45695364238,9383.19205298013,9817.43708609272,9940.43708609272,9729.45033112583,10072.1258278146,11091.1523178808,11330.2781456954,11828.8741721854,11183.6821192053,11289.2781456954,12476.1390728477,13377.2450331126,13685.3509933775,14437.178807947,15466.7483443709,16704.7417218543,17875.8543046358,19076.2781456954,20155.3443708609,20520,21707.7417218543,21652.7417218543,21936.8145695364,23968.7682119205,26526.5165562914,28774.5430463576,30286.8278145695,31332.9470198675,33761.6357615894,57918.2993974856,68486.2843737002,79146.8903365168,91172.3202137951,103375.818393822,118538.312108379,134566.043831433,154489.207906852,174763.789724988,200495.562836445,230425.869589653,269544.848879183,315132.527234513,369318.157572944,429563.144911463,493754.340748057,555717.562760476,627543.463874748
"slv",6473.08609271523,6869.07947019868,7203.03311258278,7587.38410596027,7809.2119205298,8203.50993377483,8759.71523178808,9225.97350993377,8840.30463576159,7799.6821192053,6984.54304635762,6544.11324503311,6644.56953642384,6733.40397350993,6774.92052980132,6787.74834437086,6958.3642384106,7089.00662251656,7157.21854304636,7503.01986754967,7771.3642384106,8357.5761589404,8973.49668874172,9516.43046357616,10125.1523178808,10297.8410596026,10735.1258278146,11137.5562913907,11521.6953642384,11769.7218543046,11970.8609271523,12251.0794701987,12532.8609271523,12764.7814569536,13219.5629139073,13736.7086092715,14264.1655629139,14445.9205298013,13993.3245033113,14184.298013245,22360.1678876121,24313.9227446723,26626.5296958132,29547.6904508291,32680.0083440596,36962.2890549368,41688.7529873127,47725.2519261829,53866.6142539316,61649.0347689189,71032.0983607021,83903.8700036252,99365.4779135462,118153.583707803,139711.946672942,163682.125755189,188359.491867249,218072.852615029
