# INPUT_TABLE
# Variable ID
# Supplysector
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent
USA,cement,Mt,EJ or Mt,1975$/kg,1975,-3
USA,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Africa_Eastern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Africa_Eastern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Africa_Northern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Africa_Northern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Africa_Southern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Africa_Southern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Africa_Western,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Africa_Western,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Australia_NZ,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Australia_NZ,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Brazil,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Brazil,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Canada,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Canada,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Central America and Caribbean,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Central America and Caribbean,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Central Asia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Central Asia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
China,cement,Mt,EJ or Mt,1975$/kg,1975,-3
China,process heat cement,EJ,EJ,1975$/GJ,1975,-3
EU-12,cement,Mt,EJ or Mt,1975$/kg,1975,-3
EU-12,process heat cement,EJ,EJ,1975$/GJ,1975,-3
EU-15,cement,Mt,EJ or Mt,1975$/kg,1975,-3
EU-15,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Europe_Eastern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Europe_Eastern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Europe_Non_EU,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Europe_Non_EU,process heat cement,EJ,EJ,1975$/GJ,1975,-3
European Free Trade Association,cement,Mt,EJ or Mt,1975$/kg,1975,-3
European Free Trade Association,process heat cement,EJ,EJ,1975$/GJ,1975,-3
India,cement,Mt,EJ or Mt,1975$/kg,1975,-3
India,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Indonesia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Indonesia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Japan,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Japan,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Mexico,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Mexico,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Middle East,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Middle East,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Pakistan,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Pakistan,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Russia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Russia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
South Africa,cement,Mt,EJ or Mt,1975$/kg,1975,-3
South Africa,process heat cement,EJ,EJ,1975$/GJ,1975,-3
South America_Northern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
South America_Northern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
South America_Southern,cement,Mt,EJ or Mt,1975$/kg,1975,-3
South America_Southern,process heat cement,EJ,EJ,1975$/GJ,1975,-3
South Asia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
South Asia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
South Korea,cement,Mt,EJ or Mt,1975$/kg,1975,-3
South Korea,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Southeast Asia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Southeast Asia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Taiwan,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Taiwan,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Argentina,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Argentina,process heat cement,EJ,EJ,1975$/GJ,1975,-3
Colombia,cement,Mt,EJ or Mt,1975$/kg,1975,-3
Colombia,process heat cement,EJ,EJ,1975$/GJ,1975,-3
