#INPUT_TABLE
#Variable ID
#GlobalIntTechOMfixed
#
sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,wind,wind,1975,OM-fixed,3.75,0.37
electricity,solar,PV,1975,OM-fixed,8.93,0.2
electricity,solar,CSP,1975,OM-fixed,16.62,0.25
elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-fixed,46.77,0.2
electricity,wind,wind,1990,OM-fixed,3.75,0.37
electricity,solar,PV,1990,OM-fixed,8.93,0.2
electricity,solar,CSP,1990,OM-fixed,16.62,0.25
elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-fixed,46.77,0.2
electricity,wind,wind,2005,OM-fixed,3.75,0.37
electricity,solar,PV,2005,OM-fixed,8.93,0.2
electricity,solar,CSP,2005,OM-fixed,16.62,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-fixed,46.77,0.2
electricity,wind,wind,2010,OM-fixed,15.49,0.37
electricity,solar,PV,2010,OM-fixed,12.39,0.2
electricity,solar,CSP,2010,OM-fixed,17.04,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-fixed,18.59,0.2
electricity,wind,wind,2015,OM-fixed,15.49,0.37
electricity,solar,PV,2015,OM-fixed,12.39,0.2
electricity,solar,CSP,2015,OM-fixed,17.04,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-fixed,18.59,0.2
electricity,wind,wind,2020,OM-fixed,14.83,0.37
electricity,solar,PV,2020,OM-fixed,11.87,0.2
electricity,solar,CSP,2020,OM-fixed,15.5,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,17.8,0.2
electricity,wind,wind,2025,OM-fixed,14.27,0.37
electricity,solar,PV,2025,OM-fixed,11.42,0.2
electricity,solar,CSP,2025,OM-fixed,14.31,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,17.13,0.2
electricity,wind,wind,2030,OM-fixed,13.79,0.37
electricity,solar,PV,2030,OM-fixed,11.03,0.2
electricity,solar,CSP,2030,OM-fixed,13.38,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,16.54,0.2
electricity,wind,wind,2035,OM-fixed,13.37,0.37
electricity,solar,PV,2035,OM-fixed,10.7,0.2
electricity,solar,CSP,2035,OM-fixed,12.67,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,16.05,0.2
electricity,wind,wind,2040,OM-fixed,13.01,0.37
electricity,solar,PV,2040,OM-fixed,10.41,0.2
electricity,solar,CSP,2040,OM-fixed,12.12,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,15.62,0.2
electricity,wind,wind,2045,OM-fixed,12.71,0.37
electricity,solar,PV,2045,OM-fixed,10.17,0.2
electricity,solar,CSP,2045,OM-fixed,11.69,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,15.25,0.2
electricity,wind,wind,2050,OM-fixed,12.44,0.37
electricity,solar,PV,2050,OM-fixed,9.96,0.2
electricity,solar,CSP,2050,OM-fixed,11.36,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,14.93,0.2
electricity,wind,wind,2055,OM-fixed,12.22,0.37
electricity,solar,PV,2055,OM-fixed,9.77,0.2
electricity,solar,CSP,2055,OM-fixed,11.1,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,14.66,0.2
electricity,wind,wind,2060,OM-fixed,12.02,0.37
electricity,solar,PV,2060,OM-fixed,9.62,0.2
electricity,solar,CSP,2060,OM-fixed,10.9,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,14.43,0.2
electricity,wind,wind,2065,OM-fixed,11.86,0.37
electricity,solar,PV,2065,OM-fixed,9.49,0.2
electricity,solar,CSP,2065,OM-fixed,10.75,0.25
