# ../gcam-usa-data/level1//L143.share_state_Pop_HDD_sR13.csv
# Written by LA143.HDDCDD.R
# Mon Sep  4 08:00:34 2017
# " State-level share of person heating degree days within subregion13 "
# " Unitless "
"state","subregion13","variable","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"AK","Pacific","HDD",0.110627494515851,0.112550123059179,0.113061334707392,0.114227014299975,0.122390270782355,0.12669923554968,0.124197682716724,0.12092952517442,0.116741466444903,0.113611710578236,0.113498940856295,0.118142512093019,0.124613444055894,0.127076511749309,0.127932945896891,0.132484288385731,0.133094300280024,0.134622458745889,0.136706785480579,0.138086503456568,0.139938675879402,0.142038242127181,0.142704790093443,0.142580212092776,0.141792610752713,0.13675020729446,0.131936102178948,0.128075185213176,0.124284638583931,0.119492301276209,0.119043579871019,0.11908205184809,0.118990432325552,0.119548189654064,0.119303556860128,0.118659991525077,0.117812968376541,0.117262383081053,0.117529727260096,0.118692667053669
"AL","Central-SE","HDD",0.204854846310911,0.204190518493788,0.203985152706342,0.203773658445198,0.20383306770923,0.204129641987208,0.204186043945843,0.204852457959475,0.204771542266139,0.205368901077026,0.205770161771102,0.205658908617515,0.205815026016466,0.206327698445734,0.206975850708001,0.204578161682864,0.201806400447324,0.198177748417461,0.194171448618221,0.189739113988174,0.192573088458457,0.194860655834707,0.197140685387855,0.198700830754462,0.199705355044819,0.197069658489614,0.194386585393715,0.191663905000002,0.188299092144569,0.183292682882498,0.182371321685601,0.181330465584038,0.180466457339849,0.179505298233023,0.178641744709696,0.178328372653173,0.177489643747947,0.17695136635517,0.1770867657333,0.176900567697745
"AR","Central-SW","HDD",0.303771491339813,0.305586030436171,0.307374371753039,0.309091854351153,0.31163170062548,0.308871411646451,0.309363215869079,0.309388673954335,0.308099404365544,0.306006118446173,0.30044673893884,0.293096898239233,0.288392448516654,0.288116796363382,0.287582068654326,0.290633582532897,0.296435117992108,0.301539629957361,0.305794011102666,0.310111735380922,0.309299982951139,0.308228564103147,0.308603896349648,0.308937623666566,0.309434853664066,0.310351134687522,0.310704420770138,0.310607393565402,0.310718938788617,0.315420017047312,0.31613699673081,0.316362153128873,0.317148611857702,0.318099862222659,0.319519379358625,0.324904255827947,0.324474623988558,0.324407493252385,0.323254292172715,0.322545194739779
"AZ","Mountain","HDD",0.089820498961393,0.0919200119932824,0.0942338214867875,0.0961475218497306,0.0964314669032511,0.0940716827983365,0.0918538490918345,0.0896547572591766,0.0879231792567837,0.0858303582536013,0.0871151419820836,0.0883635924283865,0.0899209733075012,0.0925462080045499,0.0957680940782067,0.0997994473675424,0.104264735201049,0.108002929399513,0.111036283102689,0.112800034529012,0.109322407637754,0.105900333707186,0.102605397425989,0.0997123542259421,0.0970065763998368,0.10278997750394,0.108371590446731,0.113908537368344,0.119201441736093,0.125856056273017,0.126242305262248,0.126980152309243,0.127780411820884,0.128757734762271,0.130334572236858,0.131414793259953,0.131571294849657,0.13152557191575,0.130824219725129,0.130531221998978
"CA","California","HDD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Mountain","HDD",0.32740357716045,0.330172308439411,0.332120204628959,0.329720033293498,0.327441223887524,0.3265527133022,0.326533947437001,0.326684643220068,0.327057702678601,0.327114486115304,0.325144694787235,0.32422166932142,0.323483813752753,0.321054653840385,0.319286216895454,0.320071574018234,0.32110470868357,0.320474293003381,0.319750601155612,0.319344811971176,0.322106121986841,0.326364247831883,0.330563511785156,0.333765267262515,0.337383753107109,0.332203590136384,0.327725855389195,0.323900401552514,0.320873899565555,0.318308632180692,0.319617578104812,0.318800549154789,0.316882958094005,0.314498916469717,0.312038955308518,0.310566031115504,0.309359631328864,0.309166959998585,0.309609105847153,0.31023972662192
"CT","New England","HDD",0.220558821282968,0.219256293199319,0.217964498914718,0.218053127646779,0.218134533794111,0.218342388589021,0.218260529350936,0.218533355269478,0.218764505838235,0.219786774978916,0.218086316182641,0.216530950462991,0.21509823159337,0.212846036730492,0.210801517600513,0.210354928217556,0.209489746436473,0.208396294085526,0.207040112482478,0.206279561504125,0.208415299370525,0.209490328719989,0.210546473987037,0.211450921074306,0.212153752991517,0.209869461033388,0.207430999109426,0.205021900943302,0.202528841439533,0.201694449448974,0.201377985423611,0.201485476082951,0.201870988264362,0.201933768503858,0.202150713800166,0.2020875068401,0.201961011646779,0.201979837315236,0.202086825570147,0.202264346797448
"DC","Atlantic-S","HDD",0.035057324962244,0.0341569943530853,0.0332361363083318,0.0322448927465239,0.0313768453655758,0.0303346740320689,0.0292729660433609,0.0283878692791609,0.0274506993825273,0.0267130960124552,0.0262948017866121,0.0259707201929587,0.0256600164445337,0.0253956038333025,0.0251484760493121,0.025206407277455,0.0250505704650627,0.0247404865698025,0.0244956820873402,0.023709908253455,0.0227199727732117,0.0218360213676035,0.0210487258179296,0.020187636430121,0.0192948730608984,0.0187011990797849,0.018233790755287,0.0178671179281681,0.0176694293211947,0.0188362920880715,0.0187608081578391,0.0185732553806793,0.018309686114745,0.0181306688954186,0.01795538432963,0.0178627439415755,0.0178157728020965,0.0178479769574096,0.0180101607540368,0.0181906737160338
"DE","Atlantic-S","HDD",0.0284750540581362,0.0284328018308536,0.0283104203914572,0.0281613388351882,0.0280801420747567,0.0277651398167361,0.0273515466029795,0.0270363989339883,0.026656254692269,0.026290409722772,0.0260316069011387,0.025982395753077,0.026038418616043,0.0260173023037377,0.0260266700969512,0.0264060638449444,0.0267793999614796,0.0272630227404126,0.0278147705447229,0.0283968543080954,0.0282397598099877,0.0280173325702159,0.0278021995224001,0.0276035517572914,0.0274648703884106,0.0275041745388849,0.0274943708983511,0.0275414796594304,0.027584384533904,0.0276974156928669,0.0278647630173041,0.0280863179138878,0.0283969036466984,0.028670562808952,0.0289900132802201,0.0292158421099237,0.0294473952248429,0.0296880363996376,0.0296120735334501,0.029568143805037
"FL","Florida","HDD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GA","Atlantic-S","HDD",0.143734040142815,0.144405993594187,0.145569162158412,0.14650065733963,0.146663054980623,0.147485655737546,0.148658719437505,0.149612560112602,0.151614410123436,0.152569120878497,0.15400094220995,0.155602035497416,0.156949308095997,0.158669109012604,0.160990612646918,0.159665052491231,0.157902945611526,0.155612942799934,0.15291813641749,0.14983258397311,0.153850077222331,0.158014153196463,0.161817422021098,0.165854656764592,0.169515074047503,0.169193853672532,0.168744887030274,0.16800454716535,0.166819121403344,0.166539195221442,0.166633658134023,0.166387736608158,0.166015847642237,0.165800104239959,0.165681305708569,0.166354755266195,0.166638970864597,0.166273965826546,0.166393707015547,0.166232581892839
