#INPUT_TABLE
#Variable ID
#PrimaryRenewKeywordInt
#
sector.name,subsector.name,intermittent.technology,year,primary.renewable
electricity,wind,wind,1975,wind-elect
electricity,solar,PV,1975,solar-elect
electricity,solar,CSP,1975,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,1975,solar-elect
electricity,wind,wind,1990,wind-elect
electricity,solar,PV,1990,solar-elect
electricity,solar,CSP,1990,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,1990,solar-elect
electricity,wind,wind,2005,wind-elect
electricity,solar,PV,2005,solar-elect
electricity,solar,CSP,2005,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2005,solar-elect
electricity,wind,wind,2010,wind-elect
electricity,solar,PV,2010,solar-elect
electricity,solar,CSP,2010,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2010,solar-elect
electricity,wind,wind,2015,wind-elect
electricity,solar,PV,2015,solar-elect
electricity,solar,CSP,2015,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2015,solar-elect
electricity,wind,wind,2020,wind-elect
electricity,solar,PV,2020,solar-elect
electricity,solar,CSP,2020,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2020,solar-elect
electricity,wind,wind,2025,wind-elect
electricity,solar,PV,2025,solar-elect
electricity,solar,CSP,2025,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2025,solar-elect
electricity,wind,wind,2030,wind-elect
electricity,solar,PV,2030,solar-elect
electricity,solar,CSP,2030,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2030,solar-elect
electricity,wind,wind,2035,wind-elect
electricity,solar,PV,2035,solar-elect
electricity,solar,CSP,2035,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2035,solar-elect
electricity,wind,wind,2040,wind-elect
electricity,solar,PV,2040,solar-elect
electricity,solar,CSP,2040,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2040,solar-elect
electricity,wind,wind,2045,wind-elect
electricity,solar,PV,2045,solar-elect
electricity,solar,CSP,2045,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2045,solar-elect
electricity,wind,wind,2050,wind-elect
electricity,solar,PV,2050,solar-elect
electricity,solar,CSP,2050,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2050,solar-elect
electricity,wind,wind,2055,wind-elect
electricity,solar,PV,2055,solar-elect
electricity,solar,CSP,2055,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2055,solar-elect
electricity,wind,wind,2060,wind-elect
electricity,solar,PV,2060,solar-elect
electricity,solar,CSP,2060,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2060,solar-elect
electricity,wind,wind,2065,wind-elect
electricity,solar,PV,2065,solar-elect
electricity,solar,CSP,2065,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2065,solar-elect
electricity,wind,wind,2070,wind-elect
electricity,solar,PV,2070,solar-elect
electricity,solar,CSP,2070,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2070,solar-elect
electricity,wind,wind,2075,wind-elect
electricity,solar,PV,2075,solar-elect
electricity,solar,CSP,2075,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2075,solar-elect
electricity,wind,wind,2080,wind-elect
electricity,solar,PV,2080,solar-elect
electricity,solar,CSP,2080,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2080,solar-elect
electricity,wind,wind,2085,wind-elect
electricity,solar,PV,2085,solar-elect
electricity,solar,CSP,2085,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2085,solar-elect
electricity,wind,wind,2090,wind-elect
electricity,solar,PV,2090,solar-elect
electricity,solar,CSP,2090,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2090,solar-elect
electricity,wind,wind,2095,wind-elect
electricity,solar,PV,2095,solar-elect
electricity,solar,CSP,2095,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2095,solar-elect
electricity,wind,wind,2100,wind-elect
electricity,solar,PV,2100,solar-elect
electricity,solar,CSP,2100,solar-elect
elect_td_bld,rooftop_pv,rooftop_pv,2100,solar-elect
