# ../water-data/level1//L133.water_demand_livestock_R_C_W_km3_Mt.csv
# Written by L133.water.demand.livestock.R
# Thu Apr 13 09:48:37 2017
# " Livestock water coefficients by region ID / GCAM_commodity/ water type "
# " Unit = m^3 / Mt "
"GCAM_region_ID","GCAM_commodity","water_type","coefficient"
1,"Beef","water consumption",0.091778589370333
1,"Dairy","water consumption",0.00297477219258922
1,"OtherMeat_Fish","water consumption",0.00758444054566354
1,"Pork","water consumption",0.113920428753699
1,"Poultry","water consumption",0.00989549456917427
1,"SheepGoat","water consumption",0.228718325623527
10,"Beef","water consumption",0.126091932231184
10,"Dairy","water consumption",0.0258474930828184
10,"OtherMeat_Fish","water consumption",0.164263713885039
10,"Pork","water consumption",0.126374092409624
10,"Poultry","water consumption",0.0189208825670882
10,"SheepGoat","water consumption",0.339540811605798
11,"Beef","water consumption",0.263141103493591
11,"Dairy","water consumption",0.0851715528520641
11,"OtherMeat_Fish","water consumption",0.00927940854826046
11,"Pork","water consumption",0.156843451064721
11,"Poultry","water consumption",0.0127208416141441
11,"SheepGoat","water consumption",0.213667851740521
12,"Beef","water consumption",0.104287743210038
12,"Dairy","water consumption",0.0133204848950789
12,"OtherMeat_Fish","water consumption",0.0160677329374607
12,"Pork","water consumption",0.150985149606269
12,"Poultry","water consumption",0.0070934053313455
12,"SheepGoat","water consumption",0.121417646924425
13,"Beef","water consumption",0.105838386441421
13,"Dairy","water consumption",0.00870935744255863
13,"OtherMeat_Fish","water consumption",0.003383985054971
13,"Pork","water consumption",0.112524599138303
13,"Poultry","water consumption",0.00773761455456212
13,"SheepGoat","water consumption",0.238046646789608
14,"Beef","water consumption",0.102841270047484
14,"Dairy","water consumption",0.0114207348761271
14,"OtherMeat_Fish","water consumption",0.0184549878567727
14,"Pork","water consumption",0.219612867161373
14,"Poultry","water consumption",0.0158495983944086
14,"SheepGoat","water consumption",0.162848825057315
15,"Beef","water consumption",0.147861067145025
15,"Dairy","water consumption",0.0518181040114676
15,"OtherMeat_Fish","water consumption",0.0236452393860842
15,"Pork","water consumption",0.139129610023996
15,"Poultry","water consumption",0.0160549279347338
15,"SheepGoat","water consumption",0.137771036334932
16,"Beef","water consumption",0.0873894521289005
16,"Dairy","water consumption",0.00456135765319231
16,"OtherMeat_Fish","water consumption",0.000517938431752731
16,"Pork","water consumption",0.1094678618575
16,"Poultry","water consumption",0.00573675177706351
16,"SheepGoat","water consumption",0.245909825417994
17,"Beef","water consumption",1.23693178746613
17,"Dairy","water consumption",0.0267183992963237
17,"OtherMeat_Fish","water consumption",0.00704728219437127
17,"Pork","water consumption",0.472788935138685
17,"Poultry","water consumption",0.0141107266763226
17,"SheepGoat","water consumption",0.522066297769177
18,"Beef","water consumption",0.443089481288692
18,"Dairy","water consumption",0.261518601212712
18,"OtherMeat_Fish","water consumption",0.00160670766558282
18,"Pork","water consumption",0.209603579295404
18,"Poultry","water consumption",0.0562143306868813
18,"SheepGoat","water consumption",0.305020604760089
19,"Beef","water consumption",0.0805216010066411
19,"Dairy","water consumption",0.0034718957518243
19,"OtherMeat_Fish","water consumption",6.92986935818777e-05
19,"Pork","water consumption",0.127786611539203
19,"Poultry","water consumption",0.00776836618760123
19,"SheepGoat","water consumption",0.366531079501169
2,"Beef","water consumption",1.30143304827743
2,"Dairy","water consumption",0.194878794066319
2,"OtherMeat_Fish","water consumption",0.216701728909287
2,"Pork","water consumption",0.393185299929572
2,"Poultry","water consumption",0.0438809140535357
2,"SheepGoat","water consumption",0.668005418679053
20,"Beef","water consumption",0.252125626006597
20,"Dairy","water consumption",0.00702465863319193
20,"OtherMeat_Fish","water consumption",0.114432906012482
20,"Pork","water consumption",0.255608554262084
20,"Poultry","water consumption",0.00998379948455201
20,"SheepGoat","water consumption",0.461280754145988
21,"Beef","water consumption",0.197030642108415
21,"Dairy","water consumption",0.132557015025394
21,"OtherMeat_Fish","water consumption",0.0533920694462292
