region,supplysector,subsector,stub.technology,year,Non.CO2,input.emissions
USA,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.024467819
USA,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.030287719
USA,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.08221562
USA,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,5.49E-05
USA,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
USA,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
USA,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.026100197
USA,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0
USA,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.198801883
USA,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.246088775
USA,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.296891019
USA,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.000445871
USA,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
USA,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
USA,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.039064608
USA,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0
USA,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.073823078
USA,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.01056
USA,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
USA,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,9.69E-05
USA,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.113281782
USA,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.016204147
USA,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
USA,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,0.00014725
USA,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,4.99E-05
USA,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,6.18E-05
USA,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.001006277
USA,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,1.12E-07
USA,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
USA,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
USA,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.001680627
USA,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0
Africa_Eastern,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.000237867
Africa_Eastern,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002398915
Africa_Eastern,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.009908142
Africa_Eastern,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000665932
Africa_Eastern,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Eastern,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Eastern,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.043228857
Africa_Eastern,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.002275203
Africa_Eastern,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.004117911
Africa_Eastern,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.041529543
Africa_Eastern,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.099104949
Africa_Eastern,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.007716749
Africa_Eastern,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Eastern,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Eastern,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.144845695
Africa_Eastern,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.007623458
Africa_Eastern,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.00154242
Africa_Eastern,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001142529
Africa_Eastern,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Eastern,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,3.35E-06
Africa_Eastern,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.015443785
Africa_Eastern,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.007454696
Africa_Eastern,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Eastern,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,3.90E-05
Africa_Eastern,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,4.16E-05
Africa_Eastern,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.000419625
Africa_Eastern,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.007856984
Africa_Eastern,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,0.000925294
Africa_Eastern,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Eastern,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Eastern,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.011971474
Africa_Eastern,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0.001330164
Africa_Northern,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.000860266
Africa_Northern,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.003588569
Africa_Northern,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.002603674
Africa_Northern,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000386561
Africa_Northern,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Northern,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Northern,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.001499085
Africa_Northern,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,7.89E-05
Africa_Northern,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.009550591
Africa_Northern,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.039300739
Africa_Northern,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.019967788
Africa_Northern,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.003791021
Africa_Northern,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Northern,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Northern,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.001086018
Africa_Northern,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,5.72E-05
Africa_Northern,Pork,Mixed,FeedCrops,1975,NH3_AGR,4.18E-05
Africa_Northern,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,2.78E-05
Africa_Northern,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Northern,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,0
Africa_Northern,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.006175311
Africa_Northern,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002071307
Africa_Northern,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Northern,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,3.86E-05
Africa_Northern,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,0.000372404
Africa_Northern,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001515953
Africa_Northern,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.002652392
Africa_Northern,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,0.000511426
Africa_Northern,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Northern,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Northern,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.000209274
Africa_Northern,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,2.33E-05
Africa_Southern,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.000688859
Africa_Southern,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001869612
Africa_Southern,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.004422073
Africa_Southern,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000389577
Africa_Southern,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0.000185102
Africa_Southern,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0.000502379
Africa_Southern,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.025646268
Africa_Southern,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.001391947
Africa_Southern,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.002294088
Africa_Southern,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.006226315
Africa_Southern,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.007731518
Africa_Southern,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.000929229
Africa_Southern,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0.000593348
Africa_Southern,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0.001610387
Africa_Southern,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.082209685
Africa_Southern,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.004461916
Africa_Southern,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.00276691
Africa_Southern,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001856274
Africa_Southern,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Southern,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,1.75E-05
Africa_Southern,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.009618633
Africa_Southern,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.003222904
Africa_Southern,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Southern,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,5.01E-05
Africa_Southern,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,2.59E-06
Africa_Southern,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,7.03E-06
Africa_Southern,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,7.76E-05
Africa_Southern,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,9.78E-06
Africa_Southern,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Southern,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Southern,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.005046678
Africa_Southern,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0.000560742
Africa_Western,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.000435029
Africa_Western,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.00536883
Africa_Western,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.009956079
Africa_Western,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000833527
Africa_Western,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Western,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Western,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.029275613
Africa_Western,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.001540822
Africa_Western,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.002231059
Africa_Western,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.027534235
Africa_Western,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.026806552
Africa_Western,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.00299827
Africa_Western,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Western,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Western,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.073504046
Africa_Western,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.003868634
Africa_Western,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.004763407
Africa_Western,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.003181521
Africa_Western,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Western,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,8.87E-06
Africa_Western,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.026150199
Africa_Western,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.008722629
Africa_Western,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Africa_Western,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,1.77E-05
Africa_Western,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,2.92E-05
Africa_Western,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.000359871
Africa_Western,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.006617906
Africa_Western,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,0.000778836
Africa_Western,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Africa_Western,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Africa_Western,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.010083524
Africa_Western,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0.001120392
Australia_NZ,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.00011812
Australia_NZ,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.003228982
Australia_NZ,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.010143542
Australia_NZ,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,3.41E-05
Australia_NZ,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0.000141743
Australia_NZ,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0.003874779
Australia_NZ,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.036516751
Australia_NZ,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,4.09E-05
Australia_NZ,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.000454846
Australia_NZ,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.01243393
Australia_NZ,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.019530007
Australia_NZ,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.000131229
Australia_NZ,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0.001023404
Australia_NZ,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0.027976342
Australia_NZ,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.263655092
Australia_NZ,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.000295265
Australia_NZ,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.003342614
Australia_NZ,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002344269
Australia_NZ,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Australia_NZ,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,0.000173789
Australia_NZ,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.008606695
Australia_NZ,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002987207
Australia_NZ,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Australia_NZ,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,0.000354926
Australia_NZ,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,1.44E-05
Australia_NZ,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.000392378
Australia_NZ,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.00328698
Australia_NZ,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,0.000415014
Australia_NZ,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Australia_NZ,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Australia_NZ,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.020954495
Australia_NZ,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0.002328277
Brazil,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.002753019
Brazil,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.006361831
Brazil,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.017559752
Brazil,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.001421001
Brazil,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Brazil,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Brazil,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.070366714
Brazil,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.003703511
Brazil,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.0405259
Brazil,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.100623769
Brazil,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.127265074
Brazil,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.014396532
Brazil,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Brazil,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Brazil,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.144668844
Brazil,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.00761415
Brazil,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.032884388
Brazil,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001733414
Brazil,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Brazil,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,5.05E-05
Brazil,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.046767322
Brazil,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002464911
Brazil,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Brazil,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,6.60E-05
Brazil,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,1.19E-05
Brazil,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,2.96E-05
Brazil,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.000748823
Brazil,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,4.17E-05
Brazil,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Brazil,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Brazil,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.001844323
Brazil,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,9.71E-05
Canada,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.003094348
Canada,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002785834
Canada,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.008842139
Canada,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,1.46E-05
Canada,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Canada,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Canada,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.002807028
Canada,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0
Canada,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.038453879
Canada,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.034619929
Canada,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.048836648
Canada,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.000181163
Canada,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Canada,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Canada,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.006425875
Canada,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0
Canada,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.010128345
Canada,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001450733
Canada,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Canada,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,2.68E-05
Canada,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.011092346
Canada,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001588841
Canada,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Canada,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,2.95E-05
Canada,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,2.56E-06
Canada,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,2.30E-06
Canada,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,4.39E-05
Canada,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,1.21E-08
Canada,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Canada,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Canada,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,7.33E-05
Canada,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,0
Central America and Caribbean,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.000508869
Central America and Caribbean,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.001578826
Central America and Caribbean,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.005855861
Central America and Caribbean,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000421959
Central America and Caribbean,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Central America and Caribbean,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Central America and Caribbean,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.008783792
Central America and Caribbean,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.000462305
Central America and Caribbean,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.00886647
Central America and Caribbean,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.027509258
Central America and Caribbean,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.032795919
Central America and Caribbean,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.003708174
Central America and Caribbean,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Central America and Caribbean,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Central America and Caribbean,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.017308957
Central America and Caribbean,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.000910998
Central America and Caribbean,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.00176202
Central America and Caribbean,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.004131372
Central America and Caribbean,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Central America and Caribbean,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,8.57E-06
Central America and Caribbean,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.004453957
Central America and Caribbean,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.010449145
Central America and Caribbean,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Central America and Caribbean,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,2.42E-05
Central America and Caribbean,SheepGoat,Mixed,FeedCrops,1975,NH3_AGR,1.52E-06
Central America and Caribbean,SheepGoat,Mixed,FodderHerb_Residue,1975,NH3_AGR,4.72E-06
Central America and Caribbean,SheepGoat,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.000112612
Central America and Caribbean,SheepGoat,Mixed,Scavenging_Other,1975,NH3_AGR,6.27E-06
Central America and Caribbean,SheepGoat,Pastoral,FeedCrops,1975,NH3_AGR,0
Central America and Caribbean,SheepGoat,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Central America and Caribbean,SheepGoat,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.00027736
Central America and Caribbean,SheepGoat,Pastoral,Scavenging_Other,1975,NH3_AGR,1.46E-05
Central Asia,Beef,Mixed,FeedCrops,1975,NH3_AGR,0.002748302
Central Asia,Beef,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002985775
Central Asia,Beef,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.00446766
Central Asia,Beef,Mixed,Scavenging_Other,1975,NH3_AGR,0.000445544
Central Asia,Beef,Pastoral,FeedCrops,1975,NH3_AGR,0
Central Asia,Beef,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Central Asia,Beef,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.013959613
Central Asia,Beef,Pastoral,Scavenging_Other,1975,NH3_AGR,0.000734717
Central Asia,Dairy,Mixed,FeedCrops,1975,NH3_AGR,0.068395216
Central Asia,Dairy,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.069397966
Central Asia,Dairy,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0.067984665
Central Asia,Dairy,Mixed,Scavenging_Other,1975,NH3_AGR,0.009758088
Central Asia,Dairy,Pastoral,FeedCrops,1975,NH3_AGR,0
Central Asia,Dairy,Pastoral,FodderHerb_Residue,1975,NH3_AGR,0
Central Asia,Dairy,Pastoral,Pasture_FodderGrass,1975,NH3_AGR,0.074047583
Central Asia,Dairy,Pastoral,Scavenging_Other,1975,NH3_AGR,0.003897241
Central Asia,Pork,Mixed,FeedCrops,1975,NH3_AGR,0.005144639
Central Asia,Pork,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.003470418
Central Asia,Pork,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Central Asia,Pork,Mixed,Scavenging_Other,1975,NH3_AGR,5.46E-05
Central Asia,Poultry,Mixed,FeedCrops,1975,NH3_AGR,0.008796605
Central Asia,Poultry,Mixed,FodderHerb_Residue,1975,NH3_AGR,0.002964532
Central Asia,Poultry,Mixed,Pasture_FodderGrass,1975,NH3_AGR,0
Central Asia,Poultry,Mixed,Scavenging_Other,1975,NH3_AGR,7.42E-05
