# File: L121.in_EJ_R_unoil_F_Yh.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Energy inputs to unconventional oil production by GCAM region / fuel / historical year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: EJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: Written by LA121.oil.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCAM_region_ID,sector,fuel,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010
8,unconventional oil production,gas,0,0,0,0,0,0,0,0,0,0,0.011085425,0.02217085,0.033256275,0.044341701,0.055427126,0.063741195,0.072055264,0.080369332,0.088683401,0.09699747,0.10143164,0.10586581,0.11029998,0.11473415,0.11916832,0.129145203,0.139122086,0.149098968,0.159075851,0.169052734,0.196212025,0.223371317,0.250530609,0.2776899,0.304849192,0.32147733,0.338105467,0.354733605,0.371361743,0.387989881
25,unconventional oil production,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011085425,0.02217085,0.033256275,0.044341701,0.055427126,0.077597976,0.099768826,0.121939677,0.144110527,0.166281377,0.166281377,0.166281377,0.166281377,0.166281377,0.166281377
8,unconventional oil production,unconventional oil,0,0,0,0,0,0,0,0,0,0,0.08939859,0.17879718,0.26819577,0.35759436,0.44699295,0.514041893,0.581090835,0.648139778,0.71518872,0.782237663,0.817997099,0.853756535,0.889515971,0.925275407,0.961034843,1.041493574,1.121952305,1.202411036,1.282869767,1.363328498,1.582355043,1.801381589,2.020408134,2.23943468,2.458461225,2.59255911,2.726656995,2.86075488,2.994852765,3.12895065
25,unconventional oil production,unconventional oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08939859,0.17879718,0.26819577,0.35759436,0.44699295,0.62579013,0.80458731,0.98338449,1.16218167,1.34097885,1.34097885,1.34097885,1.34097885,1.34097885,1.34097885
