#INPUT_TABLE
#Variable ID
#GlobalTechLifetime
#
sector.name,subsector.name,technology,year,lifetime
electricity,geothermal,geothermal,2010,30
electricity,coal,coal (conv pul),2015,60
electricity,coal,coal (conv pul CCS),2015,60
electricity,coal,coal (IGCC),2015,60
electricity,coal,coal (IGCC CCS),2015,60
electricity,gas,gas (steam/CT),2015,45
electricity,gas,gas (CC),2015,45
electricity,gas,gas (CC CCS),2015,45
electricity,refined liquids,refined liquids (steam/CT),2015,45
electricity,refined liquids,refined liquids (CC),2015,45
electricity,refined liquids,refined liquids (CC CCS),2015,45
electricity,biomass,biomass (conv),2015,60
electricity,biomass,biomass (conv CCS),2015,60
electricity,biomass,biomass (IGCC),2015,60
electricity,biomass,biomass (IGCC CCS),2015,60
electricity,nuclear,Gen_III,2015,60
electricity,wind,wind_storage,2015,30
electricity,solar,PV_storage,2015,30
electricity,solar,CSP_storage,2015,30
electricity,geothermal,geothermal,2015,30
electricity,coal,coal (conv pul),2020,60
electricity,coal,coal (conv pul CCS),2020,60
electricity,coal,coal (IGCC),2020,60
electricity,coal,coal (IGCC CCS),2020,60
electricity,gas,gas (steam/CT),2020,45
electricity,gas,gas (CC),2020,45
electricity,gas,gas (CC CCS),2020,45
electricity,refined liquids,refined liquids (steam/CT),2020,45
electricity,refined liquids,refined liquids (CC),2020,45
electricity,refined liquids,refined liquids (CC CCS),2020,45
electricity,biomass,biomass (conv),2020,60
electricity,biomass,biomass (conv CCS),2020,60
electricity,biomass,biomass (IGCC),2020,60
electricity,biomass,biomass (IGCC CCS),2020,60
electricity,nuclear,Gen_III,2020,60
electricity,wind,wind_storage,2020,30
electricity,solar,PV_storage,2020,30
electricity,solar,CSP_storage,2020,30
electricity,geothermal,geothermal,2020,30
electricity,coal,coal (conv pul),2025,60
electricity,coal,coal (conv pul CCS),2025,60
electricity,coal,coal (IGCC),2025,60
electricity,coal,coal (IGCC CCS),2025,60
electricity,gas,gas (steam/CT),2025,45
electricity,gas,gas (CC),2025,45
electricity,gas,gas (CC CCS),2025,45
electricity,refined liquids,refined liquids (steam/CT),2025,45
electricity,refined liquids,refined liquids (CC),2025,45
electricity,refined liquids,refined liquids (CC CCS),2025,45
electricity,biomass,biomass (conv),2025,60
electricity,biomass,biomass (conv CCS),2025,60
electricity,biomass,biomass (IGCC),2025,60
electricity,biomass,biomass (IGCC CCS),2025,60
electricity,nuclear,Gen_III,2025,60
electricity,wind,wind_storage,2025,30
electricity,solar,PV_storage,2025,30
electricity,solar,CSP_storage,2025,30
electricity,geothermal,geothermal,2025,30
electricity,coal,coal (conv pul),2030,60
electricity,coal,coal (conv pul CCS),2030,60
electricity,coal,coal (IGCC),2030,60
electricity,coal,coal (IGCC CCS),2030,60
electricity,gas,gas (steam/CT),2030,45
electricity,gas,gas (CC),2030,45
electricity,gas,gas (CC CCS),2030,45
electricity,refined liquids,refined liquids (steam/CT),2030,45
electricity,refined liquids,refined liquids (CC),2030,45
electricity,refined liquids,refined liquids (CC CCS),2030,45
electricity,biomass,biomass (conv),2030,60
electricity,biomass,biomass (conv CCS),2030,60
electricity,biomass,biomass (IGCC),2030,60
electricity,biomass,biomass (IGCC CCS),2030,60
electricity,nuclear,Gen_III,2030,60
electricity,wind,wind_storage,2030,30
electricity,solar,PV_storage,2030,30
electricity,solar,CSP_storage,2030,30
electricity,geothermal,geothermal,2030,30
electricity,coal,coal (conv pul),2035,60
electricity,coal,coal (conv pul CCS),2035,60
electricity,coal,coal (IGCC),2035,60
electricity,coal,coal (IGCC CCS),2035,60
electricity,gas,gas (steam/CT),2035,45
electricity,gas,gas (CC),2035,45
electricity,gas,gas (CC CCS),2035,45
electricity,refined liquids,refined liquids (steam/CT),2035,45
electricity,refined liquids,refined liquids (CC),2035,45
electricity,refined liquids,refined liquids (CC CCS),2035,45
electricity,biomass,biomass (conv),2035,60
electricity,biomass,biomass (conv CCS),2035,60
electricity,biomass,biomass (IGCC),2035,60
electricity,biomass,biomass (IGCC CCS),2035,60
electricity,nuclear,Gen_III,2035,60
electricity,wind,wind_storage,2035,30
electricity,solar,PV_storage,2035,30
electricity,solar,CSP_storage,2035,30
electricity,geothermal,geothermal,2035,30
electricity,coal,coal (conv pul),2040,60
electricity,coal,coal (conv pul CCS),2040,60
electricity,coal,coal (IGCC),2040,60
electricity,coal,coal (IGCC CCS),2040,60
electricity,gas,gas (steam/CT),2040,45
electricity,gas,gas (CC),2040,45
electricity,gas,gas (CC CCS),2040,45
electricity,refined liquids,refined liquids (steam/CT),2040,45
electricity,refined liquids,refined liquids (CC),2040,45
electricity,refined liquids,refined liquids (CC CCS),2040,45
electricity,biomass,biomass (conv),2040,60
electricity,biomass,biomass (conv CCS),2040,60
electricity,biomass,biomass (IGCC),2040,60
electricity,biomass,biomass (IGCC CCS),2040,60
electricity,nuclear,Gen_III,2040,60
electricity,wind,wind_storage,2040,30
electricity,solar,PV_storage,2040,30
electricity,solar,CSP_storage,2040,30
electricity,geothermal,geothermal,2040,30
electricity,coal,coal (conv pul),2045,60
electricity,coal,coal (conv pul CCS),2045,60
electricity,coal,coal (IGCC),2045,60
electricity,coal,coal (IGCC CCS),2045,60
electricity,gas,gas (steam/CT),2045,45
electricity,gas,gas (CC),2045,45
electricity,gas,gas (CC CCS),2045,45
electricity,refined liquids,refined liquids (steam/CT),2045,45
electricity,refined liquids,refined liquids (CC),2045,45
electricity,refined liquids,refined liquids (CC CCS),2045,45
electricity,biomass,biomass (conv),2045,60
