#INPUT_TABLE
#Variable ID
#SubsectorShrwtFllt
#
region,supplysector,subsector,year.fillout,share.weight
USA,electricity,coal,1975,1
USA,electricity,gas,1975,1
USA,electricity,biomass,2100,1
USA,electricity,nuclear,1975,0
USA,electricity,hydro,1975,0
USA,electricity,wind,2100,1
USA,electricity,solar,2100,1
USA,electricity,geothermal,2100,1
USA,elect_td_bld,rooftop_pv,1975,0
USA,elect_td_bld,rooftop_pv,2100,1
Africa_Eastern,electricity,coal,1975,1
Africa_Eastern,electricity,gas,1975,1
Africa_Eastern,electricity,biomass,2100,1
Africa_Eastern,electricity,nuclear,1975,0
Africa_Eastern,electricity,hydro,1975,0
Africa_Eastern,electricity,wind,2100,1
Africa_Eastern,electricity,solar,2100,1
Africa_Eastern,electricity,geothermal,2100,1
Africa_Eastern,elect_td_bld,rooftop_pv,1975,0
Africa_Eastern,elect_td_bld,rooftop_pv,2100,1
Africa_Northern,electricity,coal,1975,1
Africa_Northern,electricity,gas,1975,1
Africa_Northern,electricity,biomass,2100,1
Africa_Northern,electricity,nuclear,1975,0
Africa_Northern,electricity,hydro,1975,0
Africa_Northern,electricity,wind,2100,1
Africa_Northern,electricity,solar,2100,1
Africa_Northern,electricity,geothermal,2100,1
Africa_Northern,elect_td_bld,rooftop_pv,1975,0
Africa_Northern,elect_td_bld,rooftop_pv,2100,1
Africa_Southern,electricity,coal,1975,1
Africa_Southern,electricity,gas,1975,1
Africa_Southern,electricity,biomass,2100,1
Africa_Southern,electricity,nuclear,1975,0
Africa_Southern,electricity,hydro,1975,0
Africa_Southern,electricity,wind,2100,1
Africa_Southern,electricity,solar,2100,1
Africa_Southern,electricity,geothermal,2100,1
Africa_Southern,elect_td_bld,rooftop_pv,1975,0
Africa_Southern,elect_td_bld,rooftop_pv,2100,1
Africa_Western,electricity,coal,1975,1
Africa_Western,electricity,gas,1975,1
Africa_Western,electricity,biomass,2100,1
Africa_Western,electricity,nuclear,1975,0
Africa_Western,electricity,hydro,1975,0
Africa_Western,electricity,wind,2100,1
Africa_Western,electricity,solar,2100,1
Africa_Western,electricity,geothermal,2100,1
Africa_Western,elect_td_bld,rooftop_pv,1975,0
Africa_Western,elect_td_bld,rooftop_pv,2100,1
Australia_NZ,electricity,coal,1975,1
Australia_NZ,electricity,gas,1975,1
Australia_NZ,electricity,biomass,2100,1
Australia_NZ,electricity,nuclear,1975,0
Australia_NZ,electricity,hydro,1975,0
Australia_NZ,electricity,wind,2100,1
Australia_NZ,electricity,solar,2100,1
Australia_NZ,electricity,geothermal,2100,1
Australia_NZ,elect_td_bld,rooftop_pv,1975,0
Australia_NZ,elect_td_bld,rooftop_pv,2100,1
