#INPUT_TABLE
#Variable ID
#GlobalTechCapital
#
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,coal,coal (conv pul),1975,capital,730,0.13,0.85
electricity,coal,coal (conv pul CCS),1975,capital,1797,0.13,0.8
electricity,coal,coal (IGCC),1975,capital,1239,0.13,0.8
electricity,coal,coal (IGCC CCS),1975,capital,2045,0.13,0.8
electricity,gas,gas (steam/CT),1975,capital,150,0.13,0.8
electricity,gas,gas (CC),1975,capital,320,0.13,0.85
electricity,gas,gas (CC CCS),1975,capital,651,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),1975,capital,232,0.13,0.8
electricity,refined liquids,refined liquids (CC),1975,capital,325,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),1975,capital,774,0.13,0.8
electricity,biomass,biomass (conv),1975,capital,1239,0.13,0.85
electricity,biomass,biomass (conv CCS),1975,capital,2386,0.13,0.85
electricity,biomass,biomass (IGCC),1975,capital,1859,0.13,0.8
electricity,biomass,biomass (IGCC CCS),1975,capital,2742,0.13,0.8
electricity,nuclear,Gen_II_LWR,1975,capital,1650,0.13,0.9
electricity,nuclear,Gen_III,1975,capital,1704,0.13,0.9
electricity,wind,wind_storage,1975,capital,1473,0.13,0.37
electricity,solar,PV_storage,1975,capital,1363,0.13,0.2
electricity,solar,CSP_storage,1975,capital,2479,0.13,0.65
electricity,geothermal,geothermal,1975,capital,1363,0.13,0.9
electricity,coal,coal (conv pul),1990,capital,730,0.13,0.85
electricity,coal,coal (conv pul CCS),1990,capital,1797,0.13,0.8
electricity,coal,coal (IGCC),1990,capital,1239,0.13,0.8
electricity,coal,coal (IGCC CCS),1990,capital,2045,0.13,0.8
electricity,gas,gas (steam/CT),1990,capital,150,0.13,0.8
electricity,gas,gas (CC),1990,capital,320,0.13,0.85
electricity,gas,gas (CC CCS),1990,capital,651,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),1990,capital,232,0.13,0.8
electricity,refined liquids,refined liquids (CC),1990,capital,325,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),1990,capital,774,0.13,0.8
electricity,biomass,biomass (conv),1990,capital,1239,0.13,0.85
electricity,biomass,biomass (conv CCS),1990,capital,2386,0.13,0.85
electricity,biomass,biomass (IGCC),1990,capital,1859,0.13,0.8
electricity,biomass,biomass (IGCC CCS),1990,capital,2742,0.13,0.8
electricity,nuclear,Gen_II_LWR,1990,capital,1650,0.13,0.9
electricity,nuclear,Gen_III,1990,capital,1704,0.13,0.9
electricity,wind,wind_storage,1990,capital,1191,0.13,0.37
electricity,solar,PV_storage,1990,capital,1363,0.13,0.2
electricity,solar,CSP_storage,1990,capital,2479,0.13,0.65
electricity,geothermal,geothermal,1990,capital,1363,0.13,0.9
electricity,coal,coal (conv pul),2005,capital,800,0.13,0.85
electricity,coal,coal (conv pul CCS),2005,capital,1797,0.13,0.8
electricity,coal,coal (IGCC),2005,capital,1239,0.13,0.8
electricity,coal,coal (IGCC CCS),2005,capital,2045,0.13,0.8
electricity,gas,gas (steam/CT),2005,capital,150,0.13,0.8
electricity,gas,gas (CC),2005,capital,320,0.13,0.85
electricity,gas,gas (CC CCS),2005,capital,651,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),2005,capital,232,0.13,0.8
electricity,refined liquids,refined liquids (CC),2005,capital,325,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),2005,capital,774,0.13,0.8
electricity,biomass,biomass (conv),2005,capital,1239,0.13,0.85
electricity,biomass,biomass (conv CCS),2005,capital,2386,0.13,0.85
electricity,biomass,biomass (IGCC),2005,capital,1859,0.13,0.8
electricity,biomass,biomass (IGCC CCS),2005,capital,2742,0.13,0.8
electricity,nuclear,Gen_II_LWR,2005,capital,1650,0.13,0.9
electricity,nuclear,Gen_III,2005,capital,1704,0.13,0.9
electricity,wind,wind_storage,2005,capital,916,0.13,0.37
electricity,solar,PV_storage,2005,capital,1363,0.13,0.2
electricity,solar,CSP_storage,2005,capital,2479,0.13,0.65
electricity,geothermal,geothermal,2005,capital,1363,0.13,0.9
electricity,coal,coal (conv pul),2010,capital,850,0.13,0.85
electricity,coal,coal (conv pul CCS),2010,capital,1797,0.13,0.8
electricity,coal,coal (IGCC),2010,capital,1239,0.13,0.8
electricity,coal,coal (IGCC CCS),2010,capital,2045,0.13,0.8
electricity,gas,gas (steam/CT),2010,capital,150,0.13,0.8
electricity,gas,gas (CC),2010,capital,320,0.13,0.85
electricity,gas,gas (CC CCS),2010,capital,651,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),2010,capital,232,0.13,0.8
electricity,refined liquids,refined liquids (CC),2010,capital,325,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),2010,capital,774,0.13,0.8
electricity,biomass,biomass (conv),2010,capital,1239,0.13,0.85
electricity,biomass,biomass (conv CCS),2010,capital,2386,0.13,0.85
electricity,biomass,biomass (IGCC),2010,capital,1859,0.13,0.8
electricity,biomass,biomass (IGCC CCS),2010,capital,2742,0.13,0.8
electricity,nuclear,Gen_II_LWR,2010,capital,1650,0.13,0.9
electricity,nuclear,Gen_III,2010,capital,1704,0.13,0.9
electricity,wind,wind_storage,2010,capital,1797,0.13,0.37
electricity,solar,PV_storage,2010,capital,1363,0.13,0.2
electricity,solar,CSP_storage,2010,capital,2479,0.13,0.65
electricity,geothermal,geothermal,2010,capital,1363,0.13,0.9
electricity,coal,coal (conv pul),2015,capital,898,0.13,0.85
electricity,coal,coal (conv pul CCS),2015,capital,1797,0.13,0.8
electricity,coal,coal (IGCC),2015,capital,1239,0.13,0.8
electricity,coal,coal (IGCC CCS),2015,capital,2045,0.13,0.8
electricity,gas,gas (steam/CT),2015,capital,232,0.13,0.8
electricity,gas,gas (CC),2015,capital,325,0.13,0.85
electricity,gas,gas (CC CCS),2015,capital,651,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),2015,capital,232,0.13,0.8
electricity,refined liquids,refined liquids (CC),2015,capital,325,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),2015,capital,774,0.13,0.8
electricity,biomass,biomass (conv),2015,capital,1239,0.13,0.85
electricity,biomass,biomass (conv CCS),2015,capital,2386,0.13,0.85
electricity,biomass,biomass (IGCC),2015,capital,1859,0.13,0.8
electricity,biomass,biomass (IGCC CCS),2015,capital,2742,0.13,0.8
electricity,nuclear,Gen_II_LWR,2015,capital,1704,0.13,0.9
electricity,nuclear,Gen_III,2015,capital,1704,0.13,0.9
electricity,wind,wind_storage,2015,capital,1797,0.13,0.37
electricity,solar,PV_storage,2015,capital,1363,0.13,0.2
electricity,solar,CSP_storage,2015,capital,2479,0.13,0.65
electricity,geothermal,geothermal,2015,capital,1363,0.13,0.9
electricity,coal,coal (conv pul),2020,capital,887,0.13,0.85
electricity,coal,coal (conv pul CCS),2020,capital,1705,0.13,0.8
electricity,coal,coal (IGCC),2020,capital,1187,0.13,0.8
electricity,coal,coal (IGCC CCS),2020,capital,1919,0.13,0.8
electricity,gas,gas (steam/CT),2020,capital,230,0.13,0.8
electricity,gas,gas (CC),2020,capital,321,0.13,0.85
electricity,gas,gas (CC CCS),2020,capital,617,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),2020,capital,230,0.13,0.8
electricity,refined liquids,refined liquids (CC),2020,capital,321,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),2020,capital,730,0.13,0.8
electricity,biomass,biomass (conv),2020,capital,1224,0.13,0.85
electricity,biomass,biomass (conv CCS),2020,capital,2267,0.13,0.85
electricity,biomass,biomass (IGCC),2020,capital,1780,0.13,0.8
electricity,biomass,biomass (IGCC CCS),2020,capital,2583,0.13,0.8
electricity,nuclear,Gen_II_LWR,2020,capital,1704,0.13,0.9
electricity,nuclear,Gen_III,2020,capital,1683,0.13,0.9
electricity,wind,wind_storage,2020,capital,1721,0.13,0.37
electricity,solar,PV_storage,2020,capital,1305,0.13,0.2
electricity,solar,CSP_storage,2020,capital,2302,0.13,0.65
