#INPUT_TABLE
#Variable ID
#GlobalTechOMfixed
#
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,coal,coal (conv pul),1975,OM-fixed,8.83,0.85
electricity,coal,coal (conv pul CCS),1975,OM-fixed,15.49,0.8
electricity,coal,coal (IGCC),1975,OM-fixed,12.4,0.8
electricity,coal,coal (IGCC CCS),1975,OM-fixed,14.22,0.8
electricity,gas,gas (steam/CT),1975,OM-fixed,3.63,0.8
electricity,gas,gas (CC),1975,OM-fixed,3.88,0.85
electricity,gas,gas (CC CCS),1975,OM-fixed,4.29,0.8
electricity,refined liquids,refined liquids (steam/CT),1975,OM-fixed,3.63,0.8
electricity,refined liquids,refined liquids (CC),1975,OM-fixed,11.16,0.85
electricity,refined liquids,refined liquids (CC CCS),1975,OM-fixed,12.02,0.8
electricity,biomass,biomass (conv),1975,OM-fixed,9.09,0.85
electricity,biomass,biomass (conv CCS),1975,OM-fixed,35.96,0.8
electricity,biomass,biomass (IGCC),1975,OM-fixed,12.77,0.8
electricity,biomass,biomass (IGCC CCS),1975,OM-fixed,14.33,0.8
electricity,nuclear,Gen_II_LWR,1975,OM-fixed,22.02,0.9
electricity,nuclear,Gen_III,1975,OM-fixed,21.77,0.9
electricity,wind,wind_storage,1975,OM-fixed,8.63,0.37
electricity,solar,PV_storage,1975,OM-fixed,17.42,0.2
electricity,solar,CSP_storage,1975,OM-fixed,16.62,0.65
electricity,geothermal,geothermal,1975,OM-fixed,23.54,0.9
electricity,coal,coal (conv pul),1990,OM-fixed,8.83,0.85
electricity,coal,coal (conv pul CCS),1990,OM-fixed,15.49,0.8
electricity,coal,coal (IGCC),1990,OM-fixed,12.4,0.8
electricity,coal,coal (IGCC CCS),1990,OM-fixed,14.22,0.8
electricity,gas,gas (steam/CT),1990,OM-fixed,3.63,0.8
electricity,gas,gas (CC),1990,OM-fixed,3.88,0.85
electricity,gas,gas (CC CCS),1990,OM-fixed,4.29,0.8
electricity,refined liquids,refined liquids (steam/CT),1990,OM-fixed,3.63,0.8
electricity,refined liquids,refined liquids (CC),1990,OM-fixed,11.16,0.85
electricity,refined liquids,refined liquids (CC CCS),1990,OM-fixed,12.02,0.8
electricity,biomass,biomass (conv),1990,OM-fixed,9.09,0.85
electricity,biomass,biomass (conv CCS),1990,OM-fixed,35.96,0.8
electricity,biomass,biomass (IGCC),1990,OM-fixed,12.77,0.8
electricity,biomass,biomass (IGCC CCS),1990,OM-fixed,14.33,0.8
electricity,nuclear,Gen_II_LWR,1990,OM-fixed,22.02,0.9
electricity,nuclear,Gen_III,1990,OM-fixed,21.77,0.9
electricity,wind,wind_storage,1990,OM-fixed,8.63,0.37
electricity,solar,PV_storage,1990,OM-fixed,17.42,0.2
electricity,solar,CSP_storage,1990,OM-fixed,16.62,0.65
electricity,geothermal,geothermal,1990,OM-fixed,23.54,0.9
electricity,coal,coal (conv pul),2005,OM-fixed,8.83,0.85
electricity,coal,coal (conv pul CCS),2005,OM-fixed,15.49,0.8
electricity,coal,coal (IGCC),2005,OM-fixed,12.4,0.8
electricity,coal,coal (IGCC CCS),2005,OM-fixed,14.22,0.8
electricity,gas,gas (steam/CT),2005,OM-fixed,3.63,0.8
electricity,gas,gas (CC),2005,OM-fixed,3.88,0.85
electricity,gas,gas (CC CCS),2005,OM-fixed,4.29,0.8
electricity,refined liquids,refined liquids (steam/CT),2005,OM-fixed,3.63,0.8
electricity,refined liquids,refined liquids (CC),2005,OM-fixed,11.16,0.85
electricity,refined liquids,refined liquids (CC CCS),2005,OM-fixed,12.02,0.8
electricity,biomass,biomass (conv),2005,OM-fixed,9.09,0.85
electricity,biomass,biomass (conv CCS),2005,OM-fixed,35.96,0.8
electricity,biomass,biomass (IGCC),2005,OM-fixed,12.77,0.8
electricity,biomass,biomass (IGCC CCS),2005,OM-fixed,14.33,0.8
electricity,nuclear,Gen_II_LWR,2005,OM-fixed,22.02,0.9
electricity,nuclear,Gen_III,2005,OM-fixed,21.77,0.9
electricity,wind,wind_storage,2005,OM-fixed,8.63,0.37
electricity,solar,PV_storage,2005,OM-fixed,17.42,0.2
electricity,solar,CSP_storage,2005,OM-fixed,16.62,0.65
electricity,geothermal,geothermal,2005,OM-fixed,23.54,0.9
electricity,coal,coal (conv pul),2010,OM-fixed,7.75,0.85
electricity,coal,coal (conv pul CCS),2010,OM-fixed,15.49,0.8
electricity,coal,coal (IGCC),2010,OM-fixed,10.84,0.8
electricity,coal,coal (IGCC CCS),2010,OM-fixed,21.69,0.8
electricity,gas,gas (steam/CT),2010,OM-fixed,1.86,0.8
electricity,gas,gas (CC),2010,OM-fixed,3.1,0.85
electricity,gas,gas (CC CCS),2010,OM-fixed,6.2,0.8
electricity,refined liquids,refined liquids (steam/CT),2010,OM-fixed,1.86,0.8
electricity,refined liquids,refined liquids (CC),2010,OM-fixed,3.1,0.85
electricity,refined liquids,refined liquids (CC CCS),2010,OM-fixed,7.37,0.8
electricity,biomass,biomass (conv),2010,OM-fixed,29.43,0.85
electricity,biomass,biomass (conv CCS),2010,OM-fixed,35.96,0.8
electricity,biomass,biomass (IGCC),2010,OM-fixed,43.38,0.8
electricity,biomass,biomass (IGCC CCS),2010,OM-fixed,52.51,0.8
electricity,nuclear,Gen_II_LWR,2010,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2010,OM-fixed,29.43,0.9
electricity,wind,wind_storage,2010,OM-fixed,18.59,0.37
electricity,solar,PV_storage,2010,OM-fixed,14.87,0.2
electricity,solar,CSP_storage,2010,OM-fixed,20.14,0.65
electricity,geothermal,geothermal,2010,OM-fixed,30.98,0.9
electricity,coal,coal (conv pul),2015,OM-fixed,7.75,0.85
electricity,coal,coal (conv pul CCS),2015,OM-fixed,15.49,0.8
electricity,coal,coal (IGCC),2015,OM-fixed,10.84,0.8
electricity,coal,coal (IGCC CCS),2015,OM-fixed,21.69,0.8
electricity,gas,gas (steam/CT),2015,OM-fixed,1.86,0.8
electricity,gas,gas (CC),2015,OM-fixed,3.1,0.85
electricity,gas,gas (CC CCS),2015,OM-fixed,6.2,0.8
electricity,refined liquids,refined liquids (steam/CT),2015,OM-fixed,1.86,0.8
electricity,refined liquids,refined liquids (CC),2015,OM-fixed,3.1,0.85
electricity,refined liquids,refined liquids (CC CCS),2015,OM-fixed,7.37,0.8
electricity,biomass,biomass (conv),2015,OM-fixed,29.43,0.85
electricity,biomass,biomass (conv CCS),2015,OM-fixed,35.96,0.8
electricity,biomass,biomass (IGCC),2015,OM-fixed,43.38,0.8
electricity,biomass,biomass (IGCC CCS),2015,OM-fixed,52.51,0.8
electricity,nuclear,Gen_II_LWR,2015,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2015,OM-fixed,29.43,0.9
electricity,wind,wind_storage,2015,OM-fixed,18.59,0.37
electricity,solar,PV_storage,2015,OM-fixed,14.87,0.2
electricity,solar,CSP_storage,2015,OM-fixed,20.14,0.65
electricity,geothermal,geothermal,2015,OM-fixed,30.98,0.9
electricity,coal,coal (conv pul),2020,OM-fixed,7.65,0.85
electricity,coal,coal (conv pul CCS),2020,OM-fixed,14.7,0.8
electricity,coal,coal (IGCC),2020,OM-fixed,10.38,0.8
electricity,coal,coal (IGCC CCS),2020,OM-fixed,20.25,0.8
electricity,gas,gas (steam/CT),2020,OM-fixed,1.84,0.8
electricity,gas,gas (CC),2020,OM-fixed,3.06,0.85
electricity,gas,gas (CC CCS),2020,OM-fixed,5.88,0.8
electricity,refined liquids,refined liquids (steam/CT),2020,OM-fixed,1.84,0.8
electricity,refined liquids,refined liquids (CC),2020,OM-fixed,3.06,0.85
electricity,refined liquids,refined liquids (CC CCS),2020,OM-fixed,6.95,0.8
electricity,biomass,biomass (conv),2020,OM-fixed,29.07,0.85
electricity,biomass,biomass (conv CCS),2020,OM-fixed,35.01,0.8
electricity,biomass,biomass (IGCC),2020,OM-fixed,41.54,0.8
electricity,biomass,biomass (IGCC CCS),2020,OM-fixed,49.85,0.8
electricity,nuclear,Gen_II_LWR,2020,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2020,OM-fixed,29.07,0.9
electricity,wind,wind_storage,2020,OM-fixed,17.8,0.37
electricity,solar,PV_storage,2020,OM-fixed,14.24,0.2
electricity,solar,CSP_storage,2020,OM-fixed,18.47,0.65
electricity,geothermal,geothermal,2020,OM-fixed,30.6,0.9
electricity,coal,coal (conv pul),2025,OM-fixed,7.56,0.85
electricity,coal,coal (conv pul CCS),2025,OM-fixed,14.06,0.8
electricity,coal,coal (IGCC),2025,OM-fixed,9.99,0.8
electricity,coal,coal (IGCC CCS),2025,OM-fixed,19.09,0.8
electricity,gas,gas (steam/CT),2025,OM-fixed,1.81,0.8
electricity,gas,gas (CC),2025,OM-fixed,3.02,0.85
electricity,gas,gas (CC CCS),2025,OM-fixed,5.63,0.8
electricity,refined liquids,refined liquids (steam/CT),2025,OM-fixed,1.81,0.8
electricity,refined liquids,refined liquids (CC),2025,OM-fixed,3.02,0.85
electricity,refined liquids,refined liquids (CC CCS),2025,OM-fixed,6.61,0.8
electricity,biomass,biomass (conv),2025,OM-fixed,28.73,0.85
electricity,biomass,biomass (conv CCS),2025,OM-fixed,34.21,0.8
electricity,biomass,biomass (IGCC),2025,OM-fixed,39.96,0.8
electricity,biomass,biomass (IGCC CCS),2025,OM-fixed,47.63,0.8
electricity,nuclear,Gen_II_LWR,2025,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2025,OM-fixed,28.73,0.9
electricity,wind,wind_storage,2025,OM-fixed,17.13,0.37
electricity,solar,PV_storage,2025,OM-fixed,13.7,0.2
electricity,solar,CSP_storage,2025,OM-fixed,17.16,0.65
electricity,geothermal,geothermal,2025,OM-fixed,30.24,0.9
electricity,coal,coal (conv pul),2030,OM-fixed,7.47,0.85
electricity,coal,coal (conv pul CCS),2030,OM-fixed,13.56,0.8
electricity,coal,coal (IGCC),2030,OM-fixed,9.65,0.8
electricity,coal,coal (IGCC CCS),2030,OM-fixed,18.17,0.8
electricity,gas,gas (steam/CT),2030,OM-fixed,1.79,0.8
electricity,gas,gas (CC),2030,OM-fixed,2.99,0.85
electricity,gas,gas (CC CCS),2030,OM-fixed,5.42,0.8
electricity,refined liquids,refined liquids (steam/CT),2030,OM-fixed,1.79,0.8
electricity,refined liquids,refined liquids (CC),2030,OM-fixed,2.99,0.85
electricity,refined liquids,refined liquids (CC CCS),2030,OM-fixed,6.35,0.8
electricity,biomass,biomass (conv),2030,OM-fixed,28.4,0.85
electricity,biomass,biomass (conv CCS),2030,OM-fixed,33.53,0.8
electricity,biomass,biomass (IGCC),2030,OM-fixed,38.6,0.8
electricity,biomass,biomass (IGCC CCS),2030,OM-fixed,45.78,0.8
electricity,nuclear,Gen_II_LWR,2030,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2030,OM-fixed,28.4,0.9
electricity,wind,wind_storage,2030,OM-fixed,16.54,0.37
electricity,solar,PV_storage,2030,OM-fixed,13.24,0.2
electricity,solar,CSP_storage,2030,OM-fixed,16.14,0.65
electricity,geothermal,geothermal,2030,OM-fixed,29.9,0.9
electricity,coal,coal (conv pul),2035,OM-fixed,7.39,0.85
electricity,coal,coal (conv pul CCS),2035,OM-fixed,13.15,0.8
electricity,coal,coal (IGCC),2035,OM-fixed,9.36,0.8
electricity,coal,coal (IGCC CCS),2035,OM-fixed,17.42,0.8
electricity,gas,gas (steam/CT),2035,OM-fixed,1.77,0.8
electricity,gas,gas (CC),2035,OM-fixed,2.96,0.85
electricity,gas,gas (CC CCS),2035,OM-fixed,5.26,0.8
electricity,refined liquids,refined liquids (steam/CT),2035,OM-fixed,1.77,0.8
electricity,refined liquids,refined liquids (CC),2035,OM-fixed,2.96,0.85
electricity,refined liquids,refined liquids (CC CCS),2035,OM-fixed,6.14,0.8
electricity,biomass,biomass (conv),2035,OM-fixed,28.09,0.85
electricity,biomass,biomass (conv CCS),2035,OM-fixed,32.94,0.8
electricity,biomass,biomass (IGCC),2035,OM-fixed,37.44,0.8
