region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,LandLeaf,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age.year.fillout,mature.age,min.veg.carbon.density,min.soil.carbon.density
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Corn_NWTerr,Corn_NWTerr_IRR,0.453,9,0.453,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FiberCrop_NWTerr,FiberCrop_NWTerr_IRR,0.3,9,0.3,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FodderGrass_NWTerr,FodderGrass_NWTerr_IRR,0,9,0,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FodderHerb_NWTerr,FodderHerb_NWTerr_IRR,0.425,9,0.425,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,MiscCrop_NWTerr,MiscCrop_NWTerr_IRR,0.262,9,0.262,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,OilCrop_NWTerr,OilCrop_NWTerr_IRR,0.228,9,0.228,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,OtherGrain_NWTerr,OtherGrain_NWTerr_IRR,0.148,9,0.148,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Root_Tuber_NWTerr,Root_Tuber_NWTerr_IRR,0,9,0,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,SugarCrop_NWTerr,SugarCrop_NWTerr_IRR,0,9,0,9,1975,1,0,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Wheat_NWTerr,Wheat_NWTerr_IRR,0.375,9,0.375,9,1975,1,0,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,Corn_SiberiaW,Corn_SiberiaW_IRR,0,9,0,9,1975,1,0,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,FiberCrop_SiberiaW,FiberCrop_SiberiaW_IRR,0.3,9,0.3,9,1975,1,0,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,FodderGrass_SiberiaW,FodderGrass_SiberiaW_IRR,0,9,0,9,1975,1,0,0
