# ../gcam-usa-data/level1//L123.out_EJ_state_ownuse_elec.csv
# Written by LB123.Electricity.R
# Thu Aug 31 19:15:22 2017
# " Output of electricity net ownuse by state "
# " Unit = EJ "
"state","sector","fuel","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"AK","electricity ownuse","electricity",0.00788064065033369,0.00869281076740963,0.00930930964719087,0.0100860200180296,0.0120159755959224,0.0135029161541069,0.0147049283316091,0.0148682610272244,0.0160673740742475,0.0156103265136546,0.0160806057083524,0.0170286012044542,0.0172875205406764,0.0178111230405303,0.0186322135513102,0.0187033778061034,0.016759344887913,0.0169844833495055,0.0271269867647603,0.0286295141973305,0.0313226775319349,0.0334262059566151,0.0363081689179815,0.0378594814042021,0.043359829514774,0.0423601439590291,0.0401603317529289,0.043581974960471,0.0439309099100016,0.0327105071972111,0.0354522871264476,0.0369315392940044,0.0372976850423636,0.0383124557861069,0.0397514275927818,0.0396722461610086,0.0382929858822986,0.0372271285651984,0.0376739653910425,0.0370386551830349
"AL","electricity ownuse","electricity",0.167733881082367,0.179494369304494,0.200519068355705,0.209059806646595,0.196107393734103,0.195650428510948,0.264000129309235,0.252372231069834,0.279064734316878,0.283291461928426,0.270962559702857,0.269257068177037,0.274878388780942,0.275990062629612,0.25761892969434,0.241957169341159,0.24179347825636,0.233411329091291,0.294507830325198,0.295185669897974,0.325784190354367,0.355409567951492,0.368778214466876,0.375407684567378,0.392139212609408,0.449001903175597,0.437763953627169,0.441829830084973,0.447688691853535,0.456269506769636,0.444523768517684,0.481507730148736,0.493998129471232,0.492493118098851,0.501740825998491,0.513399495063572,0.524075163722972,0.528318873270224,0.512149047341411,0.545463722274434
"AR","electricity ownuse","electricity",0.0394491971308803,0.0375112747703884,0.0425738213112664,0.0408544158106066,0.0480821592052495,0.0419469270637413,0.0535033570214399,0.0617859812702294,0.0589152139224222,0.0698456628882457,0.0894470787010256,0.0862607172110236,0.109829173678417,0.11190030025884,0.130320911226043,0.128903880014315,0.132790372469073,0.124557860650222,0.134768526396913,0.149871712159206,0.150772329871145,0.149368599196846,0.153731331117755,0.161305713447793,0.1603869414501,0.171922608945179,0.170213129057518,0.172872700531457,0.17514075547467,0.163719892708874,0.175270121664757,0.178263007450304,0.18436652094537,0.189008021252472,0.174371114028296,0.18873480307997,0.198628186421336,0.20032360353756,0.207352468098179,0.221616510830223
"AZ","electricity ownuse","electricity",0.0524608559921384,0.0583368690830877,0.0647625989033411,0.0764574993919706,0.0830347077207298,0.0994344127227613,0.112182186170085,0.112839769877393,0.131512239556231,0.142245730595923,0.154549983574164,0.148834267637416,0.157773567728835,0.173496790310388,0.182640256722556,0.193754756421082,0.196117196647561,0.232940819813459,0.201382035615808,0.234897653567357,0.252478982453138,0.265279854461466,0.256115437956948,0.269372666011226,0.264349430518638,0.273813173278018,0.294156009937154,0.304048705867836,0.308394162798968,0.336209120000506,0.330346349102941,0.344771992735831,0.346267968773075,0.383853363310558,0.367736212225275,0.378640343871156,0.401831799834572,0.430264771096197,0.408780028265306,0.410371231665062
"CA","electricity ownuse","electricity",0.398264575683508,0.403285533133271,0.43430564396342,0.391297106190562,0.406572463200674,0.388353548021442,0.449167796514149,0.453584900769251,0.505254603930695,0.455414617839522,0.423623489348216,0.386529287976411,0.383549366736362,0.397203939507103,0.416772210422002,0.398417843131254,0.411987936903292,0.388142335577364,0.482356988916777,0.45836835127217,0.446638348885511,0.500115372279911,0.532020908285356,0.518250274838125,0.514179350144583,0.489898331948213,0.473780991263538,0.534721691961622,0.52420697228966,0.621155888536173,0.648491096412716,0.593570588101789,0.617056599891197,0.631801281856776,0.628618189044298,0.689799229201287,0.676104251485867,0.642355951563071,0.644560965843977,0.627759733756907
"CO","electricity ownuse","electricity",0.0511088509733147,0.0523113304758745,0.0576175956602124,0.0613005007330615,0.0680265649168697,0.0730102847287655,0.0811512636595249,0.0822864413849231,0.0887578444455464,0.0930306061926036,0.0977646235669866,0.0992943537226399,0.0966531221372176,0.105799398663947,0.110963292332948,0.109960889271492,0.110958813629247,0.118481011651869,0.127460230481189,0.128403809607975,0.12937784908488,0.132232270000222,0.137409836721754,0.14160253801489,0.140198177999992,0.145238445871254,0.146229700848762,0.151930887637968,0.153729829585745,0.171071597820836,0.184122232317493,0.18022901577691,0.182385963298784,0.184707035340713,0.192298866748997,0.19884770421998,0.210336174922729,0.210320054744911,0.20361835903318,0.204113070260864
"CT","electricity ownuse","electricity",0.0886390131517075,0.0899077376130955,0.0787263457574394,0.0856541028169883,0.0778796769838916,0.0887676557982034,0.0895323619608956,0.0934451539213733,0.087234438322607,0.0895793543130206,0.08601139769987,0.0882706725358532,0.0850815178120153,0.0976166824174061,0.090021170536492,0.117200677422837,0.120447450028955,0.132582477491953,0.12561667715506,0.126684525469628,0.0971545065272259,0.105491228562547,0.118591515943839,0.111864257749304,0.110660089603079,0.0670303543452287,0.0553902693443851,0.0642843027117742,0.0960520056477045,0.116879417784173,0.10387918334525,0.105035456997523,0.10357560310983,0.111931485292425,0.114997878554838,0.119707217657103,0.115266514991623,0.105409711545978,0.107975166481851,0.115526825834342
"DC","electricity ownuse","electricity",0.011036549488988,0.0119793362491295,0.0143281966957342,0.0109676545068705,0.00571643561433275,0.00575957103207634,0.00807587048695764,0.00849050852439866,0.00514161523493581,0.00355304962557174,0.00197988443368595,0.000608718375621509,0.00142456386607198,0.00179082350835739,0.000769194896674673,0.00114698301888513,0.00146589069669504,0.00267586748320142,0.00345879505068834,0.00190914588104897,0.00115408842238907,0.000615243101325958,0.00102531558632043,0.00143116685748897,0.000948403010315113,0.00061333285910226,0.000497786582135459,0.00132018695492834,0.00123306921257804,0.00100895693876611,0.00073995199939814,0.00228127710446202,0.000724229956181375,0.000515023087541236,0.00212883992272611,0.000911151819015977,0.000749923837658163,0.000622695492134012,0.000326602887814324,0.00159627500527428
"DE","electricity ownuse","electricity",0.0196701614546444,0.018154744215094,0.0204436696114523,0.0233531298338088,0.0211008016594343,0.0219429970130691,0.0223163866517713,0.0240150214424434,0.0240380625694977,0.023140209057631,0.0289157271168229,0.0242349971737428,0.0338311261439737,0.0333722777564638,0.0312778016965175,0.030137167679621,0.030722831455604,0.0320462608993945,0.0303200839980411,0.028435102237141,0.0304903141388821,0.0255792893258358,0.0295491238481005,0.0284831105778843,0.0268699908141715,0.0257726661646638,0.0218371837064981,0.0204299374158795,0.0200889739771208,0.0200598569169055,0.0217146794638571,0.0217315975048876,0.0245801457029924,0.0244308247827158,0.0257870764669028,0.0221730065746979,0.0271220753389637,0.0250182192358087,0.015941549105908,0.0200915337279554
"FL","electricity ownuse","electricity",0.213143897022546,0.237831824729343,0.270998977021635,0.266947635001978,0.280650327931498,0.294472700846777,0.315986264033637,0.33419946971139,0.342888797456779,0.342557179310119,0.349400655413833,0.324251824730302,0.32090957058589,0.336274923594803,0.345350598037383,0.384019920705685,0.395127716424227,0.439742422088383,0.452796721488543,0.453639043935941,0.475845472818909,0.483996488338349,0.499116614633524,0.506106761694143,0.528816990894874,0.534437863754512,0.542704499779073,0.619138389671416,0.607266693175089,0.64895432289142,0.64771789429612,0.704868116594983,0.725405725750851,0.748872111355026,0.75351678088302,0.773260910756527,0.775097618729759,0.766826440699909,0.767178629857971,0.79919501319061
