#INPUT_TABLE
#Variable ID
#GlobalTechEff
#
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,coal,coal (conv pul),1975,regional coal,0.311
electricity,coal,coal (conv pul CCS),1975,regional coal,0.292
electricity,coal,coal (IGCC),1975,regional coal,0.426
electricity,coal,coal (IGCC CCS),1975,regional coal,0.356
electricity,gas,gas (steam/CT),1975,wholesale gas,0.261
electricity,gas,gas (CC),1975,wholesale gas,0.45
electricity,gas,gas (CC CCS),1975,wholesale gas,0.487
electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.311
electricity,refined liquids,refined liquids (CC),1975,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC CCS),1975,refined liquids industrial,0.36
electricity,biomass,biomass (conv),1975,regional biomass,0.311
electricity,biomass,biomass (conv CCS),1975,regional biomass,0.196
electricity,biomass,biomass (IGCC),1975,regional biomass,0.416
electricity,biomass,biomass (IGCC CCS),1975,regional biomass,0.357
electricity,nuclear,Gen_II_LWR,1975,nuclearFuelGenII,0.333
electricity,nuclear,Gen_III,1975,nuclearFuelGenIII,0.333
electricity,wind,wind_storage,1975,onshore wind resource,0.96
electricity,solar,PV_storage,1975,global solar resource,0.96
electricity,solar,CSP_storage,1975,global solar resource,1
electricity,geothermal,geothermal,1975,geothermal,0.1
electricity,coal,coal (conv pul),1990,regional coal,0.35
electricity,coal,coal (conv pul CCS),1990,regional coal,0.292
electricity,coal,coal (IGCC),1990,regional coal,0.426
electricity,coal,coal (IGCC CCS),1990,regional coal,0.356
electricity,gas,gas (steam/CT),1990,wholesale gas,0.3
electricity,gas,gas (CC),1990,wholesale gas,0.45
electricity,gas,gas (CC CCS),1990,wholesale gas,0.487
electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.35
electricity,refined liquids,refined liquids (CC),1990,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC CCS),1990,refined liquids industrial,0.36
electricity,biomass,biomass (conv),1990,regional biomass,0.35
electricity,biomass,biomass (conv CCS),1990,regional biomass,0.196
electricity,biomass,biomass (IGCC),1990,regional biomass,0.416
electricity,biomass,biomass (IGCC CCS),1990,regional biomass,0.357
electricity,nuclear,Gen_II_LWR,1990,nuclearFuelGenII,0.333
electricity,nuclear,Gen_III,1990,nuclearFuelGenIII,0.333
electricity,wind,wind_storage,1990,onshore wind resource,0.96
electricity,solar,PV_storage,1990,global solar resource,0.96
electricity,solar,CSP_storage,1990,global solar resource,1
electricity,geothermal,geothermal,1990,geothermal,0.1
electricity,coal,coal (conv pul),2005,regional coal,0.391
electricity,coal,coal (conv pul CCS),2005,regional coal,0.292
electricity,coal,coal (IGCC),2005,regional coal,0.426
electricity,coal,coal (IGCC CCS),2005,regional coal,0.356
electricity,gas,gas (steam/CT),2005,wholesale gas,0.33
electricity,gas,gas (CC),2005,wholesale gas,0.5
electricity,gas,gas (CC CCS),2005,wholesale gas,0.487
electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.384
electricity,refined liquids,refined liquids (CC),2005,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC CCS),2005,refined liquids industrial,0.36
electricity,biomass,biomass (conv),2005,regional biomass,0.382
electricity,biomass,biomass (conv CCS),2005,regional biomass,0.196
electricity,biomass,biomass (IGCC),2005,regional biomass,0.416
electricity,biomass,biomass (IGCC CCS),2005,regional biomass,0.357
electricity,nuclear,Gen_II_LWR,2005,nuclearFuelGenII,0.333
electricity,nuclear,Gen_III,2005,nuclearFuelGenIII,0.333
