# INPUT_TABLE
# Variable ID
# FinalEnergyKeyword
region,supplysector,final.energy
USA,cement,industry
USA,process heat cement,industry
Africa_Eastern,cement,industry
Africa_Eastern,process heat cement,industry
Africa_Northern,cement,industry
Africa_Northern,process heat cement,industry
Africa_Southern,cement,industry
Africa_Southern,process heat cement,industry
Africa_Western,cement,industry
Africa_Western,process heat cement,industry
Australia_NZ,cement,industry
Australia_NZ,process heat cement,industry
Brazil,cement,industry
Brazil,process heat cement,industry
Canada,cement,industry
Canada,process heat cement,industry
Central America and Caribbean,cement,industry
Central America and Caribbean,process heat cement,industry
Central Asia,cement,industry
Central Asia,process heat cement,industry
China,cement,industry
China,process heat cement,industry
EU-12,cement,industry
EU-12,process heat cement,industry
EU-15,cement,industry
EU-15,process heat cement,industry
Europe_Eastern,cement,industry
Europe_Eastern,process heat cement,industry
Europe_Non_EU,cement,industry
Europe_Non_EU,process heat cement,industry
European Free Trade Association,cement,industry
European Free Trade Association,process heat cement,industry
India,cement,industry
India,process heat cement,industry
Indonesia,cement,industry
Indonesia,process heat cement,industry
Japan,cement,industry
Japan,process heat cement,industry
Mexico,cement,industry
Mexico,process heat cement,industry
Middle East,cement,industry
Middle East,process heat cement,industry
Pakistan,cement,industry
Pakistan,process heat cement,industry
Russia,cement,industry
Russia,process heat cement,industry
South Africa,cement,industry
South Africa,process heat cement,industry
South America_Northern,cement,industry
South America_Northern,process heat cement,industry
South America_Southern,cement,industry
South America_Southern,process heat cement,industry
South Asia,cement,industry
South Asia,process heat cement,industry
South Korea,cement,industry
South Korea,process heat cement,industry
Southeast Asia,cement,industry
Southeast Asia,process heat cement,industry
Taiwan,cement,industry
Taiwan,process heat cement,industry
Argentina,cement,industry
Argentina,process heat cement,industry
Colombia,cement,industry
Colombia,process heat cement,industry
