# ../energy-data/level1//L154.in_EJ_R_trn_m_sz_tech_F_Yh.csv
# Written by LA154.transportation_UCD.R
# Tue Mar 28 06:35:39 2017
# " Transportation energy consumption by GCAM region / mode / size class / technology / fuel / historical year "
# " Unit = EJ "
"GCAM_region_ID","UCD_sector","mode","size.class","UCD_technology","UCD_fuel","fuel","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
1,"Freight","Rail","All","Coal","Coal","coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Freight","Rail","All","Coal","Coal","coal",0.00192556,0.00079534,0.0014651,0.00138138,0.00092092,0.00146033507668214,0.00146192292592886,0.00123081957902512,0.000185804671413526,0.000168082283453545,0.000112270647649085,0.000112204824734381,3.7327291684656e-05,5.58835136533695e-05,0.000111664322751829,0.000311777073480156,0.000270173480819753,0.000168018422066675,0.000167990437326711,0.000167604790188704,0.000166811589557085,3.68269339403812e-05,3.65705014700747e-05,3.63689486723075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Freight","Rail","All","Coal","Coal","coal",0,0,0,0,0,4.1250543011896e-07,4.72619488092307e-07,6.00291293134407e-07,6.67526286729253e-07,6.45154086307839e-07,4.47958257940795e-07,4.56943442833159e-07,1.53338005088987e-07,2.30626248034557e-07,4.63450665509595e-07,7.78206913716055e-07,7.84637116241628e-07,7.12546292727141e-07,7.19246844734099e-07,7.26142979819586e-07,7.3405771142963e-07,1.65185061931005e-07,1.67310660665337e-07,1.69163952069524e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Freight","Rail","All","Coal","Coal","coal",0.01180452,0.01197196,0.0108836,0.00820456,0.008372,0.00773700612527426,0.00614640670772981,0.00560616014370032,0.00644341010416912,0.00710933671720689,0.00592561140321617,0.00646980433114485,0.00557518686371552,0.00499313105082958,0.00496335778692177,0.00736604157617145,0.00757626029555267,0.00560551641632573,0.00568986249327292,0.00552274063012348,0.00548086301800728,0.00515739697643064,0.00448753661882506,0.000845611567064554,0.00092092,0.0008372,0.00087906,0.00071162,0.00046046,0.00046046,0.00025116,0.00025116,0.00033488,0.0002093,0.0002093,0.0002093,0.0002093,0.0002093,0.0002093,0.0002093
5,"Freight","Rail","All","Coal","Coal","coal",0.00351624,0.0039767,0.00380926,0.0014651,0.00108836,0.00168556157377131,0.00176755652779853,0.000362031935913241,0.000276714068834846,0.000214606255207163,0.00019863246305396,0.000156818414786525,0.00012209468245399,9.94491608991239e-05,0.000156845560186773,0.000232666181144969,0.000273349425086822,0.000253351928218605,0.000252750977100525,0.000252814831347345,0.000169900309753764,3.80600343273904e-05,3.8415145418598e-05,3.87204257557611e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Freight","Rail","All","Coal","Coal","coal",0.00364182,0.0014651,0.00087906,0.00029302,0.00033488,0.00029302,0.00025116,0.0002093,0.0002093,0.00029302,0.00025116,0.0002093,0.00071162,0.0033488,0.00301392,0.0029302,0.0033488,0.00309764,0.00343252,0.0031395,0.00330694,0.0035581,0.00368368,0.00368368,0.0037674,0.0037674,0.00406042,0.00393484,0.0037674,0.0037674,0.00468832,0.0025116,0.00238602,0.00284648,0.00556738,0.0048139,0.00514878,0.00552552,0,0.00519064
7,"Freight","Rail","All","Coal","Coal","coal",0.0004186,0.00029302,4.186e-05,0.0002093,0.00025116,0.00033488,0.0004186,0.00071162,0.00066976,0.00079534,0.00079534,0.00075348,0.00096278,0.00092092,0.00050232,0.00025116,0.00025116,0.00029302,0.00025116,0.0002093,0.00012558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Freight","Rail","All","Coal","Coal","coal",0.00581854,0.0046046,0.00519064,0.00364182,0.00284648,0.00184184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Freight","Rail","All","Coal","Coal","coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Freight","Rail","All","Coal","Coal","coal",0.0586472341694427,0.0579904659797527,0.0573336977900632,0.0566697123675197,0.0556448653022893,0.0530177925435302,0.0510619224401682,0.048434849681409,0.0458222113883573,0.0433755694509415,0.0419609918116096,0.0410949238691615,0.0382080307276679,0.0368151047868973,0.0351767929290996,0.0333147468528363,0.0320156449391641,0.0365480745885605,0.0317731477943157,0.002093,0.0012558,0.00142324,0.00221858,0.0008372,0.00150696,0.00179998,0.00163254,0.0002093,0.0008372,0.0010465,0.00079534,0.00113022,4.186e-05,0.00092092,0.0014651,0.00175812,0.00221858,0.00121394,0.00159068,0.00117208
11,"Freight","Rail","All","Coal","Coal","coal",0.26618774,0.280462,0.28435498,0.28121548,0.33412652,0.33868926,0.38519572,0.41700932,0.42475342,0.3974607,0.42730688,0.44543226,0.44949268,0.46761806,0.46221812,0.45991582,0.44886478,0.45099964,0.45677632,0.41052102,0.38180506,0.35409374,0.33965204,0.2959502,0.26363428,0.30256408,0.27707134,0.27841086,0.25936456,0.17840732,0.16894696,0.16982602,0.19167694,0.17187716,0.16794232,0.15228668,0.14814254,0.13671476,0.13261248,0.13181714
12,"Freight","Rail","All","Coal","Coal","coal",0.239458854812468,0.221404858230177,0.205084780108319,0.197187932139053,0.179370787537624,0.150844186058639,0.134396895737775,0.117024368227582,0.0979829017900073,0.0873534157136737,0.0764682862335332,0.063289917102772,0.0601937432378087,0.0521970256384565,0.0456864825660543,0.0383261850539327,0.0330939841758484,0.0216413944183254,0.0159959587665352,0.0077441,0.0056511,0.00426972,0.00364182,0.0004186,0.00046046,0.00050232,0.00033488,0.0002093,0.00012558,4.186e-05,0.00029302,0.00033488,0.00025116,0.0002093,0.0002093,4.186e-05,4.186e-05,4.186e-05,0,0
13,"Freight","Rail","All","Coal","Coal","coal",0.12210562,0.1013012,0.09108736,0.07271082,0.04642274,0.03415776,0.02607878,0.0205114,0.01699516,0.01410682,0.0102557,0.00996268,0.00912548,0.00912548,0.00749294,0.00489762,0.0031395,0.00133952,0.0010465,0.0008372,0.00071162,0.00058604,0.00033488,0.00029302,0.00029302,0.00012558,0.00025116,8.372e-05,8.372e-05,0.00033488,0.0010465,0.00096278,4.186e-05,0,8.372e-05,0.00046046,0.00046046,0.00046046,0.00046046,0.00046046
14,"Freight","Rail","All","Coal","Coal","coal",0.0599893037259906,0.059317506207031,0.0586457086880714,0.0579665287787935,0.0569182293536039,0.054231039277766,0.052230411501524,0.0495432214256856,0.0468707961304841,0.0443681658126019,0.0429212173102275,0.0420353304720391,0.0390823743447445,0.0376575730133248,0.0359817704110851,0.0340771137089801,0.0327482834516975,0.0309617449946843,0.0308731563108654,0.00339066,0.00205114,0,0.00029302,0.0004186,0.00037674,0.00071162,0.00037674,0.00037674,0.00025116,0.00029302,0.0004186,0.00037674,0.00033488,0.00276276,0.0025116,0.00033488,0.00192556,0.0016744,0.00138138,0.00150696
15,"Freight","Rail","All","Coal","Coal","coal",0.0327535946161515,0.02947753110668,0.0265901528215354,0.0266825427716849,0.0222246079162512,0.0204858056829511,0.0134001591824526,0.0109169969092722,0.00992950083748754,0.00851476203389831,0.00925641294117647,0.00960810117647059,0.00879434705882353,0.00734284352941177,0.00536075647058824,0.00308564941176471,0.00249907411764706,0.00187063882352941,0.00111769411764706,0.00075348,0.00058604,0.00050232,0.00046046,0.00025116,0.00012558,0.00033488,0.0002093,0.0002093,0.00016744,4.186e-05,0,0,0,0,0,0,0,8.372e-05,0,0
16,"Freight","Rail","All","Coal","Coal","coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
