#INPUT_TABLE
#Variable ID
#StubTechEff
#
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
USA,electricity,biomass,biomass (conv),1975,regional biomass,0.3619207,USA
Africa_Eastern,electricity,biomass,biomass (conv),1975,regional biomass,0.3694856,Africa_Eastern
Africa_Northern,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Africa_Northern
Africa_Southern,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Africa_Southern
Africa_Western,electricity,biomass,biomass (conv),1975,regional biomass,0.0657654,Africa_Western
Australia_NZ,electricity,biomass,biomass (conv),1975,regional biomass,0.2841518,Australia_NZ
Brazil,electricity,biomass,biomass (conv),1975,regional biomass,0.4096859,Brazil
Canada,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Canada
Central America and Caribbean,electricity,biomass,biomass (conv),1975,regional biomass,0.1338559,Central America and Caribbean
Central Asia,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Central Asia
China,electricity,biomass,biomass (conv),1975,regional biomass,0.2150024,China
EU-12,electricity,biomass,biomass (conv),1975,regional biomass,0.33,EU-12
EU-15,electricity,biomass,biomass (conv),1975,regional biomass,0.2200848,EU-15
Europe_Eastern,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Europe_Eastern
Europe_Non_EU,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Europe_Non_EU
European Free Trade Association,electricity,biomass,biomass (conv),1975,regional biomass,0.33,European Free Trade Association
India,electricity,biomass,biomass (conv),1975,regional biomass,0.33,India
Indonesia,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Indonesia
Japan,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Japan
Mexico,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Mexico
Middle East,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Middle East
Pakistan,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Pakistan
Russia,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Russia
South Africa,electricity,biomass,biomass (conv),1975,regional biomass,0.33,South Africa
South America_Northern,electricity,biomass,biomass (conv),1975,regional biomass,0.1582916,South America_Northern
South America_Southern,electricity,biomass,biomass (conv),1975,regional biomass,0.2213171,South America_Southern
South Asia,electricity,biomass,biomass (conv),1975,regional biomass,0.2150024,South Asia
South Korea,electricity,biomass,biomass (conv),1975,regional biomass,0.33,South Korea
Southeast Asia,electricity,biomass,biomass (conv),1975,regional biomass,0.2150024,Southeast Asia
Taiwan,electricity,biomass,biomass (conv),1975,regional biomass,0.33,Taiwan
Argentina,electricity,biomass,biomass (conv),1975,regional biomass,0.1006049,Argentina
Colombia,electricity,biomass,biomass (conv),1975,regional biomass,0.3125804,Colombia
USA,electricity,coal,coal (conv pul),1975,regional coal,0.3401157,USA
Africa_Eastern,electricity,coal,coal (conv pul),1975,regional coal,0.33,Africa_Eastern
Africa_Northern,electricity,coal,coal (conv pul),1975,regional coal,0.2367675,Africa_Northern
Africa_Southern,electricity,coal,coal (conv pul),1975,regional coal,0.3062083,Africa_Southern
Africa_Western,electricity,coal,coal (conv pul),1975,regional coal,0.1236277,Africa_Western
