#INPUT_TABLE
#Variable ID
#StubTechEff
#
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
Australia_NZ,electricity,coal,coal (conv pul),1975,regional coal,0.2735812,Australia_NZ
Brazil,electricity,coal,coal (conv pul),1975,regional coal,0.317287,Brazil
Canada,electricity,coal,coal (conv pul),1975,regional coal,0.3507219,Canada
Central America and Caribbean,electricity,coal,coal (conv pul),1975,regional coal,0.33,Central America and Caribbean
Central Asia,electricity,coal,coal (conv pul),1975,regional coal,0.3667102,Central Asia
China,electricity,coal,coal (conv pul),1975,regional coal,0.2446291,China
EU-12,electricity,coal,coal (conv pul),1975,regional coal,0.2687957,EU-12
EU-15,electricity,coal,coal (conv pul),1975,regional coal,0.30388,EU-15
Europe_Eastern,electricity,coal,coal (conv pul),1975,regional coal,0.2660033,Europe_Eastern
Europe_Non_EU,electricity,coal,coal (conv pul),1975,regional coal,0.448882,Europe_Non_EU
European Free Trade Association,electricity,coal,coal (conv pul),1975,regional coal,0.1455401,European Free Trade Association
India,electricity,coal,coal (conv pul),1975,regional coal,0.2875891,India
Indonesia,electricity,coal,coal (conv pul),1975,regional coal,0.33,Indonesia
Japan,electricity,coal,coal (conv pul),1975,regional coal,0.118196,Japan
Mexico,electricity,coal,coal (conv pul),1975,regional coal,0.3568125,Mexico
Middle East,electricity,coal,coal (conv pul),1975,regional coal,0.278922,Middle East
Pakistan,electricity,coal,coal (conv pul),1975,regional coal,0.3071463,Pakistan
Russia,electricity,coal,coal (conv pul),1975,regional coal,0.2389953,Russia
South Africa,electricity,coal,coal (conv pul),1975,regional coal,0.2612896,South Africa
South America_Northern,electricity,coal,coal (conv pul),1975,regional coal,0.33,South America_Northern
South America_Southern,electricity,coal,coal (conv pul),1975,regional coal,0.3431481,South America_Southern
South Asia,electricity,coal,coal (conv pul),1975,regional coal,0.33,South Asia
South Korea,electricity,coal,coal (conv pul),1975,regional coal,0.1699902,South Korea
Southeast Asia,electricity,coal,coal (conv pul),1975,regional coal,0.2618223,Southeast Asia
Taiwan,electricity,coal,coal (conv pul),1975,regional coal,0.3276417,Taiwan
Argentina,electricity,coal,coal (conv pul),1975,regional coal,0.195345,Argentina
Colombia,electricity,coal,coal (conv pul),1975,regional coal,0.3221432,Colombia
USA,electricity,gas,gas (CC),1975,wholesale gas,0.45,USA
Africa_Eastern,electricity,gas,gas (CC),1975,wholesale gas,0.45,Africa_Eastern
Africa_Northern,electricity,gas,gas (CC),1975,wholesale gas,0.45,Africa_Northern
Africa_Southern,electricity,gas,gas (CC),1975,wholesale gas,0.45,Africa_Southern
Africa_Western,electricity,gas,gas (CC),1975,wholesale gas,0.45,Africa_Western
Australia_NZ,electricity,gas,gas (CC),1975,wholesale gas,0.45,Australia_NZ
Brazil,electricity,gas,gas (CC),1975,wholesale gas,0.45,Brazil
Canada,electricity,gas,gas (CC),1975,wholesale gas,0.45,Canada
Central America and Caribbean,electricity,gas,gas (CC),1975,wholesale gas,0.45,Central America and Caribbean
Central Asia,electricity,gas,gas (CC),1975,wholesale gas,0.45,Central Asia
China,electricity,gas,gas (CC),1975,wholesale gas,0.45,China
EU-12,electricity,gas,gas (CC),1975,wholesale gas,0.45,EU-12
EU-15,electricity,gas,gas (CC),1975,wholesale gas,0.45,EU-15
Europe_Eastern,electricity,gas,gas (CC),1975,wholesale gas,0.45,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (CC),1975,wholesale gas,0.45,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (CC),1975,wholesale gas,0.45,European Free Trade Association
India,electricity,gas,gas (CC),1975,wholesale gas,0.45,India
Indonesia,electricity,gas,gas (CC),1975,wholesale gas,0.45,Indonesia
Japan,electricity,gas,gas (CC),1975,wholesale gas,0.45,Japan
Mexico,electricity,gas,gas (CC),1975,wholesale gas,0.45,Mexico
Middle East,electricity,gas,gas (CC),1975,wholesale gas,0.45,Middle East
Pakistan,electricity,gas,gas (CC),1975,wholesale gas,0.45,Pakistan
Russia,electricity,gas,gas (CC),1975,wholesale gas,0.45,Russia
South Africa,electricity,gas,gas (CC),1975,wholesale gas,0.45,South Africa
South America_Northern,electricity,gas,gas (CC),1975,wholesale gas,0.45,South America_Northern
South America_Southern,electricity,gas,gas (CC),1975,wholesale gas,0.45,South America_Southern
South Asia,electricity,gas,gas (CC),1975,wholesale gas,0.45,South Asia
South Korea,electricity,gas,gas (CC),1975,wholesale gas,0.45,South Korea
Southeast Asia,electricity,gas,gas (CC),1975,wholesale gas,0.45,Southeast Asia
Taiwan,electricity,gas,gas (CC),1975,wholesale gas,0.45,Taiwan
Argentina,electricity,gas,gas (CC),1975,wholesale gas,0.45,Argentina
Colombia,electricity,gas,gas (CC),1975,wholesale gas,0.45,Colombia
USA,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,USA
Africa_Eastern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Africa_Eastern
Africa_Northern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Africa_Northern
Africa_Southern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Africa_Southern
Africa_Western,electricity,gas,gas (steam/CT),1975,wholesale gas,0.1748475,Africa_Western
Australia_NZ,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Australia_NZ
Brazil,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Brazil
Canada,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Canada
Central America and Caribbean,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Central America and Caribbean
Central Asia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2572278,Central Asia
China,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,China
EU-12,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2104341,EU-12
EU-15,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,EU-15
Europe_Eastern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2572278,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,European Free Trade Association
India,electricity,gas,gas (steam/CT),1975,wholesale gas,0.1414054,India
Indonesia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Indonesia
Japan,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Japan
Mexico,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2414877,Mexico
Middle East,electricity,gas,gas (steam/CT),1975,wholesale gas,0.1914029,Middle East
Pakistan,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Pakistan
Russia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2572278,Russia
South Africa,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,South Africa
South America_Northern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2170743,South America_Northern
South America_Southern,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,South America_Southern
South Asia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,South Asia
South Korea,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,South Korea
Southeast Asia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.164564,Southeast Asia
Taiwan,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Taiwan
Argentina,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Argentina
Colombia,electricity,gas,gas (steam/CT),1975,wholesale gas,0.2605263,Colombia
USA,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3637089,USA
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.6210443,Africa_Eastern
Africa_Northern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2684861,Africa_Northern
Africa_Southern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2436799,Africa_Southern
Africa_Western,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3843415,Africa_Western
Australia_NZ,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3688242,Australia_NZ
Brazil,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3159452,Brazil
Canada,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3216291,Canada
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2461618,Central America and Caribbean
Central Asia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3444126,Central Asia
China,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3358711,China
EU-12,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.1775887,EU-12
EU-15,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.4084626,EU-15
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.7164946,Europe_Eastern
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3906757,Europe_Non_EU
European Free Trade Association,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3782825,European Free Trade Association
India,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2225736,India
Indonesia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.1180624,Indonesia
Japan,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3965248,Japan
Mexico,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3300179,Mexico
Middle East,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3239232,Middle East
Pakistan,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2952606,Pakistan
Russia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.0179585,Russia
South Africa,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.33,South Africa
South America_Northern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2093336,South America_Northern
South America_Southern,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2712117,South America_Southern
South Asia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.5594399,South Asia
South Korea,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3261219,South Korea
Southeast Asia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3874629,Southeast Asia
Taiwan,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.4026871,Taiwan
Argentina,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.2217551,Argentina
Colombia,electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.3010033,Colombia
USA,electricity,biomass,biomass (conv),1990,regional biomass,0.2012763,USA
Africa_Eastern,electricity,biomass,biomass (conv),1990,regional biomass,0.3677913,Africa_Eastern
Africa_Northern,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Africa_Northern
Africa_Southern,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Africa_Southern
Africa_Western,electricity,biomass,biomass (conv),1990,regional biomass,0.0673674,Africa_Western
Australia_NZ,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Australia_NZ
Brazil,electricity,biomass,biomass (conv),1990,regional biomass,0.4472745,Brazil
Canada,electricity,biomass,biomass (conv),1990,regional biomass,0.3750543,Canada
Central America and Caribbean,electricity,biomass,biomass (conv),1990,regional biomass,0.1316482,Central America and Caribbean
Central Asia,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Central Asia
China,electricity,biomass,biomass (conv),1990,regional biomass,0.3117535,China
EU-12,electricity,biomass,biomass (conv),1990,regional biomass,0.1412873,EU-12
EU-15,electricity,biomass,biomass (conv),1990,regional biomass,0.2353369,EU-15
Europe_Eastern,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Europe_Eastern
Europe_Non_EU,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Europe_Non_EU
European Free Trade Association,electricity,biomass,biomass (conv),1990,regional biomass,0.1897952,European Free Trade Association
India,electricity,biomass,biomass (conv),1990,regional biomass,0.33,India
Indonesia,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Indonesia
Japan,electricity,biomass,biomass (conv),1990,regional biomass,0.398384,Japan
Mexico,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Mexico
Middle East,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Middle East
Pakistan,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Pakistan
Russia,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Russia
South Africa,electricity,biomass,biomass (conv),1990,regional biomass,0.33,South Africa
South America_Northern,electricity,biomass,biomass (conv),1990,regional biomass,0.1591933,South America_Northern
South America_Southern,electricity,biomass,biomass (conv),1990,regional biomass,0.1574125,South America_Southern
South Asia,electricity,biomass,biomass (conv),1990,regional biomass,0.3117535,South Asia
South Korea,electricity,biomass,biomass (conv),1990,regional biomass,0.33,South Korea
Southeast Asia,electricity,biomass,biomass (conv),1990,regional biomass,0.2065493,Southeast Asia
Taiwan,electricity,biomass,biomass (conv),1990,regional biomass,0.33,Taiwan
Argentina,electricity,biomass,biomass (conv),1990,regional biomass,0.0852047,Argentina
Colombia,electricity,biomass,biomass (conv),1990,regional biomass,0.3227981,Colombia
USA,electricity,coal,coal (conv pul),1990,regional coal,0.3677022,USA
Africa_Eastern,electricity,coal,coal (conv pul),1990,regional coal,0.3498268,Africa_Eastern
Africa_Northern,electricity,coal,coal (conv pul),1990,regional coal,0.2683558,Africa_Northern
Africa_Southern,electricity,coal,coal (conv pul),1990,regional coal,0.2378661,Africa_Southern
Africa_Western,electricity,coal,coal (conv pul),1990,regional coal,0.3391848,Africa_Western
Australia_NZ,electricity,coal,coal (conv pul),1990,regional coal,0.3615841,Australia_NZ
Brazil,electricity,coal,coal (conv pul),1990,regional coal,0.2722028,Brazil
Canada,electricity,coal,coal (conv pul),1990,regional coal,0.3363298,Canada
Central America and Caribbean,electricity,coal,coal (conv pul),1990,regional coal,0.3698041,Central America and Caribbean
Central Asia,electricity,coal,coal (conv pul),1990,regional coal,0.2186332,Central Asia
China,electricity,coal,coal (conv pul),1990,regional coal,0.2941866,China
EU-12,electricity,coal,coal (conv pul),1990,regional coal,0.2918065,EU-12
EU-15,electricity,coal,coal (conv pul),1990,regional coal,0.3564714,EU-15
Europe_Eastern,electricity,coal,coal (conv pul),1990,regional coal,0.2867767,Europe_Eastern
Europe_Non_EU,electricity,coal,coal (conv pul),1990,regional coal,0.3216197,Europe_Non_EU
European Free Trade Association,electricity,coal,coal (conv pul),1990,regional coal,0.2694697,European Free Trade Association
India,electricity,coal,coal (conv pul),1990,regional coal,0.2964956,India
Indonesia,electricity,coal,coal (conv pul),1990,regional coal,0.3614705,Indonesia
Japan,electricity,coal,coal (conv pul),1990,regional coal,0.3953686,Japan
Mexico,electricity,coal,coal (conv pul),1990,regional coal,0.3681561,Mexico
Middle East,electricity,coal,coal (conv pul),1990,regional coal,0.3782247,Middle East
Pakistan,electricity,coal,coal (conv pul),1990,regional coal,0.1815576,Pakistan
Russia,electricity,coal,coal (conv pul),1990,regional coal,0.2076444,Russia
South Africa,electricity,coal,coal (conv pul),1990,regional coal,0.3708663,South Africa
South America_Northern,electricity,coal,coal (conv pul),1990,regional coal,0.33,South America_Northern
South America_Southern,electricity,coal,coal (conv pul),1990,regional coal,0.3228747,South America_Southern
South Asia,electricity,coal,coal (conv pul),1990,regional coal,0.33,South Asia
South Korea,electricity,coal,coal (conv pul),1990,regional coal,0.257959,South Korea
Southeast Asia,electricity,coal,coal (conv pul),1990,regional coal,0.2952125,Southeast Asia
Taiwan,electricity,coal,coal (conv pul),1990,regional coal,0.3658542,Taiwan
Argentina,electricity,coal,coal (conv pul),1990,regional coal,0.1091457,Argentina
Colombia,electricity,coal,coal (conv pul),1990,regional coal,0.3093031,Colombia
USA,electricity,gas,gas (CC),1990,wholesale gas,0.45,USA
Africa_Eastern,electricity,gas,gas (CC),1990,wholesale gas,0.45,Africa_Eastern
Africa_Northern,electricity,gas,gas (CC),1990,wholesale gas,0.45,Africa_Northern
Africa_Southern,electricity,gas,gas (CC),1990,wholesale gas,0.45,Africa_Southern
Africa_Western,electricity,gas,gas (CC),1990,wholesale gas,0.45,Africa_Western
Australia_NZ,electricity,gas,gas (CC),1990,wholesale gas,0.45,Australia_NZ
Brazil,electricity,gas,gas (CC),1990,wholesale gas,0.45,Brazil
Canada,electricity,gas,gas (CC),1990,wholesale gas,0.45,Canada
Central America and Caribbean,electricity,gas,gas (CC),1990,wholesale gas,0.45,Central America and Caribbean
Central Asia,electricity,gas,gas (CC),1990,wholesale gas,0.45,Central Asia
China,electricity,gas,gas (CC),1990,wholesale gas,0.45,China
EU-12,electricity,gas,gas (CC),1990,wholesale gas,0.45,EU-12
EU-15,electricity,gas,gas (CC),1990,wholesale gas,0.45,EU-15
Europe_Eastern,electricity,gas,gas (CC),1990,wholesale gas,0.45,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (CC),1990,wholesale gas,0.45,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (CC),1990,wholesale gas,0.45,European Free Trade Association
India,electricity,gas,gas (CC),1990,wholesale gas,0.45,India
Indonesia,electricity,gas,gas (CC),1990,wholesale gas,0.45,Indonesia
Japan,electricity,gas,gas (CC),1990,wholesale gas,0.45,Japan
Mexico,electricity,gas,gas (CC),1990,wholesale gas,0.45,Mexico
Middle East,electricity,gas,gas (CC),1990,wholesale gas,0.45,Middle East
Pakistan,electricity,gas,gas (CC),1990,wholesale gas,0.45,Pakistan
Russia,electricity,gas,gas (CC),1990,wholesale gas,0.45,Russia
South Africa,electricity,gas,gas (CC),1990,wholesale gas,0.45,South Africa
South America_Northern,electricity,gas,gas (CC),1990,wholesale gas,0.45,South America_Northern
South America_Southern,electricity,gas,gas (CC),1990,wholesale gas,0.45,South America_Southern
South Asia,electricity,gas,gas (CC),1990,wholesale gas,0.45,South Asia
South Korea,electricity,gas,gas (CC),1990,wholesale gas,0.45,South Korea
Southeast Asia,electricity,gas,gas (CC),1990,wholesale gas,0.45,Southeast Asia
Taiwan,electricity,gas,gas (CC),1990,wholesale gas,0.45,Taiwan
Argentina,electricity,gas,gas (CC),1990,wholesale gas,0.45,Argentina
Colombia,electricity,gas,gas (CC),1990,wholesale gas,0.45,Colombia
USA,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,USA
Africa_Eastern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Africa_Eastern
Africa_Northern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Africa_Northern
Africa_Southern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Africa_Southern
Africa_Western,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Africa_Western
Australia_NZ,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Australia_NZ
Brazil,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Brazil
Canada,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Canada
Central America and Caribbean,electricity,gas,gas (steam/CT),1990,wholesale gas,0.282504,Central America and Caribbean
Central Asia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.2613647,Central Asia
China,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,China
EU-12,electricity,gas,gas (steam/CT),1990,wholesale gas,0.2095477,EU-12
EU-15,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,EU-15
Europe_Eastern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (steam/CT),1990,wholesale gas,0.1316341,European Free Trade Association
India,electricity,gas,gas (steam/CT),1990,wholesale gas,0.2474422,India
Indonesia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Indonesia
Japan,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Japan
Mexico,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Mexico
Middle East,electricity,gas,gas (steam/CT),1990,wholesale gas,0.27991,Middle East
Pakistan,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Pakistan
Russia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.2713751,Russia
South Africa,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,South Africa
South America_Northern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.2391198,South America_Northern
South America_Southern,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,South America_Southern
South Asia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,South Asia
South Korea,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,South Korea
Southeast Asia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Southeast Asia
Taiwan,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Taiwan
Argentina,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Argentina
Colombia,electricity,gas,gas (steam/CT),1990,wholesale gas,0.3,Colombia
USA,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3952288,USA
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.356507,Africa_Eastern
Africa_Northern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3191547,Africa_Northern
Africa_Southern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2118006,Africa_Southern
Africa_Western,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3536409,Africa_Western
Australia_NZ,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3216002,Australia_NZ
Brazil,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3273606,Brazil
Canada,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.373192,Canada
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.425314,Central America and Caribbean
Central Asia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2681969,Central Asia
China,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3410064,China
EU-12,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.1961698,EU-12
EU-15,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3867226,EU-15
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.312786,Europe_Eastern
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2991338,Europe_Non_EU
European Free Trade Association,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2331949,European Free Trade Association
India,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2405728,India
Indonesia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3323001,Indonesia
Japan,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.4215028,Japan
Mexico,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3530488,Mexico
Middle East,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3216345,Middle East
Pakistan,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.307067,Pakistan
Russia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2419375,Russia
South Africa,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.33,South Africa
South America_Northern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.5135168,South America_Northern
South America_Southern,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3245686,South America_Southern
South Asia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3656376,South Asia
South Korea,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3595034,South Korea
Southeast Asia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3453368,Southeast Asia
Taiwan,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.3861496,Taiwan
Argentina,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2491913,Argentina
Colombia,electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.2990308,Colombia
USA,electricity,biomass,biomass (conv),2005,regional biomass,0.2228108,USA
