INPUT_TABLE
Variable ID
RenewRsrc

region,renewresource,output.unit,price.unit,market
USA,biomass,EJ,1975$/GJ,USA
USA,distributed_solar,EJ,1975$/GJ,USA
USA,geothermal,EJ,1975$/GJ,USA
USA,onshore wind resource,EJ,1975$/GJ,USA
Africa_Eastern,biomass,EJ,1975$/GJ,Africa_Eastern
Africa_Eastern,distributed_solar,EJ,1975$/GJ,Africa_Eastern
Africa_Eastern,geothermal,EJ,1975$/GJ,Africa_Eastern
Africa_Eastern,onshore wind resource,EJ,1975$/GJ,Africa_Eastern
Africa_Eastern,traditional biomass,EJ,1975$/GJ,Africa_Eastern
Africa_Northern,biomass,EJ,1975$/GJ,Africa_Northern
Africa_Northern,distributed_solar,EJ,1975$/GJ,Africa_Northern
Africa_Northern,geothermal,EJ,1975$/GJ,Africa_Northern
Africa_Northern,onshore wind resource,EJ,1975$/GJ,Africa_Northern
Africa_Northern,traditional biomass,EJ,1975$/GJ,Africa_Northern
Africa_Southern,biomass,EJ,1975$/GJ,Africa_Southern
Africa_Southern,distributed_solar,EJ,1975$/GJ,Africa_Southern
Africa_Southern,geothermal,EJ,1975$/GJ,Africa_Southern
Africa_Southern,onshore wind resource,EJ,1975$/GJ,Africa_Southern
Africa_Southern,traditional biomass,EJ,1975$/GJ,Africa_Southern
Africa_Western,biomass,EJ,1975$/GJ,Africa_Western
Africa_Western,distributed_solar,EJ,1975$/GJ,Africa_Western
Africa_Western,geothermal,EJ,1975$/GJ,Africa_Western
Africa_Western,onshore wind resource,EJ,1975$/GJ,Africa_Western
Africa_Western,traditional biomass,EJ,1975$/GJ,Africa_Western
Australia_NZ,biomass,EJ,1975$/GJ,Australia_NZ
Australia_NZ,distributed_solar,EJ,1975$/GJ,Australia_NZ
Australia_NZ,geothermal,EJ,1975$/GJ,Australia_NZ
Australia_NZ,onshore wind resource,EJ,1975$/GJ,Australia_NZ
Brazil,biomass,EJ,1975$/GJ,Brazil
Brazil,distributed_solar,EJ,1975$/GJ,Brazil
Brazil,geothermal,EJ,1975$/GJ,Brazil
Brazil,onshore wind resource,EJ,1975$/GJ,Brazil
Brazil,traditional biomass,EJ,1975$/GJ,Brazil
Canada,biomass,EJ,1975$/GJ,Canada
Canada,distributed_solar,EJ,1975$/GJ,Canada
Canada,geothermal,EJ,1975$/GJ,Canada
Canada,onshore wind resource,EJ,1975$/GJ,Canada
Central America and Caribbean,biomass,EJ,1975$/GJ,Central America and Caribbean
Central America and Caribbean,distributed_solar,EJ,1975$/GJ,Central America and Caribbean
Central America and Caribbean,geothermal,EJ,1975$/GJ,Central America and Caribbean
Central America and Caribbean,onshore wind resource,EJ,1975$/GJ,Central America and Caribbean
Central America and Caribbean,traditional biomass,EJ,1975$/GJ,Central America and Caribbean
Central Asia,biomass,EJ,1975$/GJ,Central Asia
Central Asia,distributed_solar,EJ,1975$/GJ,Central Asia
Central Asia,geothermal,EJ,1975$/GJ,Central Asia
Central Asia,onshore wind resource,EJ,1975$/GJ,Central Asia
China,biomass,EJ,1975$/GJ,China
China,distributed_solar,EJ,1975$/GJ,China
China,geothermal,EJ,1975$/GJ,China
China,onshore wind resource,EJ,1975$/GJ,China
China,traditional biomass,EJ,1975$/GJ,China
EU-12,biomass,EJ,1975$/GJ,EU-12
EU-12,distributed_solar,EJ,1975$/GJ,EU-12
EU-12,geothermal,EJ,1975$/GJ,EU-12
EU-12,onshore wind resource,EJ,1975$/GJ,EU-12
EU-15,biomass,EJ,1975$/GJ,EU-15
EU-15,distributed_solar,EJ,1975$/GJ,EU-15
EU-15,geothermal,EJ,1975$/GJ,EU-15
EU-15,onshore wind resource,EJ,1975$/GJ,EU-15
Europe_Eastern,biomass,EJ,1975$/GJ,Europe_Eastern
Europe_Eastern,distributed_solar,EJ,1975$/GJ,Europe_Eastern
