# File: A324.sector.csv
# Title:  agriculture, construction, mining sector default supplysector information (units and logit exponents)
# Units: In file
# Column types: ccccicc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
agricultural energy use,EJ,EJ,$/GJ,0,industry,
mining energy use,EJ,EJ,$/GJ,0,industry,
construction,EJ,EJ,$/GJ,-3,,
construction energy use,EJ,EJ,$/GJ,0,industry,
construction feedstocks,EJ,EJ,$/GJ,-3,industry,
