# File: A32.sector.csv
# Title: Industry default supplysector information (units and logit exponents)
# Units: Units-in-table
# Column types: ccccicc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
other industrial energy use,EJ,EJ,$/GJ,-3,industry,
other industrial feedstocks,EJ,EJ,$/GJ,-1,industry,
other industry,EJ,EJ,$/GJ,-3,,
