# File: A_ff_TradedTechnology.csv
# Title: Technology-level assumptions of traded fossil fuel markets
# Units: Various
# PriceUnits: 1975$/GJ
# Comments: for traded fuels, each subsector has only one technology; there is no technology-level competition
# Source: NA
# Column types: ccccnpni 
# ----------
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,traded
traded coal,traded coal,traded coal,coal,1,0.15,1,1
traded oil,traded oil,traded oil,crude oil,1,0.15,1,1
traded natural gas,traded natural gas,traded natural gas,natural gas,1,0.25,1,1
