# File: A26.sector.csv
# Title: Final energy delivery and reliability (backup) sectors - supplysector characteristics
# Units: NA
# NoCurrencyTag
# Description: Characteristics of supply sectors for final energy delivery and reliability, setting the Units for price and inputs as well as the logit exponent.
# Source: NA
# Column types: ccccic 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
backup_electricity,EJ,EJ,$/GJ,-3,
csp_backup,EJ,EJ,$/GJ,-3,
delivered biomass,EJ,EJ,$/GJ,-3,
delivered coal,EJ,EJ,$/GJ,-3,
electricity_net_ownuse,EJ,EJ,$/GJ,-3,
elect_td_bld,EJ,EJ,$/GJ,-8,
elect_td_ind,EJ,EJ,$/GJ,-3,
elect_td_trn,EJ,EJ,$/GJ,-3,
gas pipeline,EJ,EJ,$/GJ,-3,
wholesale gas,EJ,EJ,$/GJ,-3,
delivered gas,EJ,EJ,$/GJ,-3,
refined liquids enduse,EJ,EJ,$/GJ,-3,
refined liquids industrial,EJ,EJ,$/GJ,-3,
