# File: A61.rsrc_info.csv
# Title: Carbon storage resource info
# Units: MtC for output unit; $/tC for price unit; unitless for capacity factor
# NoCurrencyTag
# Column types: cccccic
# ----------
resource,resource_type,market,output-unit,price-unit,capacity.factor,subresource
offshore carbon-storage,unlimited-resource,global,MtC,$/tC,0,
onshore carbon-storage,resource,regional,MtC,$/tC,,onshore carbon-storage
