# File: A25.sector.csv
# Title: Hydrogen supplysector characteristics
# NoCurrencyTag
# Units: Units-in-table
# Column types: ccccic 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
H2 central production,EJ,EJ,$/GJ,-3,
H2 pipeline,EJ,EJ,$/GJ,-3,
H2 liquid truck,EJ,EJ,$/GJ,-3,
H2 wholesale delivery,EJ,EJ,$/GJ,-3,
H2 industrial,EJ,EJ,$/GJ,-3,
H2 retail delivery,EJ,EJ,$/GJ,-3,
H2 wholesale dispensing,EJ,EJ,$/GJ,-3,
H2 retail dispensing,EJ,EJ,$/GJ,-3,
